 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     50025   -7.84333e+04    0.247210    0.180317    0.192083    0.264268    0.324818    0.322379    0.294639
     50050   -7.81968e+04    0.251198    0.200000    0.195047    0.200000    0.200000    0.323933    0.297304
     50075   -7.76434e+04    0.252544    0.146667    0.197180    0.200000    0.520000    0.321227    0.296589
     50100   -7.75617e+04    0.252269    0.226667    0.197160    0.200000    0.320000    0.323053    0.296567
     50125   -7.77934e+04    0.253576    0.213333    0.199873    0.240000    0.200000    0.322767    0.296002
     50150   -7.81393e+04    0.254571    0.200000    0.200967    0.240000    0.320000    0.324147    0.297887
     50175   -7.76978e+04    0.252880    0.173333    0.198287    0.400000    0.400000    0.321107    0.298616
     50200   -7.80973e+04    0.254256    0.253333    0.196280    0.280000    0.280000    0.319413    0.297929
     50225   -7.81636e+04    0.253809    0.213333    0.198480    0.200000    0.440000    0.323527    0.297624
     50250   -7.79114e+04    0.253778    0.186667    0.197827    0.200000    0.440000    0.322873    0.297151
     50275   -7.81870e+04    0.253976    0.240000    0.198273    0.320000    0.440000    0.322520    0.297289
     50300   -7.69948e+04    0.252987    0.146667    0.198653    0.200000    0.360000    0.321073    0.297740
     50325   -7.76100e+04    0.253938    0.266667    0.199000    0.360000    0.240000    0.319887    0.295913
     50350   -7.77582e+04    0.256462    0.213333    0.201607    0.160000    0.240000    0.324000    0.296367
     50375   -7.76440e+04    0.256258    0.160000    0.200187    0.200000    0.200000    0.320473    0.297853
     50400   -7.81052e+04    0.254753    0.120000    0.198767    0.120000    0.240000    0.322680    0.296451
     50425   -7.74599e+04    0.255491    0.160000    0.203427    0.240000    0.320000    0.320887    0.298751
     50450   -7.77076e+04    0.256209    0.186667    0.200607    0.320000    0.400000    0.323047    0.298418
     50475   -7.74583e+04    0.253527    0.200000    0.200380    0.440000    0.320000    0.321680    0.297736
     50500   -7.77054e+04    0.254042    0.240000    0.200713    0.200000    0.400000    0.320860    0.297284
     50525   -7.76843e+04    0.253884    0.133333    0.197727    0.200000    0.520000    0.321200    0.297067
     50550   -7.83688e+04    0.254253    0.240000    0.199600    0.160000    0.400000    0.322307    0.298178
     50575   -7.80416e+04    0.254753    0.200000    0.202440    0.240000    0.320000    0.322060    0.296389
     50600   -7.82760e+04    0.255413    0.226667    0.200693    0.360000    0.280000    0.323880    0.296824
     50625   -7.81710e+04    0.254793    0.160000    0.200733    0.280000    0.280000    0.321660    0.295380
     50650   -7.73355e+04    0.254751    0.120000    0.199120    0.200000    0.360000    0.321460    0.298004
     50675   -7.64854e+04    0.252913    0.200000    0.198320    0.280000    0.240000    0.322547    0.297682
     50700   -7.65606e+04    0.256196    0.173333    0.201253    0.120000    0.320000    0.322847    0.298129
     50725   -7.79382e+04    0.257398    0.226667    0.203740    0.320000    0.280000    0.324433    0.297822
     50750   -7.78799e+04    0.256004    0.160000    0.204393    0.200000    0.440000    0.322927    0.297149
     50775   -7.76222e+04    0.256300    0.160000    0.202333    0.360000    0.200000    0.321887    0.297940
     50800   -7.72823e+04    0.255904    0.133333    0.204460    0.240000    0.400000    0.320013    0.297033
     50825   -7.71750e+04    0.255140    0.186667    0.200287    0.240000    0.360000    0.322807    0.297867
     50850   -7.64052e+04    0.254442    0.240000    0.202433    0.200000    0.360000    0.322873    0.298669
     50875   -7.63475e+04    0.254378    0.160000    0.202360    0.240000    0.160000    0.320593    0.298976
     50900   -7.75343e+04    0.255313    0.240000    0.201800    0.280000    0.440000    0.321973    0.298616
     50925   -7.69575e+04    0.257027    0.240000    0.202093    0.280000    0.280000    0.321727    0.297689
     50950   -7.76732e+04    0.255660    0.253333    0.201027    0.400000    0.440000    0.320540    0.298504
     50975   -7.78903e+04    0.255884    0.280000    0.203033    0.280000    0.400000    0.323047    0.298227
     51000   -7.69868e+04    0.254153    0.253333    0.201447    0.280000    0.400000    0.322433    0.296942
     51025   -7.71703e+04    0.252896    0.106667    0.200487    0.240000    0.360000    0.322053    0.297060
     51050   -7.79698e+04    0.254738    0.226667    0.200113    0.240000    0.320000    0.323087    0.297040
     51075   -7.85982e+04    0.254720    0.160000    0.198533    0.440000    0.240000    0.321087    0.296260
     51100   -7.76071e+04    0.253440    0.200000    0.198240    0.320000    0.440000    0.322533    0.297722
     51125   -7.75967e+04    0.252522    0.213333    0.197360    0.200000    0.160000    0.321700    0.297409
     51150   -7.73084e+04    0.252938    0.186667    0.199100    0.400000    0.280000    0.320787    0.297009
     51175   -7.79825e+04    0.254767    0.160000    0.198887    0.200000    0.160000    0.324520    0.297060
     51200   -7.81721e+04    0.255600    0.186667    0.200293    0.360000    0.280000    0.321740    0.297187
     51225   -7.80626e+04    0.252813    0.213333    0.198767    0.360000    0.360000    0.322447    0.297467
     51250   -7.72931e+04    0.254382    0.146667    0.197820    0.320000    0.320000    0.322907    0.297107
     51275   -7.75478e+04    0.251516    0.093333    0.196907    0.280000    0.320000    0.325053    0.298222
     51300   -7.77194e+04    0.252960    0.333333    0.199407    0.360000    0.400000    0.322213    0.296298
     51325   -7.82120e+04    0.253413    0.146667    0.200273    0.360000    0.120000    0.320480    0.296087
     51350   -7.78147e+04    0.256058    0.200000    0.200627    0.200000    0.440000    0.323840    0.297907
     51375   -7.75498e+04    0.254900    0.160000    0.201680    0.280000    0.120000    0.320640    0.297604
     51400   -7.68110e+04    0.254649    0.226667    0.200687    0.160000    0.320000    0.322827    0.297993
     51425   -7.64884e+04    0.254753    0.213333    0.199933    0.240000    0.200000    0.323840    0.298251
     51450   -7.57349e+04    0.254351    0.253333    0.200473    0.280000    0.360000    0.322087    0.299638
     51475   -7.67020e+04    0.254780    0.240000    0.198787    0.320000    0.480000    0.320247    0.298678
     51500   -7.65488e+04    0.256244    0.253333    0.202067    0.360000    0.360000    0.323340    0.298982
     51525   -7.66954e+04    0.255978    0.173333    0.201307    0.400000    0.360000    0.323440    0.299022
     51550   -7.62969e+04    0.256873    0.200000    0.201547    0.200000    0.240000    0.321740    0.298933
     51575   -7.57364e+04    0.254644    0.160000    0.203620    0.360000    0.160000    0.322667    0.300482
     51600   -7.62941e+04    0.256178    0.320000    0.203740    0.200000    0.360000    0.323640    0.298598
     51625   -7.71797e+04    0.258364    0.186667    0.206260    0.120000    0.400000    0.321920    0.298080
     51650   -7.60405e+04    0.256524    0.186667    0.205367    0.320000    0.320000    0.322707    0.298744
     51675   -7.68899e+04    0.258418    0.266667    0.205407    0.320000    0.400000    0.323547    0.297662
     51700   -7.77677e+04    0.258713    0.146667    0.203927    0.240000    0.120000    0.319760    0.297058
     51725   -7.73722e+04    0.257558    0.226667    0.205773    0.320000    0.320000    0.322453    0.299244
     51750   -7.74066e+04    0.258171    0.186667    0.208680    0.080000    0.200000    0.319813    0.298900
     51775   -7.78009e+04    0.258149    0.106667    0.207300    0.240000    0.360000    0.324893    0.298491
     51800   -7.77432e+04    0.258169    0.213333    0.207393    0.240000    0.320000    0.322687    0.298129
     51825   -7.76327e+04    0.258856    0.213333    0.207653    0.200000    0.320000    0.321727    0.297098
     51850   -7.76887e+04    0.257840    0.146667    0.205153    0.120000    0.240000    0.322293    0.297207
     51875   -7.80060e+04    0.257191    0.133333    0.204893    0.080000    0.360000    0.322807    0.296900
     51900   -7.83045e+04    0.256840    0.146667    0.202647    0.080000    0.320000    0.319940    0.298069
     51925   -7.75164e+04    0.255149    0.173333    0.204253    0.200000    0.280000    0.321027    0.296542
     51950   -7.72742e+04    0.255644    0.226667    0.201040    0.240000    0.360000    0.323073    0.296904
     51975   -7.79292e+04    0.255529    0.240000    0.202633    0.360000    0.400000    0.323587    0.296327
     52000   -7.77747e+04    0.255738    0.160000    0.203620    0.280000    0.320000    0.321667    0.296311
     52025   -7.76257e+04    0.256002    0.200000    0.203373    0.400000    0.360000    0.323833    0.297311
     52050   -7.65227e+04    0.256327    0.186667    0.202853    0.080000    0.360000    0.322613    0.297058
     52075   -7.77814e+04    0.255984    0.186667    0.201407    0.200000    0.360000    0.323820    0.298191
     52100   -7.60415e+04    0.255793    0.106667    0.201893    0.240000    0.360000    0.323567    0.296724
     52125   -7.73099e+04    0.256158    0.186667    0.203047    0.280000    0.160000    0.324673    0.296862
     52150   -7.76113e+04    0.256558    0.120000    0.208233    0.240000    0.280000    0.322967    0.298000
     52175   -7.72864e+04    0.255538    0.186667    0.205340    0.560000    0.360000    0.321873    0.296396
     52200   -7.86181e+04    0.256669    0.200000    0.204660    0.360000    0.320000    0.322367    0.297333
     52225   -7.77868e+04    0.256033    0.186667    0.203747    0.280000    0.400000    0.322167    0.296264
     52250   -7.77139e+04    0.256313    0.200000    0.205307    0.120000    0.280000    0.322693    0.297896
     52275   -7.79764e+04    0.254704    0.080000    0.202120    0.440000    0.320000    0.323180    0.296838
     52300   -7.84423e+04    0.257027    0.146667    0.205940    0.200000    0.440000    0.320813    0.296304
     52325   -7.75315e+04    0.258931    0.146667    0.207233    0.240000    0.280000    0.325013    0.297369
     52350   -7.87653e+04    0.258533    0.293333    0.209240    0.440000    0.360000    0.324240    0.296213
     52375   -7.81666e+04    0.261160    0.160000    0.213487    0.360000    0.280000    0.322093    0.297320
     52400   -7.87928e+04    0.259260    0.226667    0.210740    0.280000    0.320000    0.322733    0.294716
     52425   -7.86665e+04    0.258698    0.186667    0.209787    0.120000    0.400000    0.323427    0.294389
     52450   -7.80625e+04    0.261187    0.253333    0.210420    0.160000    0.360000    0.324413    0.297131
     52475   -7.78906e+04    0.259664    0.213333    0.208767    0.400000    0.360000    0.322700    0.295302
     52500   -7.92962e+04    0.260176    0.133333    0.207627    0.320000    0.360000    0.323433    0.297071
     52525   -7.83787e+04    0.258673    0.226667    0.207840    0.040000    0.200000    0.321980    0.296340
     52550   -7.73958e+04    0.258516    0.120000    0.205307    0.120000    0.280000    0.322033    0.296560
     52575   -7.69964e+04    0.259596    0.080000    0.207113    0.280000    0.360000    0.321493    0.299133
     52600   -7.62332e+04    0.257736    0.200000    0.207167    0.240000    0.240000    0.323867    0.297622
     52625   -7.66899e+04    0.260509    0.146667    0.209980    0.200000    0.200000    0.322667    0.299411
     52650   -7.62731e+04    0.260529    0.160000    0.208487    0.160000    0.040000    0.321700    0.298764
     52675   -7.59935e+04    0.261227    0.213333    0.208840    0.200000    0.320000    0.319360    0.300218
     52700   -7.56439e+04    0.261031    0.160000    0.208340    0.320000    0.320000    0.323400    0.299262
     52725   -7.54189e+04    0.259811    0.160000    0.205567    0.160000    0.320000    0.324933    0.299627
     52750   -7.68939e+04    0.259804    0.186667    0.207000    0.200000    0.360000    0.322360    0.299480
     52775   -7.78324e+04    0.259342    0.160000    0.207473    0.200000    0.200000    0.321467    0.297687
     52800   -7.70187e+04    0.260638    0.133333    0.206660    0.160000    0.320000    0.322193    0.296673
     52825   -7.73650e+04    0.258138    0.266667    0.204547    0.120000    0.240000    0.321113    0.297640
     52850   -7.65778e+04    0.260389    0.160000    0.205627    0.320000    0.320000    0.321207    0.297780
     52875   -7.67184e+04    0.258660    0.200000    0.206260    0.240000    0.360000    0.321727    0.298116
     52900   -7.62652e+04    0.258729    0.080000    0.206567    0.240000    0.320000    0.324193    0.297593
     52925   -7.64477e+04    0.258918    0.173333    0.206213    0.280000    0.400000    0.321980    0.300144
     52950   -7.70882e+04    0.258820    0.160000    0.205593    0.320000    0.280000    0.322573    0.299007
     52975   -7.67461e+04    0.257444    0.186667    0.203760    0.480000    0.440000    0.321847    0.298982
     53000   -7.65308e+04    0.257731    0.146667    0.203227    0.360000    0.320000    0.323193    0.298473
     53025   -7.65519e+04    0.256629    0.160000    0.203860    0.200000    0.400000    0.320867    0.299211
     53050   -7.63080e+04    0.257127    0.160000    0.201573    0.160000    0.400000    0.321413    0.299300
     53075   -7.67878e+04    0.257978    0.146667    0.204813    0.200000    0.440000    0.321333    0.298060
     53100   -7.65745e+04    0.256778    0.226667    0.204087    0.160000    0.480000    0.323453    0.297538
     53125   -7.66169e+04    0.258473    0.186667    0.205180    0.240000    0.400000    0.322473    0.298784
     53150   -7.74806e+04    0.260002    0.226667    0.205867    0.160000    0.360000    0.322933    0.297622
     53175   -7.62349e+04    0.259498    0.186667    0.205813    0.240000    0.200000    0.321587    0.297056
     53200   -7.66047e+04    0.260078    0.080000    0.209133    0.360000    0.320000    0.322280    0.299067
     53225   -7.60682e+04    0.258760    0.240000    0.208767    0.360000    0.400000    0.320160    0.298544
     53250   -7.68530e+04    0.258836    0.200000    0.206120    0.240000    0.400000    0.322680    0.298593
     53275   -7.64384e+04    0.258900    0.200000    0.206800    0.400000    0.400000    0.321013    0.297262
     53300   -7.75876e+04    0.258800    0.240000    0.205880    0.360000    0.400000    0.321167    0.297751
     53325   -7.69083e+04    0.259878    0.173333    0.204667    0.240000    0.360000    0.322533    0.296473
     53350   -7.69613e+04    0.257580    0.200000    0.205147    0.280000    0.280000    0.321380    0.297444
     53375   -7.66897e+04    0.258607    0.213333    0.206727    0.120000    0.320000    0.322840    0.297638
     53400   -7.72045e+04    0.258113    0.213333    0.203627    0.200000    0.280000    0.322700    0.300700
     53425   -7.71486e+04    0.258640    0.173333    0.205647    0.080000    0.320000    0.321567    0.297687
     53450   -7.76008e+04    0.259204    0.213333    0.204847    0.160000    0.320000    0.322513    0.298256
     53475   -7.63108e+04    0.258840    0.160000    0.206060    0.280000    0.200000    0.322813    0.298624
     53500   -7.55726e+04    0.257913    0.173333    0.205527    0.400000    0.360000    0.320100    0.298191
     53525   -7.63143e+04    0.257100    0.200000    0.205700    0.320000    0.320000    0.322093    0.299002
     53550   -7.59281e+04    0.257942    0.213333    0.204720    0.280000    0.400000    0.324920    0.298500
     53575   -7.56292e+04    0.258098    0.226667    0.205440    0.240000    0.280000    0.323933    0.298631
     53600   -7.58767e+04    0.257453    0.253333    0.203060    0.120000    0.320000    0.321640    0.297636
     53625   -7.68897e+04    0.255602    0.160000    0.204073    0.360000    0.280000    0.324360    0.299460
     53650   -7.67776e+04    0.256418    0.280000    0.200953    0.200000    0.560000    0.321400    0.298411
     53675   -7.73155e+04    0.253864    0.266667    0.200180    0.360000    0.280000    0.321573    0.298484
     53700   -7.63951e+04    0.253900    0.133333    0.196887    0.240000    0.560000    0.320213    0.299162
     53725   -7.63877e+04    0.254082    0.200000    0.197553    0.280000    0.480000    0.322233    0.299009
     53750   -7.67910e+04    0.254916    0.160000    0.199533    0.240000    0.240000    0.321953    0.298224
     53775   -7.61021e+04    0.255091    0.146667    0.196160    0.200000    0.240000    0.321040    0.297807
     53800   -7.65320e+04    0.257407    0.240000    0.200047    0.520000    0.160000    0.321540    0.300384
     53825   -7.66605e+04    0.257880    0.160000    0.200700    0.320000    0.320000    0.321400    0.299316
     53850   -7.59765e+04    0.257778    0.226667    0.202667    0.200000    0.320000    0.322473    0.299273
     53875   -7.58495e+04    0.258560    0.160000    0.204067    0.120000    0.440000    0.322833    0.300416
     53900   -7.57832e+04    0.259242    0.266667    0.204993    0.240000    0.440000    0.323093    0.300018
     53925   -7.48134e+04    0.260987    0.133333    0.207600    0.320000    0.400000    0.320300    0.299471
     53950   -7.54740e+04    0.258902    0.293333    0.204027    0.440000    0.520000    0.323340    0.298953
     53975   -7.52426e+04    0.258936    0.146667    0.205880    0.400000    0.360000    0.321240    0.299740
     54000   -7.58082e+04    0.260042    0.200000    0.207560    0.240000    0.240000    0.322400    0.299402
     54025   -7.55372e+04    0.258144    0.133333    0.205553    0.280000    0.240000    0.325007    0.300949
     54050   -7.63000e+04    0.259107    0.133333    0.206047    0.280000    0.200000    0.324807    0.299640
     54075   -7.67898e+04    0.259769    0.213333    0.206020    0.160000    0.200000    0.323600    0.298738
     54100   -7.75441e+04    0.259453    0.173333    0.207147    0.360000    0.360000    0.324693    0.299813
     54125   -7.76827e+04    0.260553    0.173333    0.207020    0.440000    0.280000    0.323427    0.299953
     54150   -7.68493e+04    0.260062    0.133333    0.205287    0.360000    0.440000    0.322407    0.299300
     54175   -7.79298e+04    0.259980    0.200000    0.205113    0.280000    0.360000    0.323640    0.298933
     54200   -7.67941e+04    0.259860    0.226667    0.209213    0.160000    0.240000    0.320420    0.298896
     54225   -7.74694e+04    0.257276    0.226667    0.207500    0.360000    0.240000    0.322287    0.298387
     54250   -7.68115e+04    0.259124    0.253333    0.206093    0.200000    0.360000    0.323200    0.297364
     54275   -7.75255e+04    0.257756    0.200000    0.204700    0.400000    0.480000    0.321480    0.298551
     54300   -7.77759e+04    0.255122    0.186667    0.203207    0.280000    0.320000    0.321847    0.298098
     54325   -7.75069e+04    0.254422    0.240000    0.201453    0.200000    0.400000    0.320233    0.297660
     54350   -7.73197e+04    0.252978    0.080000    0.199020    0.320000    0.280000    0.322533    0.297082
     54375   -7.72686e+04    0.253189    0.333333    0.199727    0.280000    0.280000    0.323293    0.297867
     54400   -7.78498e+04    0.254533    0.200000    0.198107    0.200000    0.240000    0.320787    0.297389
     54425   -7.81513e+04    0.254731    0.133333    0.197827    0.240000    0.360000    0.323587    0.296882
     54450   -7.83032e+04    0.255064    0.200000    0.201880    0.320000    0.320000    0.321533    0.296347
     54475   -7.85234e+04    0.255276    0.226667    0.201187    0.120000    0.320000    0.322847    0.295942
     54500   -7.88057e+04    0.255082    0.146667    0.200340    0.240000    0.200000    0.321687    0.296133
     54525   -7.84821e+04    0.254649    0.213333    0.202773    0.240000    0.200000    0.322860    0.297098
     54550   -7.84586e+04    0.256182    0.120000    0.199940    0.240000    0.440000    0.321240    0.296940
     54575   -7.92088e+04    0.253220    0.173333    0.201007    0.280000    0.160000    0.322480    0.293738
     54600   -7.80146e+04    0.252418    0.226667    0.197127    0.360000    0.200000    0.321673    0.295589
     54625   -7.86512e+04    0.252798    0.226667    0.196647    0.280000    0.360000    0.320027    0.295422
     54650   -7.84391e+04    0.253413    0.213333    0.198327    0.200000    0.240000    0.322380    0.297293
     54675   -7.78603e+04    0.252551    0.240000    0.193900    0.200000    0.160000    0.322600    0.297120
     54700   -7.90787e+04    0.250389    0.240000    0.195840    0.200000    0.280000    0.319247    0.296042
     54725   -7.94111e+04    0.251282    0.200000    0.194253    0.320000    0.400000    0.322560    0.295216
     54750   -7.96029e+04    0.249671    0.240000    0.193440    0.120000    0.400000    0.320993    0.295433
     54775   -7.84979e+04    0.248924    0.133333    0.192833    0.240000    0.400000    0.323693    0.295669
     54800   -7.97640e+04    0.249784    0.226667    0.193227    0.160000    0.240000    0.323780    0.294418
     54825   -7.97937e+04    0.251391    0.173333    0.192693    0.360000    0.400000    0.324000    0.294696
     54850   -7.96204e+04    0.250213    0.160000    0.194067    0.120000    0.400000    0.321220    0.294789
     54875   -7.99293e+04    0.249958    0.080000    0.192967    0.200000    0.400000    0.322867    0.295727
     54900   -8.02168e+04    0.251531    0.240000    0.195853    0.360000    0.400000    0.321853    0.294187
     54925   -7.93360e+04    0.251116    0.186667    0.195087    0.480000    0.480000    0.323633    0.293271
     54950   -8.01558e+04    0.249844    0.213333    0.196673    0.280000    0.440000    0.323327    0.293542
     54975   -7.93060e+04    0.248773    0.160000    0.194107    0.280000    0.240000    0.321500    0.296193
     55000   -7.91639e+04    0.248540    0.133333    0.192953    0.400000    0.320000    0.323987    0.296787
     55025   -7.89727e+04    0.249580    0.133333    0.192120    0.600000    0.480000    0.321787    0.296973
     55050   -7.83801e+04    0.250269    0.146667    0.194127    0.280000    0.320000    0.320433    0.297220
     55075   -7.92998e+04    0.248469    0.226667    0.192853    0.320000    0.160000    0.321640    0.295178
     55100   -7.87609e+04    0.247458    0.186667    0.189780    0.160000    0.280000    0.322793    0.296578
     55125   -7.89381e+04    0.247498    0.266667    0.190473    0.240000    0.360000    0.324507    0.297064
     55150   -7.83441e+04    0.245489    0.173333    0.188493    0.360000    0.240000    0.322800    0.296987
     55175   -7.93879e+04    0.243158    0.120000    0.187933    0.240000    0.320000    0.325800    0.296562
     55200   -7.89838e+04    0.245351    0.200000    0.189140    0.360000    0.320000    0.323013    0.295042
     55225   -7.94007e+04    0.248709    0.173333    0.191660    0.240000    0.240000    0.322460    0.293411
