 iteration         deme_1         deme_2         deme_3
     50025     235.427400      91.013659      92.790038
     50050     232.654971      90.786171      92.406962
     50075     227.697630      89.207676      90.434595
     50100     230.425396      86.680084      94.375018
     50125     217.639034      89.879834      92.970252
     50150     220.417240      89.904183      93.566803
     50175     227.334223      90.260433      94.016753
     50200     231.134562      89.345050      92.066224
     50225     221.383985      90.293550      92.288300
     50250     226.253461      91.569651      91.724127
     50275     224.803869      89.094295      91.289429
     50300     227.241890      85.573042      92.929648
     50325     223.093391      84.444661      92.113220
     50350     222.305747      86.006312      89.946552
     50375     223.006395      85.298368      91.547413
     50400     224.846649      86.177855      92.277348
     50425     213.622632      86.177855      92.286880
     50450     210.480764      86.952935      92.771006
     50475     221.695427      85.998974      94.793813
     50500     217.542742      86.975350      93.980577
     50525     219.558783      86.197649      95.389237
     50550     224.316356      87.417622      90.929447
     50575     208.278713      86.161338      94.276821
     50600     222.606573      87.898433      91.528276
     50625     220.195969      89.763612      91.528276
     50650     221.592318      89.819831      88.609058
     50675     221.762748      88.458591      92.075886
     50700     215.379360      87.098197      89.763604
     50725     215.714377      85.780392      92.811490
     50750     211.729072      85.501143      90.796153
     50775     217.731336      85.350251      90.097237
     50800     223.837555      84.355836      90.462593
     50825     220.680985      84.832106      91.798065
     50850     218.658075      82.863330      95.032319
     50875     215.473439      84.601389      93.836162
     50900     207.749389      85.380998      92.429565
     50925     218.786622      84.831329      91.759916
     50950     209.157873      87.196889      94.894001
     50975     204.932276      87.539546      98.371709
     51000     212.201577      86.980938      98.153008
     51025     213.279889      86.791107      98.209106
     51050     215.654171      84.606096      97.928235
     51075     221.971983      84.947206      97.776995
     51100     218.762553      88.227326      96.465112
     51125     224.382113      88.012834      96.675657
     51150     222.226050      88.329941      97.041262
     51175     217.184435      83.750741      98.878214
     51200     207.943961      86.566100      99.639034
     51225     218.646988      86.558828      98.139484
     51250     223.952399      86.944696      98.755931
     51275     224.629191      87.057424      97.297134
     51300     219.255588      87.164366      97.087008
     51325     214.317838      88.304148      96.496345
     51350     214.020298      86.011188      95.104525
     51375     217.368470      86.979127      95.132066
     51400     219.531088      87.444584      94.977407
     51425     215.280465      88.613856      96.327593
     51450     219.602030      89.641003      96.768057
     51475     224.332075      87.735226      96.716375
     51500     215.899460      85.419674      92.773067
     51525     213.310255      83.461767      93.923847
     51550     208.205636      84.338387      92.487192
     51575     209.010629      83.941693      91.504626
     51600     201.945024      84.179842      95.511187
     51625     197.843554      82.124987      94.025961
     51650     202.219491      83.068211      93.320448
     51675     205.102968      83.697773      94.059387
     51700     198.709288      84.042214      93.424800
     51725     203.687719      83.392110      95.189472
     51750     190.591136      84.356969      95.727437
     51775     191.613386      84.867518      95.260627
     51800     188.912580      85.857692      93.856901
     51825     195.412979      84.191534      92.570354
     51850     196.508544      88.702181      95.669848
     51875     199.677050      88.172886      96.058564
     51900     196.599035      87.865199      94.056224
     51925     207.062317      89.089671      92.697123
     51950     207.376024      87.146339      93.954201
     51975     201.992684      88.981199      91.539986
     52000     203.940808      89.962445      94.869501
     52025     200.133251      90.057585      94.273636
     52050     198.409636      90.463617      94.253095
     52075     207.252434      88.666040      93.795757
     52100     205.304540      87.381044      93.137025
     52125     202.248431      88.220368      96.618652
     52150     194.081582      89.899275      95.453438
     52175     199.648478      91.015181      93.956600
     52200     192.399607      93.185866      95.374652
     52225     195.118256      92.036995      93.808319
     52250     193.732980      92.291568      96.043296
     52275     194.087371      91.191576      95.887164
     52300     184.495192      88.844757      93.017955
     52325     181.053857      91.217978      95.648075
     52350     173.725221      88.598943      96.161112
     52375     171.180803      91.296917      94.930844
     52400     175.129677      92.435657      92.652149
     52425     177.326282      88.996603      94.318786
     52450     184.053674      88.714713      92.487295
     52475     179.043203      89.161119      95.449321
     52500     183.277760      90.734669      94.661244
     52525     188.416703      91.487145      93.911004
     52550     189.374670      90.721303      90.435781
     52575     190.487836      90.721303      89.307056
     52600     188.639166      90.593524      89.235059
     52625     189.731923      89.669004      86.952546
     52650     190.872207      88.495654      86.857149
     52675     198.290184      87.039422      85.418346
     52700     197.928162      86.390091      83.874842
     52725     197.386902      86.589697      83.353128
     52750     199.862662      87.401614      84.855737
     52775     198.839945      88.999242      89.236711
     52800     198.243420      88.826324      87.269676
     52825     199.829847      87.053967      85.203812
     52850     197.183454      87.970999      85.661263
     52875     200.176095      86.989978      87.794583
     52900     199.788677      87.900925      84.335368
     52925     205.842987      87.729053      87.660809
     52950     209.619836      88.787256      86.668036
