 iteration      beta_a      beta_b
     50025    0.705457    3.524075
     50050    0.694921    3.415498
     50075    0.679349    3.359493
     50100    0.684609    3.390818
     50125    0.690852    3.457248
     50150    0.707077    3.468277
     50175    0.681028    3.420277
     50200    0.703920    3.481311
     50225    0.688584    3.387303
     50250    0.669595    3.414185
     50275    0.700758    3.508685
     50300    0.681595    3.440608
     50325    0.698133    3.460749
     50350    0.695560    3.393723
     50375    0.684575    3.431127
     50400    0.688776    3.548937
     50425    0.694396    3.529311
     50450    0.675972    3.369102
     50475    0.683831    3.275638
     50500    0.685021    3.448932
     50525    0.678242    3.323765
     50550    0.707752    3.474225
     50575    0.700341    3.380306
     50600    0.700289    3.486424
     50625    0.689293    3.435352
     50650    0.689550    3.450237
     50675    0.661739    3.384635
     50700    0.676037    3.341718
     50725    0.693126    3.375743
     50750    0.692260    3.461801
     50775    0.689348    3.394126
     50800    0.684424    3.497420
     50825    0.704126    3.561589
     50850    0.667600    3.438047
     50875    0.684823    3.380534
     50900    0.674364    3.505005
     50925    0.674169    3.336368
     50950    0.677940    3.371690
     50975    0.685845    3.430916
     51000    0.659905    3.292505
     51025    0.656638    3.246427
     51050    0.694896    3.450614
     51075    0.687718    3.408490
     51100    0.674339    3.346239
     51125    0.679983    3.455767
     51150    0.667723    3.353017
     51175    0.678225    3.384479
     51200    0.686850    3.356007
     51225    0.691181    3.455469
     51250    0.680611    3.339333
     51275    0.690592    3.425069
     51300    0.692964    3.433446
     51325    0.685117    3.488310
     51350    0.688952    3.531013
     51375    0.705785    3.539774
     51400    0.690501    3.396311
     51425    0.660005    3.335490
     51450    0.675050    3.281426
     51475    0.693285    3.445983
     51500    0.695200    3.432198
     51525    0.701190    3.581110
     51550    0.687200    3.481147
     51575    0.668544    3.309869
     51600    0.689793    3.422064
     51625    0.688504    3.460269
     51650    0.668787    3.300304
     51675    0.687986    3.426150
     51700    0.699967    3.528404
     51725    0.690590    3.417991
     51750    0.695067    3.453878
     51775    0.689573    3.446170
     51800    0.685803    3.371218
     51825    0.690772    3.452549
     51850    0.678405    3.383580
     51875    0.684323    3.329578
     51900    0.672546    3.403113
     51925    0.673368    3.279867
     51950    0.682922    3.390311
     51975    0.675717    3.387132
     52000    0.679806    3.314380
     52025    0.674079    3.319413
     52050    0.678688    3.365874
     52075    0.704854    3.612603
     52100    0.685782    3.350765
     52125    0.707239    3.441837
     52150    0.687479    3.465426
     52175    0.666271    3.245652
     52200    0.693130    3.431178
     52225    0.690041    3.501682
     52250    0.675433    3.439026
     52275    0.673942    3.438916
     52300    0.688470    3.476100
     52325    0.674336    3.320228
     52350    0.699518    3.450006
     52375    0.679425    3.302325
     52400    0.697346    3.442593
     52425    0.683544    3.470111
     52450    0.679158    3.385784
     52475    0.672746    3.403886
     52500    0.713192    3.768821
     52525    0.671322    3.418184
     52550    0.693309    3.444720
     52575    0.690591    3.457611
     52600    0.666107    3.340921
     52625    0.704811    3.533044
     52650    0.695544    3.500219
     52675    0.689121    3.422591
     52700    0.687244    3.455708
     52725    0.682645    3.315956
     52750    0.698064    3.500586
     52775    0.698860    3.491214
     52800    0.675454    3.244163
     52825    0.683386    3.429334
     52850    0.688113    3.510927
