 iteration      lambda
     50025   22.805280
     50050   23.406878
     50075   23.454541
     50100   22.775555
     50125   22.202332
     50150   23.179948
     50175   22.825428
     50200   22.688748
     50225   24.042031
     50250   23.764302
     50275   23.110204
     50300   22.439193
     50325   22.451154
     50350   22.694620
     50375   22.338727
     50400   22.256119
     50425   22.210710
     50450   23.106379
     50475   23.095250
     50500   23.533541
     50525   23.079463
     50550   23.189593
     50575   22.439100
     50600   23.151852
     50625   23.082811
     50650   22.139689
     50675   22.122366
     50700   21.737963
     50725   22.851608
     50750   21.905895
     50775   22.564865
     50800   21.904861
     50825   22.528621
     50850   21.443417
     50875   21.271850
     50900   22.455204
     50925   22.154324
     50950   22.941734
     50975   23.019054
     51000   22.446161
     51025   22.774540
     51050   22.155897
     51075   22.958862
     51100   22.977956
     51125   22.731950
     51150   22.555505
     51175   24.124945
     51200   23.027084
     51225   22.522810
     51250   22.437664
     51275   22.850390
     51300   22.860922
     51325   24.051119
     51350   22.306812
     51375   22.105754
     51400   22.404205
     51425   22.500913
     51450   21.240524
     51475   21.696508
     51500   21.723014
     51525   21.912198
     51550   21.337801
     51575   20.925225
     51600   21.129835
     51625   21.341620
     51650   21.510637
     51675   21.483195
     51700   22.043344
     51725   22.271627
     51750   22.051940
     51775   22.600508
     51800   23.462380
     51825   23.280535
     51850   22.964625
     51875   23.278945
     51900   23.563873
     51925   22.802122
     51950   22.255484
     51975   23.004257
     52000   23.108097
     52025   22.434397
     52050   22.233372
     52075   22.690484
     52100   22.357401
     52125   22.529767
     52150   22.247557
     52175   22.667113
     52200   23.559650
     52225   22.535131
     52250   22.550031
     52275   22.649375
     52300   22.720439
     52325   22.479280
     52350   22.660653
     52375   23.299450
     52400   22.775875
     52425   23.070413
     52450   22.860398
     52475   22.378972
     52500   22.465951
     52525   22.715526
     52550   21.822459
     52575   22.162843
     52600   22.361263
     52625   20.714596
     52650   21.086065
     52675   20.518925
     52700   20.049577
     52725   20.230655
     52750   20.968555
     52775   22.282142
     52800   21.790964
     52825   21.733440
     52850   21.513715
     52875   21.662990
     52900   21.064758
     52925   21.142702
     52950   21.198584
     52975   20.978913
     53000   21.423581
     53025   21.652906
     53050   21.519864
     53075   20.937537
     53100   21.326937
     53125   21.514182
     53150   22.049218
     53175   21.243365
     53200   21.718689
     53225   21.450151
     53250   21.598925
     53275   21.411816
     53300   22.074928
     53325   22.238718
     53350   21.405483
     53375   21.241575
     53400   21.532726
     53425   21.154012
     53450   21.438096
     53475   21.588249
     53500   21.093177
     53525   20.852002
     53550   21.604259
     53575   20.639781
     53600   20.806002
     53625   21.238482
     53650   22.397236
     53675   22.011970
     53700   21.833007
     53725   22.228932
     53750   21.739217
     53775   21.301024
     53800   20.483587
     53825   20.681342
     53850   20.487920
     53875   20.184890
     53900   19.623091
     53925   19.640873
     53950   20.121024
     53975   20.189549
     54000   20.680160
     54025   20.474689
     54050   21.406647
     54075   21.005940
     54100   22.219900
     54125   21.507971
     54150   21.346968
     54175   21.931389
     54200   21.338648
     54225   21.409348
     54250   21.122366
     54275   22.267861
     54300   23.025239
     54325   22.968329
     54350   22.712499
     54375   22.572684
     54400   22.395943
     54425   22.746460
     54450   23.017177
     54475   22.948014
     54500   23.790510
     54525   24.080264
     54550   23.251621
     54575   24.077236
     54600   23.570407
     54625   23.612356
     54650   23.423411
     54675   23.460287
     54700   24.589827
     54725   24.490633
     54750   24.751763
     54775   25.024453
     54800   26.096504
     54825   25.442162
     54850   25.261589
     54875   24.553589
     54900   24.213060
     54925   25.205345
     54950   25.897431
     54975   25.203607
     55000   23.881830
     55025   23.764919
     55050   23.712249
     55075   24.621259
     55100   24.941546
     55125   24.778427
     55150   24.124454
     55175   25.404340
     55200   24.694393
     55225   25.094329
     55250   24.681010
     55275   24.644623
     55300   24.828303
     55325   24.169141
     55350   24.562306
     55375   24.718315
     55400   25.147693
     55425   25.170978
     55450   25.746781
     55475   25.632584
     55500   25.229523
     55525   24.608835
     55550   24.229257
     55575   24.356907
     55600   24.918705
     55625   25.114587
     55650   25.014399
     55675   25.927723
     55700   25.765213
     55725   24.085397
     55750   25.181549
     55775   25.443314
     55800   25.647260
     55825   25.163716
     55850   25.349078
     55875   25.505002
     55900   25.667228
     55925   25.190677
     55950   24.335212
     55975   24.334969
     56000   25.210383
     56025   25.350081
     56050   25.159252
     56075   25.576591
     56100   25.306479
     56125   25.295634
     56150   25.481614
     56175   25.915978
     56200   26.491359
     56225   25.905434
     56250   25.147031
     56275   25.602779
     56300   25.722349
     56325   24.336234
     56350   24.370910
     56375   25.151788
     56400   25.885240
     56425   25.826823
     56450   25.935894
     56475   25.884876
     56500   26.265239
     56525   26.529303
     56550   25.879063
     56575   26.035145
     56600   26.295642
     56625   25.297939
     56650   25.395225
     56675   26.231749
     56700   25.968220
     56725   26.429022
     56750   26.265204
     56775   27.446747
     56800   28.198039
     56825   26.910094
     56850   27.515905
     56875   27.228000
     56900   27.821561
     56925   26.987604
     56950   27.267487
     56975   26.333998
     57000   26.279994
     57025   26.369463
     57050   27.243053
     57075   27.533307
     57100   27.496534
     57125   28.047887
     57150   27.937340
     57175   27.597063
     57200   27.407095
     57225   27.111955
     57250   26.075439
     57275   25.240581
     57300   25.334733
     57325   25.515204
     57350   25.671066
     57375   25.427187
     57400   26.351211
     57425   25.703567
     57450   25.613706
     57475   26.014110
     57500   25.748654
     57525   26.150655
     57550   26.055502
     57575   26.232302
     57600   25.634744
     57625   25.477567
     57650   25.072219
     57675   24.301623
     57700   26.390603
     57725   25.428618
     57750   25.135990
     57775   25.962623
     57800   25.150610
     57825   25.101050
     57850   26.821809
     57875   26.411545
     57900   26.302660
     57925   25.290074
     57950   25.959662
     57975   26.455332
     58000   25.927924
     58025   25.792213
     58050   25.912460
     58075   26.543966
     58100   26.389359
     58125   26.109748
     58150   26.392437
     58175   26.191726
     58200   26.247949
     58225   27.363063
     58250   26.748021
     58275   26.599136
     58300   26.292683
     58325   26.185959
     58350   25.949836
     58375   25.749528
     58400   25.878968
     58425   26.296399
     58450   26.928444
     58475   27.007427
     58500   27.249732
     58525   25.570605
     58550   25.490633
     58575   25.720036
     58600   25.439736
     58625   25.744278
     58650   25.809225
     58675   25.433938
     58700   26.318428
     58725   25.981806
     58750   26.545500
     58775   28.019950
     58800   26.388843
     58825   27.241821
     58850   25.899513
     58875   27.468450
     58900   25.456997
     58925   25.982402
     58950   25.980295
     58975   27.531056
     59000   26.854911
     59025   26.966604
     59050   27.300244
     59075   28.885478
     59100   28.525977
     59125   28.860989
     59150   27.947760
     59175   28.583807
     59200   27.429374
     59225   27.784963
     59250   27.925041
     59275   27.491985
     59300   27.696582
     59325   27.987265
     59350   28.641112
     59375   27.706738
     59400   28.387394
     59425   27.805476
     59450   27.854942
     59475   28.561619
     59500   27.970484
     59525   28.396261
     59550   27.905771
     59575   28.690377
     59600   27.986626
     59625   28.672483
     59650   29.558344
     59675   29.351002
     59700   29.511691
     59725   28.915066
     59750   28.691103
     59775   28.211677
     59800   28.954043
     59825   28.514966
     59850   28.959718
     59875   29.688076
     59900   28.766511
     59925   29.122671
     59950   29.706348
     59975   29.472387
     60000   28.936110
     60025   27.997317
     60050   27.790064
     60075   28.529252
     60100   28.388914
     60125   28.437435
     60150   27.657819
     60175   27.086945
     60200   28.004708
     60225   28.026076
     60250   28.374165
     60275   28.664659
     60300   29.550824
     60325   28.932304
     60350   27.448692
     60375   28.135365
     60400   29.588921
     60425   28.688900
     60450   28.753546
     60475   27.726521
     60500   28.471864
     60525   28.177398
     60550   29.411138
     60575   28.652444
     60600   28.151728
     60625   27.778061
     60650   26.778936
     60675   27.643916
     60700   27.920703
     60725   27.534134
     60750   28.125972
     60775   27.992961
     60800   27.513178
     60825   27.787161
     60850   28.640096
     60875   28.470973
     60900   29.310994
     60925   28.678452
     60950   28.021759
     60975   27.812933
     61000   27.127676
     61025   27.513306
     61050   27.931888
     61075   27.517453
     61100   27.963481
     61125   27.684476
     61150   27.364768
     61175   27.081474
     61200   26.883484
     61225   27.154109
     61250   28.156617
     61275   27.610639
     61300   27.536482
     61325   27.077136
     61350   26.762138
     61375   26.415271
     61400   27.311763
     61425   26.090570
     61450   26.202628
     61475   25.921820
     61500   26.944774
     61525   26.521283
     61550   27.805836
     61575   27.242767
     61600   27.276178
     61625   26.690693
     61650   27.463481
     61675   28.296016
     61700   27.292120
     61725   26.923749
     61750   27.544591
     61775   26.827556
     61800   26.827214
     61825   26.157681
     61850   27.579280
     61875   27.499410
     61900   25.675191
     61925   26.095213
     61950   25.855722
     61975   27.382945
     62000   27.241489
     62025   26.990641
     62050   25.566345
     62075   25.684032
     62100   25.808733
     62125   25.983293
     62150   26.625799
     62175   26.685388
     62200   26.234491
     62225   26.680731
     62250   26.061525
     62275   26.343276
     62300   26.388118
     62325   26.462261
     62350   27.144445
     62375   26.196873
     62400   25.549169
     62425   25.748425
     62450   25.487813
     62475   26.971430
     62500   26.167201
     62525   26.362140
     62550   26.160897
     62575   26.339374
     62600   26.876684
     62625   27.361040
     62650   27.302798
     62675   26.623191
     62700   25.462520
     62725   26.757336
     62750   27.527325
     62775   27.393556
     62800   25.978572
     62825   26.701199
     62850   26.860993
     62875   26.660811
     62900   26.783854
     62925   26.141206
     62950   27.080993
     62975   26.938765
     63000   26.657649
     63025   26.903254
     63050   25.818569
     63075   26.024320
     63100   25.306032
     63125   26.687836
     63150   25.954863
     63175   26.137385
     63200   27.327159
     63225   25.859572
     63250   26.325609
     63275   27.547672
     63300   25.976771
     63325   26.500545
     63350   25.962649
     63375   26.051502
     63400   25.653709
     63425   25.614928
     63450   25.122527
     63475   24.525181
     63500   26.113797
     63525   24.807330
     63550   26.362441
     63575   26.026729
     63600   24.805125
     63625   25.346428
     63650   25.789609
     63675   25.914600
     63700   25.954426
     63725   26.088967
     63750   26.519676
     63775   27.242104
     63800   26.315648
     63825   26.643296
     63850   26.603981
     63875   25.388600
     63900   25.735186
     63925   25.843886
     63950   26.020309
     63975   25.611410
     64000   25.040435
     64025   26.481219
     64050   25.152801
     64075   26.311512
     64100   26.443539
     64125   27.502992
     64150   27.394160
     64175   26.596078
     64200   26.630152
     64225   25.859810
     64250   26.653470
     64275   25.532394
     64300   25.167603
     64325   25.760873
     64350   25.886629
     64375   26.475355
     64400   26.468874
     64425   26.149850
     64450   26.388023
     64475   26.441089
     64500   26.208179
     64525   26.268591
     64550   26.359971
     64575   25.436539
     64600   26.541921
     64625   26.830255
     64650   27.432013
     64675   27.912558
     64700   26.329379
     64725   26.710253
     64750   26.893297
     64775   27.552416
     64800   26.586209
     64825   26.170641
     64850   27.127900
     64875   27.002362
     64900   26.466797
     64925   26.465927
     64950   27.178002
     64975   26.319753
     65000   26.950365
     65025   27.330209
     65050   25.993031
     65075   26.615875
     65100   26.194213
     65125   26.265462
     65150   26.645377
     65175   26.890348
     65200   26.447478
     65225   26.860149
     65250   26.274002
     65275   25.840864
     65300   26.842712
     65325   26.888286
     65350   26.740691
     65375   25.946752
     65400   26.411553
     65425   26.648943
     65450   27.516623
     65475   26.995150
     65500   27.083439
     65525   27.886711
     65550   27.468988
     65575   28.064001
     65600   26.739229
     65625   28.082615
     65650   27.740300
     65675   28.065696
     65700   28.861510
     65725   28.057873
     65750   29.258910
     65775   29.674792
     65800   29.707129
     65825   28.706898
     65850   29.356612
     65875   29.165917
     65900   30.584990
     65925   31.093232
     65950   30.362414
     65975   31.249177
     66000   29.771364
     66025   29.290781
     66050   29.226515
     66075   29.656320
     66100   30.578612
     66125   29.762906
     66150   28.867623
     66175   29.999003
     66200   29.396143
     66225   29.275322
     66250   28.146335
     66275   28.356288
     66300   28.238637
     66325   29.115993
     66350   29.747418
     66375   29.841406
     66400   29.015692
     66425   29.709912
     66450   29.962927
     66475   29.983391
     66500   29.552980
     66525   28.637098
     66550   28.194423
     66575   28.262299
     66600   28.413458
     66625   27.599628
     66650   27.876678
     66675   27.843426
     66700   27.128976
     66725   27.279922
     66750   27.786945
     66775   28.914035
     66800   28.241025
     66825   28.969894
     66850   27.781522
     66875   28.214929
     66900   27.775808
     66925   27.865212
     66950   28.328480
     66975   27.472851
     67000   27.512822
     67025   27.979632
     67050   28.596716
     67075   27.701119
     67100   27.824336
     67125   27.635578
     67150   27.900448
     67175   28.041217
     67200   27.291812
     67225   27.825337
     67250   27.297366
     67275   28.837930
     67300   27.286163
     67325   28.550120
     67350   29.055228
     67375   28.722664
     67400   29.010417
     67425   28.315644
     67450   27.888512
     67475   27.756296
     67500   26.885771
     67525   26.518065
     67550   26.727671
     67575   26.656160
     67600   26.282343
     67625   25.821333
     67650   25.442668
     67675   26.354642
     67700   27.187711
     67725   27.465336
     67750   27.609079
     67775   27.449856
     67800   26.664390
     67825   27.047585
     67850   27.236022
     67875   27.353412
     67900   27.095158
     67925   27.246277
     67950   27.056163
     67975   26.909375
     68000   28.238749
     68025   27.891669
     68050   27.834510
     68075   29.236027
     68100   27.947391
     68125   26.662665
     68150   26.640172
     68175   28.141500
     68200   27.091039
     68225   28.233869
     68250   27.630010
     68275   27.429344
     68300   27.204038
     68325   26.772415
     68350   27.425354
     68375   26.871780
     68400   28.120993
     68425   27.310600
     68450   26.935375
     68475   26.424759
     68500   26.268828
     68525   26.565225
     68550   26.271459
     68575   25.807972
     68600   27.173395
     68625   26.983374
     68650   26.116022
     68675   26.398364
     68700   26.249037
     68725   25.874429
     68750   26.384261
     68775   26.697057
     68800   26.282130
     68825   25.818933
     68850   25.854997
     68875   25.855576
     68900   25.962887
     68925   25.605104
     68950   25.842796
     68975   26.431481
     69000   25.623255
     69025   26.290696
     69050   26.368338
     69075   25.901068
     69100   25.114172
     69125   25.385378
     69150   25.982790
     69175   25.967406
     69200   25.374209
     69225   24.856487
     69250   26.151312
     69275   25.644999
     69300   25.385970
     69325   25.742092
     69350   24.631001
     69375   24.987094
     69400   25.891858
     69425   26.772261
     69450   24.854792
     69475   26.890010
     69500   26.972404
     69525   26.940060
     69550   27.636331
     69575   27.735916
     69600   26.857239
     69625   26.424103
     69650   27.210109
     69675   27.166483
     69700   26.088951
     69725   27.645371
     69750   27.793955
     69775   27.072956
     69800   27.647390
     69825   26.655275
     69850   26.805449
     69875   27.096087
     69900   26.790888
     69925   27.790863
     69950   27.731311
     69975   26.879296
     70000   26.754061
     70025   27.438109
     70050   28.139096
     70075   27.344563
     70100   26.086836
     70125   26.873894
     70150   27.082562
