 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     50025   -3.62491e+05    0.245027    0.161812    0.189055    0.298351    0.278681    0.321741    0.296960
     50050   -3.61744e+05    0.242538    0.213333    0.184788    0.280000    0.160000    0.321898    0.295443
     50075   -3.62187e+05    0.242483    0.133333    0.185866    0.200000    0.240000    0.321329    0.295815
     50100   -3.62405e+05    0.242206    0.200000    0.185379    0.160000    0.160000    0.321747    0.295798
     50125   -3.61565e+05    0.242314    0.133333    0.185287    0.280000    0.200000    0.322169    0.295972
     50150   -3.60418e+05    0.242666    0.213333    0.185295    0.160000    0.240000    0.321160    0.296253
     50175   -3.60816e+05    0.243322    0.146667    0.187115    0.160000    0.240000    0.321164    0.296272
     50200   -3.60788e+05    0.242750    0.106667    0.186273    0.240000    0.280000    0.322866    0.296136
     50225   -3.61856e+05    0.243502    0.093333    0.186758    0.400000    0.280000    0.321844    0.295112
     50250   -3.60174e+05    0.242478    0.120000    0.185900    0.360000    0.400000    0.321179    0.295325
     50275   -3.60656e+05    0.242711    0.146667    0.186646    0.280000    0.120000    0.322404    0.295506
     50300   -3.60786e+05    0.243532    0.080000    0.188283    0.240000    0.360000    0.321593    0.295704
     50325   -3.61451e+05    0.242973    0.120000    0.186892    0.280000    0.480000    0.322157    0.295915
     50350   -3.63102e+05    0.242214    0.146667    0.186571    0.360000    0.120000    0.322491    0.295740
     50375   -3.61099e+05    0.243162    0.120000    0.186644    0.400000    0.360000    0.321019    0.295971
     50400   -3.60836e+05    0.243664    0.146667    0.186753    0.160000    0.120000    0.321869    0.296074
     50425   -3.60197e+05    0.243158    0.200000    0.186723    0.360000    0.240000    0.320998    0.296410
     50450   -3.60999e+05    0.243398    0.160000    0.187924    0.240000    0.240000    0.322082    0.296426
     50475   -3.61460e+05    0.242692    0.093333    0.187964    0.360000    0.480000    0.321512    0.296124
     50500   -3.59312e+05    0.243226    0.200000    0.187617    0.280000    0.320000    0.322517    0.296227
     50525   -3.58638e+05    0.243316    0.133333    0.188256    0.320000    0.360000    0.322001    0.295574
     50550   -3.58476e+05    0.243623    0.160000    0.187599    0.440000    0.200000    0.322266    0.297045
     50575   -3.58740e+05    0.243454    0.133333    0.187497    0.360000    0.400000    0.321154    0.296573
     50600   -3.59201e+05    0.242881    0.120000    0.186584    0.320000    0.320000    0.321390    0.296596
