   locus        mean         std         KLD
       1   27.591122   26.525308    0.010662
       2   27.629473   27.765953    0.008589
       3   30.406785   30.242088    0.000749
       4   28.651976   27.353300    0.007253
       5   30.679844   29.966813    0.001114
       6   28.696228   29.805001    0.006371
       7   26.630884   25.249047    0.017240
       8   26.704329   26.129162    0.013920
       9   30.765864   27.951194    0.011245
      10   24.827496   25.382329    0.027414
      11   25.407406   24.990156    0.022390
      12   25.744984   25.661394    0.019546
      13   26.193650   25.831306    0.016708
      14   24.356422   24.420172    0.031020
      15   26.051713   25.875477    0.017459
      16   26.149518   24.986169    0.019313
      17   26.682957   26.626104    0.013451
      18   25.561541   25.398487    0.020927
      19   24.761044   24.403078    0.027616
      20   21.365311   20.920591    0.067891
      21   25.386821   25.180945    0.022286
      22   27.177760   26.840538    0.010937
      23   26.484421   25.327939    0.017097
      24   28.855665   27.999275    0.005096
      25   28.581550   27.203445    0.007836
      26   26.158479   25.793394    0.016942
      27   28.640352   28.394063    0.004725
      28   27.765118   26.518794    0.010564
      29   28.051406   28.100481    0.006765
      30   26.336655   26.290917    0.015548
      31   29.093116   29.631693    0.003723
      32   34.709131   32.633563    0.009237
      33   29.161831   29.115927    0.003101
      34   25.367181   25.239109    0.022386
      35   28.084327   27.360781    0.007487
      36   26.066156   25.940524    0.017333
      37   29.334582   27.348891    0.008612
      38   24.749311   24.471168    0.027611
      39   26.329336   25.663354    0.016417
      40   29.445458   29.331094    0.002418
      41   33.433208   31.241258    0.007233
      42   24.273783   25.020841    0.033013
      43   28.494902   28.043165    0.005441
      44   27.343489   26.575341    0.010926
      45   30.453682   29.125945    0.003116
      46   31.291232   30.458648    0.000957
      47   28.439441   26.989492    0.008677
      48   26.041797   25.452128    0.018129
      49   31.263656   30.720755    0.000440
      50   31.962619   32.664823    0.000694
      51   25.533641   24.782556    0.022202
      52   21.032465   21.332999    0.072758
      53   30.395074   28.408615    0.006271
      54   34.169194   34.066982    0.003192
      55   27.011481   25.158571    0.017723
      56   32.314449   31.453311    0.001182
      57   27.456531   26.470102    0.011030
      58   26.257928   25.287139    0.017814
      59   26.605548   24.449970    0.022440
      60   23.987659   22.963969    0.036949
      61   32.295098   32.676708    0.000431
      62   28.771735   28.652260    0.004236
      63   37.092938   32.914805    0.030229
      64   25.725345   24.404006    0.023093
      65   25.114131   25.604793    0.024859
      66   25.596109   25.069103    0.021165
      67   31.775418   28.867354    0.010930
      68   26.228446   26.336599    0.016257
      69   27.485951   27.333536    0.009260
      70   23.772236   23.723327    0.036797
      71   31.830250   28.482911    0.014465
      72   23.536698   23.022822    0.039906
      73   32.984613   29.875617    0.012535
      74   33.727006   31.242442    0.009259
      75   22.932667   22.310469    0.047115
      76   30.059958   30.436598    0.001404
      77   22.857368   22.590699    0.047244
      78   27.632398   25.787189    0.014334
      79   28.477896   27.717649    0.006096
      80   30.691492   28.426968    0.007482
      81   27.542236   27.131326    0.009244
      82   27.166027   27.031360    0.010830
      83   26.383497   25.810045    0.015860
      84   25.818702   24.668857    0.021575
      85   27.195493   25.956288    0.013337
      86   26.281999   26.555015    0.016031
      87   26.768419   24.685439    0.020828
      88   29.844326   30.200279    0.001757
      89   29.809484   29.117673    0.002334
      90   27.842777   27.685105    0.007661
      91   27.006186   27.305750    0.011798
      92   29.028711   29.006700    0.003459
      93   22.105224   21.537355    0.057566
      94   27.619695   27.858711    0.008698
      95   28.645032   27.814880    0.005700
      96   21.856671   22.308441    0.060702
      97   24.596125   23.635785    0.030780
      98   24.039308   23.081466    0.036130
      99   23.722848   22.694329    0.039741
     100   29.089465   28.302814    0.004236
     101   28.498624   28.518533    0.005104
     102   31.122315   29.587045    0.003261
     103   28.031417   27.685419    0.007037
     104   29.301214   26.978926    0.010913
     105   28.022838   27.251153    0.007855
     106   26.858287   27.660867    0.013598
     107   27.118309   26.103143    0.012859
     108   27.145722   27.967167    0.012083
     109   25.169520   25.193969    0.023919
     110   24.303484   24.029704    0.031674
     111   29.323607   29.094293    0.002766
     112   26.298676   25.872126    0.016124
     113   26.880451   26.221239    0.013101
     114   26.368936   25.325015    0.017370
     115   26.783271   26.444187    0.013076
     116   25.523285   24.609735    0.022818
     117   27.934577   27.576594    0.007447
     118   28.169352   27.480911    0.007071
     119   26.780412   26.909103    0.012916
     120   27.069798   27.278416    0.011377
