 iteration         deme_1         deme_2         deme_3
     50025     307.010830     112.504631     116.038516
     50050     297.826894     112.342894     115.749719
     50075     295.575107     112.180276     116.838702
     50100     297.946322     112.656449     117.008653
     50125     298.374211     112.241074     116.921763
     50150     289.782750     111.908558     116.233030
     50175     288.524429     112.412583     115.143305
     50200     291.510389     110.773749     115.829842
     50225     291.510389     111.075745     116.798968
     50250     290.908012     111.445526     117.920073
     50275     281.086697     111.125751     117.164970
     50300     286.259357     110.278021     117.032229
     50325     288.155551     110.202434     116.838147
     50350     289.266452     110.165327     116.650719
     50375     287.847990     111.269498     116.822715
     50400     289.033587     111.242502     116.989024
     50425     285.777904     111.809752     116.497658
     50450     281.133928     110.523473     118.222586
     50475     280.302194     110.484178     118.472503
     50500     283.697945     110.089172     117.558062
     50525     282.484554     110.887931     117.457247
     50550     282.425159     110.402772     118.437830
     50575     284.159161     111.387335     119.406373
     50600     284.159161     110.456283     118.442857
     50625     286.581950     110.579096     118.973391
     50650     284.460085     110.853114     117.521918
     50675     288.241224     110.100801     117.990451
     50700     288.072159     111.150841     118.677045
     50725     287.509624     110.258804     117.218737
     50750     292.796280     109.663168     116.079823
     50775     293.382621     110.320294     117.239277
     50800     299.594496     109.449936     116.846289
     50825     293.809559     108.541264     116.318996
     50850     296.205866     108.014057     116.801518
     50875     296.571985     107.341062     117.467393
     50900     297.083353     109.228826     118.772921
     50925     302.434780     108.327256     117.725091
     50950     302.048166     108.516999     119.676442
     50975     300.204278     107.848757     118.586453
     51000     299.322979     108.652230     116.531155
     51025     303.580295     109.080374     116.393807
     51050     299.678370     109.582653     116.468645
     51075     300.155022     109.983124     115.167956
     51100     301.625732     109.289296     115.816486
     51125     301.802177     109.567611     116.072496
     51150     295.782166     108.760482     115.394312
     51175     295.021859     107.775966     115.634096
     51200     303.017659     107.590331     114.440840
     51225     301.503255     108.021440     114.866212
     51250     298.629218     107.785817     114.194857
     51275     303.051315     107.253666     114.598396
     51300     303.051315     107.989059     113.098855
     51325     305.347697     109.705226     115.360788
     51350     304.247245     110.547136     114.725335
     51375     307.401785     110.546483     115.579245
