 iteration      beta_a      beta_b
     50025    0.489330    2.589920
     50050    0.486025    2.579811
     50075    0.488523    2.600255
     50100    0.490747    2.609740
     50125    0.486634    2.564129
     50150    0.482586    2.527112
     50175    0.489406    2.611146
     50200    0.488675    2.601395
     50225    0.485741    2.584241
     50250    0.483422    2.577837
     50275    0.485030    2.549393
     50300    0.481274    2.520075
     50325    0.485290    2.579499
     50350    0.490163    2.584901
     50375    0.483552    2.538361
     50400    0.485158    2.540426
     50425    0.485087    2.545309
     50450    0.484380    2.576765
     50475    0.492592    2.620759
     50500    0.480423    2.544601
     50525    0.483382    2.556674
     50550    0.484178    2.564148
     50575    0.485298    2.570087
     50600    0.482488    2.561446
     50625    0.486390    2.561587
     50650    0.489758    2.568886
     50675    0.480720    2.572975
     50700    0.492762    2.594145
     50725    0.486645    2.555261
     50750    0.486848    2.570021
     50775    0.486943    2.589204
     50800    0.484840    2.592075
     50825    0.490838    2.568368
     50850    0.489399    2.582261
     50875    0.484098    2.540870
     50900    0.490678    2.567092
     50925    0.490554    2.574193
     50950    0.489876    2.591275
     50975    0.489545    2.594995
     51000    0.486186    2.558412
     51025    0.493077    2.618869
     51050    0.496384    2.597036
     51075    0.486171    2.573060
     51100    0.480176    2.550289
     51125    0.485015    2.588982
     51150    0.488250    2.596423
     51175    0.493576    2.605386
     51200    0.486696    2.596157
     51225    0.485648    2.569001
     51250    0.491115    2.605343
     51275    0.486748    2.585107
     51300    0.489545    2.591298
     51325    0.493021    2.614387
     51350    0.489780    2.552091
     51375    0.490928    2.595222
     51400    0.485918    2.537304
     51425    0.484033    2.538460
     51450    0.483387    2.566666
     51475    0.486812    2.551339
     51500    0.483135    2.543629
     51525    0.487462    2.583221
     51550    0.483174    2.582795
     51575    0.491753    2.599893
     51600    0.488691    2.606090
     51625    0.486090    2.559139
     51650    0.488286    2.550977
     51675    0.489707    2.582515
     51700    0.484736    2.552160
     51725    0.488176    2.564624
     51750    0.484453    2.541257
     51775    0.484483    2.574483
     51800    0.483438    2.572692
     51825    0.489596    2.559489
     51850    0.489555    2.622112
     51875    0.492623    2.606907
     51900    0.487307    2.592705
     51925    0.483730    2.574220
     51950    0.492327    2.598990
     51975    0.490809    2.595706
     52000    0.488323    2.599039
     52025    0.487884    2.575442
     52050    0.480388    2.535106
     52075    0.489388    2.562406
     52100    0.490197    2.607424
     52125    0.490116    2.599233
     52150    0.488890    2.597390
     52175    0.492512    2.639622
     52200    0.482518    2.561010
     52225    0.495666    2.645103
     52250    0.485953    2.556783
     52275    0.483553    2.573454
     52300    0.490191    2.584527
     52325    0.484677    2.568174
     52350    0.485964    2.555659
     52375    0.484271    2.606526
     52400    0.490106    2.579382
     52425    0.493961    2.572271
     52450    0.487678    2.605800
     52475    0.491232    2.614753
     52500    0.482637    2.536057
     52525    0.489644    2.578928
     52550    0.485171    2.548148
     52575    0.487778    2.561909
     52600    0.492586    2.606236
     52625    0.487985    2.614630
     52650    0.488638    2.623129
     52675    0.492025    2.562149
     52700    0.484718    2.587406
     52725    0.485688    2.543240
     52750    0.484361    2.607424
     52775    0.486754    2.560590
     52800    0.491244    2.568159
     52825    0.486624    2.553969
     52850    0.486516    2.587285
     52875    0.488255    2.604368
     52900    0.486033    2.579858
     52925    0.490894    2.568683
     52950    0.486817    2.582885
     52975    0.489868    2.625082
