 iteration      lambda
     50025   31.799219
     50050   31.335435
     50075   32.020439
     50100   31.847247
     50125   31.648790
     50150   31.392415
     50175   31.232248
     50200   31.417354
     50225   31.387589
     50250   31.197311
     50275   31.564026
     50300   31.463275
     50325   31.619684
     50350   31.517417
     50375   31.370026
     50400   31.350498
     50425   31.461724
     50450   31.431252
     50475   31.528479
     50500   31.273099
     50525   30.899828
     50550   30.937385
     50575   30.561251
     50600   31.128728
     50625   31.118002
     50650   30.870569
     50675   31.179907
     50700   30.780049
     50725   30.338173
     50750   30.673703
     50775   30.861558
     50800   31.149715
     50825   30.774422
     50850   30.936153
     50875   31.196150
     50900   30.677057
     50925   31.141047
     50950   31.318312
     50975   31.380683
     51000   31.257729
     51025   31.460694
     51050   31.165186
     51075   30.911893
     51100   31.178425
     51125   30.922119
     51150   30.933080
     51175   31.082033
     51200   31.220542
     51225   30.680586
     51250   30.519076
     51275   30.549564
     51300   31.236455
     51325   30.218187
     51350   30.667725
     51375   30.853100
     51400   31.273440
     51425   31.070534
     51450   30.882206
     51475   31.219408
     51500   30.919170
     51525   31.051522
     51550   31.129113
     51575   31.353190
     51600   32.149926
     51625   31.885284
     51650   31.253422
     51675   31.352810
     51700   31.138264
     51725   31.703683
     51750   30.855008
     51775   31.760346
     51800   31.621190
     51825   31.356085
     51850   31.201899
     51875   31.617041
     51900   31.550901
     51925   31.683050
     51950   31.507516
     51975   31.564077
     52000   31.171742
     52025   31.792708
     52050   31.519054
     52075   30.931784
     52100   30.902820
     52125   31.857707
     52150   31.430475
     52175   31.909408
     52200   31.474197
     52225   31.624562
     52250   32.271071
     52275   32.104014
     52300   31.880223
     52325   31.735713
     52350   31.643397
     52375   31.661900
     52400   31.741832
     52425   31.856544
     52450   31.547563
     52475   31.473549
     52500   32.314404
     52525   32.451427
     52550   32.180223
     52575   31.626809
     52600   31.806057
     52625   32.403899
     52650   31.911638
     52675   31.252268
     52700   31.161340
     52725   31.286255
     52750   31.175031
     52775   31.220880
     52800   31.667997
     52825   32.114266
     52850   32.019981
     52875   31.868350
     52900   31.877991
     52925   32.117042
     52950   32.214202
     52975   32.446840
     53000   32.133771
     53025   32.529392
     53050   32.705818
     53075   32.912999
     53100   32.503261
     53125   32.564220
     53150   32.774638
     53175   32.328370
     53200   32.611899
     53225   31.922522
     53250   31.559956
     53275   31.972360
     53300   32.853928
     53325   32.755530
     53350   33.156853
     53375   32.796155
     53400   33.351380
     53425   32.813814
     53450   32.863282
     53475   32.728942
     53500   32.915945
     53525   32.708709
     53550   32.450658
     53575   32.590639
     53600   32.587536
     53625   32.240058
     53650   32.339007
     53675   32.490446
     53700   32.350447
     53725   32.281716
     53750   32.425042
     53775   32.377400
     53800   32.808793
     53825   32.465743
     53850   32.214842
     53875   31.970147
     53900   31.975404
     53925   31.983562
     53950   32.088611
     53975   31.932556
     54000   32.278630
     54025   32.342034
     54050   32.618554
     54075   32.608192
     54100   32.484799
     54125   32.486658
     54150   32.227936
     54175   32.433381
     54200   32.529395
     54225   31.956551
     54250   31.471047
     54275   32.238268
     54300   32.198007
     54325   31.695167
     54350   31.528600
     54375   32.589383
     54400   32.011742
     54425   31.731713
     54450   31.862010
     54475   32.254559
     54500   31.940268
     54525   32.273489
     54550   32.037668
     54575   32.137000
     54600   31.905738
     54625   32.214690
     54650   32.327286
     54675   32.761508
     54700   32.228763
     54725   32.617103
     54750   32.563212
     54775   32.265226
     54800   32.277475
     54825   32.502733
     54850   32.034180
     54875   32.103032
     54900   31.445307
     54925   31.932353
     54950   32.240735
     54975   32.344865
     55000   32.545822
     55025   32.401408
     55050   33.119649
     55075   32.638466
     55100   32.679026
     55125   32.460916
     55150   32.933632
     55175   32.058632
     55200   33.063943
     55225   32.919830
     55250   32.676633
     55275   32.567721
     55300   32.037525
     55325   32.562185
     55350   31.842950
     55375   31.632999
     55400   31.395510
     55425   31.348207
     55450   31.416937
     55475   31.322285
     55500   31.758475
     55525   31.232396
     55550   31.306996
     55575   31.709221
     55600   31.944741
     55625   31.397490
     55650   31.482246
     55675   31.345925
     55700   31.071713
     55725   31.472285
     55750   31.265745
     55775   31.205124
     55800   30.936710
     55825   32.128143
     55850   32.252684
     55875   31.940808
     55900   32.170664
     55925   32.255451
     55950   32.518768
     55975   32.819463
     56000   32.708809
     56025   32.383562
     56050   32.111738
     56075   32.492652
     56100   32.294267
     56125   32.038739
     56150   32.538506
     56175   32.596525
     56200   32.348615
     56225   32.165343
     56250   32.775501
     56275   33.062351
     56300   32.840685
     56325   32.795605
     56350   31.715942
     56375   32.280290
     56400   31.678145
     56425   32.445807
     56450   32.076708
     56475   32.269773
     56500   32.184328
     56525   32.093087
     56550   32.251287
     56575   31.725988
     56600   31.848726
     56625   31.900519
     56650   31.726040
     56675   32.072725
     56700   32.147144
     56725   32.143464
     56750   32.251838
     56775   32.213801
     56800   32.758524
     56825   32.961170
     56850   33.479106
     56875   32.649098
     56900   32.359343
     56925   32.386916
     56950   33.106064
     56975   32.660240
     57000   33.288746
     57025   32.214470
     57050   32.272829
     57075   31.866660
     57100   31.769637
     57125   31.713583
     57150   31.722962
     57175   31.959208
     57200   31.987080
     57225   32.160736
     57250   32.326246
     57275   32.036836
     57300   32.350280
     57325   31.847518
     57350   32.149710
     57375   31.440653
     57400   31.270312
     57425   31.230656
     57450   30.860006
