 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      5025   -1.58327e+04    0.315262    0.330846    0.327827    0.277811    0.304677    0.339010    0.331726
      5050   -1.51234e+04    0.315260    0.380000    0.327600    0.240000    0.280000    0.341520    0.333740
      5075   -1.56351e+04    0.316110    0.310000    0.332740    0.360000    0.280000    0.343460    0.331430
      5100   -1.55680e+04    0.314905    0.310000    0.331560    0.480000    0.320000    0.338820    0.331790
      5125   -1.61952e+04    0.315260    0.280000    0.328320    0.160000    0.320000    0.341100    0.333300
      5150   -1.54662e+04    0.314215    0.410000    0.327280    0.520000    0.320000    0.338800    0.334255
      5175   -1.60841e+04    0.315520    0.330000    0.326560    0.360000    0.360000    0.343360    0.334615
      5200   -1.59228e+04    0.314915    0.280000    0.331420    0.200000    0.360000    0.337000    0.335085
      5225   -1.62265e+04    0.316055    0.370000    0.331860    0.440000    0.280000    0.340120    0.334155
      5250   -1.66242e+04    0.315175    0.370000    0.329200    0.400000    0.360000    0.335660    0.332960
      5275   -1.59327e+04    0.316140    0.360000    0.327220    0.280000    0.280000    0.337220    0.334730
      5300   -1.58824e+04    0.316455    0.390000    0.334400    0.360000    0.320000    0.337220    0.330880
      5325   -1.58543e+04    0.317660    0.270000    0.333360    0.400000    0.200000    0.336760    0.332625
      5350   -1.62471e+04    0.317860    0.400000    0.334440    0.480000    0.240000    0.339460    0.333745
      5375   -1.63707e+04    0.315210    0.280000    0.334620    0.440000    0.120000    0.340940    0.333045
      5400   -1.56118e+04    0.313230    0.160000    0.338940    0.280000    0.200000    0.341020    0.333440
      5425   -1.53170e+04    0.315220    0.380000    0.328460    0.320000    0.360000    0.345340    0.332575
      5450   -1.45668e+04    0.314845    0.320000    0.329080    0.240000    0.400000    0.339740    0.333470
      5475   -1.42793e+04    0.315940    0.400000    0.331480    0.360000    0.200000    0.342120    0.332185
      5500   -1.50878e+04    0.314950    0.360000    0.334580    0.280000    0.400000    0.339520    0.332370
      5525   -1.48625e+04    0.315915    0.380000    0.334340    0.320000    0.440000    0.338720    0.332820
      5550   -1.44399e+04    0.316215    0.400000    0.330700    0.200000    0.280000    0.338660    0.332255
      5575   -1.46707e+04    0.317390    0.320000    0.327360    0.280000    0.280000    0.340120    0.332400
      5600   -1.49539e+04    0.317765    0.310000    0.333200    0.440000    0.480000    0.337640    0.332770
      5625   -1.57776e+04    0.315675    0.300000    0.338720    0.240000    0.160000    0.337680    0.335090
      5650   -1.48853e+04    0.314125    0.380000    0.335040    0.160000    0.520000    0.338160    0.333520
      5675   -1.45821e+04    0.315475    0.340000    0.326920    0.440000    0.360000    0.338080    0.332215
      5700   -1.52326e+04    0.314500    0.280000    0.328720    0.400000    0.360000    0.342420    0.333860
      5725   -1.48118e+04    0.313250    0.330000    0.331480    0.200000    0.320000    0.343960    0.334805
      5750   -1.55556e+04    0.317270    0.390000    0.327800    0.280000    0.320000    0.338840    0.333135
      5775   -1.58041e+04    0.315125    0.340000    0.330900    0.160000    0.280000    0.337860    0.334005
      5800   -1.59365e+04    0.314500    0.290000    0.327060    0.280000    0.360000    0.338980    0.332230
      5825   -1.55396e+04    0.314640    0.310000    0.328760    0.040000    0.520000    0.337660    0.332520
      5850   -1.57947e+04    0.315615    0.320000    0.330520    0.520000    0.160000    0.338020    0.334470
      5875   -1.57634e+04    0.316030    0.350000    0.331820    0.280000    0.360000    0.339120    0.333365
      5900   -1.61186e+04    0.316120    0.330000    0.334940    0.440000    0.240000    0.337580    0.333740
      5925   -1.55494e+04    0.316295    0.330000    0.328160    0.280000    0.200000    0.340460    0.331355
      5950   -1.55482e+04    0.315515    0.410000    0.329240    0.280000    0.280000    0.340080    0.334035
      5975   -1.58595e+04    0.314315    0.360000    0.327940    0.360000    0.280000    0.337540    0.333230
      6000   -1.61362e+04    0.315085    0.320000    0.328520    0.120000    0.480000    0.339260    0.333680
      6025   -1.56650e+04    0.314635    0.320000    0.331740    0.160000    0.320000    0.342620    0.334300
      6050   -1.58935e+04    0.315600    0.340000    0.328160    0.200000    0.360000    0.340340    0.332260
      6075   -1.56654e+04    0.316915    0.390000    0.326560    0.160000    0.240000    0.338160    0.334565
      6100   -1.57918e+04    0.313970    0.390000    0.329620    0.280000    0.360000    0.336500    0.332750
      6125   -1.55608e+04    0.317420    0.270000    0.322860    0.480000    0.360000    0.334120    0.332025
      6150   -1.61561e+04    0.315815    0.340000    0.324280    0.480000    0.200000    0.336640    0.330815
      6175   -1.54152e+04    0.315795    0.330000    0.331520    0.280000    0.320000    0.338820    0.332885
      6200   -1.57363e+04    0.316900    0.370000    0.330560    0.240000    0.400000    0.336960    0.332880
      6225   -1.60810e+04    0.317125    0.310000    0.331100    0.400000    0.440000    0.342740    0.332320
      6250   -1.59814e+04    0.317260    0.310000    0.330540    0.160000    0.320000    0.337980    0.333455
      6275   -1.58836e+04    0.317105    0.380000    0.329940    0.360000    0.200000    0.339020    0.332410
      6300   -1.64053e+04    0.315850    0.380000    0.329600    0.240000    0.120000    0.338360    0.332655
