 iteration         deme_1         deme_2         deme_3         deme_4
      5025       9.845972      13.397842      14.734302      20.661170
      5050      10.420489      13.316225      13.262397      21.059430
      5075      10.195807      13.931151      14.300364      18.322959
      5100      10.497096      13.413748      13.450547      19.956652
      5125      11.167741      14.816969      13.573862      19.949664
      5150      10.356420      15.004706      14.209113      21.161210
      5175      10.498624      13.959542      14.244933      20.568866
      5200      10.193989      15.154288      12.839559      20.499743
      5225      10.878304      14.052118      14.133369      19.124945
      5250      10.313521      14.454975      14.876402      19.520359
      5275      10.219808      14.502533      13.647338      17.413450
      5300      10.123316      14.197448      13.957639      19.403362
      5325      10.589967      13.518302      14.400204      18.451978
      5350       9.912942      14.628261      12.979929      18.022498
      5375      10.092084      14.340030      12.942195      17.807960
      5400      10.099867      15.166490      14.597036      18.495499
      5425       9.974096      14.582968      13.142083      18.990430
      5450      10.220327      13.628526      13.230289      19.444822
      5475      10.035008      14.197950      13.350816      20.412137
      5500      10.333177      12.944024      14.486292      19.485797
      5525      10.016241      13.921242      13.381809      18.960984
      5550      10.458188      13.343792      13.321065      21.058773
      5575       9.643789      13.452611      13.313465      20.535153
      5600      10.564028      13.383676      13.273314      19.036663
      5625       9.649632      13.896778      13.463932      19.983937
      5650      10.444575      14.489038      14.836661      19.217397
      5675      10.023552      13.637002      13.714547      19.129032
      5700      10.040749      14.163837      13.592564      19.131214
      5725       9.642280      13.126020      13.699909      20.420660
      5750      10.189614      13.460084      13.750893      19.620421
      5775       9.809284      13.569895      13.772833      19.081737
      5800      10.059469      14.601620      13.472014      22.333497
      5825      10.598708      13.766278      14.782268      18.865548
      5850       9.959362      14.956933      13.691917      19.362209
      5875      10.485971      14.512183      13.818902      19.946445
      5900      11.316565      14.066392      13.906599      18.631046
      5925      10.316684      14.996768      14.113146      20.187581
      5950       9.481555      14.591424      14.483134      22.226064
      5975      10.036850      14.420587      13.924102      19.499186
      6000      10.687930      14.102249      14.390689      20.373773
      6025       9.879758      15.127960      12.448451      19.937709
      6050      10.545900      14.998301      14.676908      19.329339
      6075      10.972874      14.501327      12.948963      21.124541
      6100      10.279462      15.700255      12.875921      19.413979
      6125       9.497440      13.619686      13.175073      22.494968
      6150      10.921814      14.000550      14.158881      18.138542
      6175      10.458849      13.547581      13.501614      19.669806
      6200       9.625227      13.791488      13.090208      18.672674
      6225      10.461627      13.789758      12.913012      19.520256
      6250      10.777441      14.465814      12.531083      19.838071
      6275      10.548800      14.466209      13.201510      19.837697
      6300       9.471376      13.843552      14.192313      20.653124
      6325      11.034532      14.098613      13.748334      19.106338
      6350      10.589919      14.476937      14.015972      19.107863
      6375      10.776721      14.658883      12.876769      19.946029
      6400      10.119050      14.031850      14.666141      20.685083
      6425      10.594669      14.256092      14.035413      21.154956
      6450      10.029475      13.981833      14.169973      19.547160
      6475       9.549934      15.032391      13.283138      18.437601
      6500      10.745254      14.002637      13.501629      17.488674
      6525      10.449541      13.717892      14.477937      19.724754
      6550      10.367782      15.790732      13.247944      19.697984
      6575      10.182468      13.399433      13.298342      19.463589
      6600      10.143627      13.868484      12.933624      20.648244
      6625       9.807765      13.840316      13.548467      18.138692
      6650      11.000828      13.533581      12.978860      19.023890
      6675      10.332129      14.569439      14.101005      20.822464
      6700      10.118007      13.881935      13.175104      20.631653
      6725      10.261734      13.730217      12.960702      20.012036
      6750      10.577021      13.725823      13.386959      20.849812
      6775      10.118102      12.620570      14.538819      18.745804
      6800      10.183916      14.462196      13.871260      19.452960
      6825       9.961437      15.163739      13.917669      18.207432
      6850      10.161816      15.031292      13.626224      18.530690
      6875      10.681460      14.129857      14.305574      19.860619
      6900      10.534740      12.962955      13.179761      18.949347
