 iteration      beta_a      beta_b
      5025    2.621976    1.253382
      5050    2.521244    1.225809
      5075    2.622234    1.226660
      5100    2.630466    1.237789
      5125    2.627481    1.227141
      5150    2.532034    1.221694
      5175    2.697288    1.239696
      5200    2.764407    1.304335
      5225    2.798328    1.316920
      5250    2.642027    1.319340
      5275    2.479386    1.230280
      5300    2.574054    1.246456
      5325    2.481880    1.243629
      5350    2.786662    1.299514
      5375    2.703756    1.312795
      5400    2.604766    1.281579
      5425    2.665432    1.269619
      5450    2.478122    1.242219
      5475    2.544717    1.202956
      5500    2.636265    1.350511
      5525    2.786608    1.332191
      5550    2.550077    1.259517
      5575    2.594364    1.265806
      5600    2.645108    1.270119
      5625    2.859438    1.359144
      5650    2.488281    1.256789
      5675    2.410732    1.164083
      5700    2.720242    1.275976
      5725    2.452450    1.204038
      5750    2.547956    1.270628
      5775    2.667317    1.267802
      5800    2.593215    1.237313
      5825    2.591644    1.223499
      5850    2.523288    1.223440
      5875    2.471403    1.206273
      5900    2.577397    1.277422
      5925    2.590788    1.206303
      5950    2.790503    1.304353
      5975    2.767756    1.323036
      6000    2.699505    1.295322
      6025    2.603689    1.277170
      6050    2.632833    1.232153
      6075    2.659260    1.262463
      6100    2.575653    1.244997
      6125    2.528296    1.167008
      6150    2.708435    1.329607
      6175    2.679003    1.264231
      6200    2.699380    1.234337
      6225    2.610701    1.326409
      6250    2.567147    1.222790
      6275    2.608745    1.268256
      6300    2.746818    1.312153
      6325    2.665031    1.258709
      6350    2.724779    1.282383
      6375    2.580369    1.257245
      6400    2.589614    1.275632
      6425    2.663833    1.282839
      6450    2.613309    1.280321
      6475    2.612291    1.222328
      6500    2.769516    1.358701
      6525    2.521645    1.236777
      6550    2.611922    1.275078
      6575    2.582634    1.304313
      6600    2.631141    1.312989
      6625    2.677836    1.285380
      6650    2.615738    1.227055
      6675    2.526795    1.218285
      6700    2.666318    1.317065
      6725    2.636025    1.287137
      6750    2.685271    1.318731
      6775    2.733916    1.321025
      6800    2.658083    1.307265
      6825    2.605446    1.249209
      6850    2.686161    1.307905
      6875    2.628854    1.255471
      6900    2.739078    1.312283
      6925    2.563155    1.220431
      6950    2.594146    1.250270
      6975    2.729158    1.286121
      7000    2.691625    1.252382
      7025    2.509819    1.221920
      7050    2.763074    1.329655
      7075    2.635820    1.235439
      7100    2.672057    1.263678
      7125    2.535493    1.263674
      7150    2.687537    1.292860
      7175    2.614663    1.236639
      7200    2.711867    1.273728
      7225    2.528320    1.278578
      7250    2.560317    1.272037
      7275    2.583431    1.257278
      7300    2.522597    1.240981
      7325    2.827620    1.323961
      7350    2.647909    1.230004
      7375    2.666370    1.312719
      7400    2.687443    1.291646
      7425    2.671296    1.304112
      7450    2.552926    1.261919
      7475    2.480938    1.239550
      7500    2.744987    1.315304
      7525    2.613342    1.286367
      7550    2.568270    1.242195
      7575    2.663680    1.282904
      7600    2.646634    1.274484
      7625    2.704377    1.317803
      7650    2.590105    1.220461
      7675    2.623161    1.281395
      7700    2.590510    1.245549
      7725    2.700518    1.294083
      7750    2.785835    1.336229
      7775    2.798969    1.280051
      7800    2.483515    1.210686
      7825    2.651083    1.310889
      7850    2.451722    1.205515
      7875    2.566511    1.243040
      7900    2.624837    1.311073
      7925    2.657452    1.269529
      7950    2.639296    1.305275
      7975    2.711389    1.303389
      8000    2.720442    1.277930
      8025    2.525629    1.202043
      8050    2.568115    1.259269
      8075    2.561171    1.240382
      8100    2.685542    1.325527
      8125    2.600876    1.262689
      8150    2.714761    1.324553
      8175    2.745975    1.343276
      8200    2.706064    1.308065
      8225    2.449758    1.189279
      8250    2.531165    1.222005
      8275    2.627715    1.252874
      8300    2.641007    1.273063
      8325    2.498609    1.237298
      8350    2.648111    1.295176
      8375    2.594197    1.273532
      8400    2.512943    1.228061
      8425    2.681954    1.276035
      8450    2.743965    1.321023
      8475    2.602976    1.221000
      8500    2.720108    1.300057
      8525    2.698887    1.270923
      8550    2.640813    1.287814
      8575    2.560283    1.254829
      8600    2.602186    1.260041
      8625    2.664783    1.266133
      8650    2.626035    1.295201
      8675    2.585152    1.238399
      8700    2.425559    1.179777
      8725    2.467352    1.244849
      8750    2.623856    1.244226
      8775    2.644954    1.288831
      8800    2.526052    1.266134
      8825    2.488880    1.257067
      8850    2.497937    1.209312
      8875    2.678502    1.295065
      8900    2.664493    1.275535
      8925    2.670490    1.281775
      8950    2.560841    1.232111
      8975    2.615231    1.245079
      9000    2.640607    1.255121
      9025    2.595931    1.281985
      9050    2.698183    1.309410
      9075    2.905558    1.322346
      9100    2.656048    1.250927
      9125    2.627504    1.299133
      9150    2.531260    1.231105
      9175    2.471044    1.229448
      9200    2.535978    1.224248
      9225    2.662983    1.248315
      9250    2.667972    1.309411
      9275    2.695830    1.300081
      9300    2.630231    1.234332
      9325    2.703377    1.319010
      9350    2.592840    1.323160
      9375    2.602956    1.245714
      9400    2.499979    1.224053
      9425    2.644549    1.251264
      9450    2.620025    1.249942
      9475    2.543771    1.192147
      9500    2.666736    1.282306
      9525    2.548234    1.237128
      9550    2.582312    1.250665
      9575    2.663207    1.292813
      9600    2.740678    1.333269
      9625    2.614398    1.276248
      9650    2.673936    1.274658
      9675    2.658089    1.272058
      9700    2.584059    1.338841
      9725    2.608360    1.330169
      9750    2.646450    1.267480
      9775    2.622851    1.270019
      9800    2.626260    1.279608
      9825    2.718493    1.253529
      9850    2.782979    1.326318
      9875    2.507799    1.212326
      9900    2.514861    1.215794
      9925    2.682608    1.245936
      9950    2.585487    1.247121
      9975    2.597302    1.242232
     10000    2.603607    1.266691
     10025    2.589031    1.301480
     10050    2.718607    1.331796
     10075    2.638494    1.264467
     10100    2.691728    1.283745
     10125    2.522950    1.200169
     10150    2.662751    1.245408
     10175    2.546034    1.233816
