 iteration      lambda
      5025    0.628076
      5050    0.590953
      5075    0.632240
      5100    0.605205
      5125    0.659090
      5150    0.615567
      5175    0.629480
      5200    0.641695
      5225    0.621990
      5250    0.649616
      5275    0.611026
      5300    0.634312
      5325    0.606167
      5350    0.631926
      5375    0.642744
      5400    0.603746
      5425    0.597184
      5450    0.552102
      5475    0.561060
      5500    0.569124
      5525    0.575626
      5550    0.543283
      5575    0.564133
      5600    0.572015
      5625    0.589741
      5650    0.583511
      5675    0.544634
      5700    0.551916
      5725    0.602858
      5750    0.589832
      5775    0.626601
      5800    0.589275
      5825    0.596528
      5850    0.623855
      5875    0.659194
      5900    0.643306
      5925    0.630231
      5950    0.620534
      5975    0.581633
      6000    0.623774
      6025    0.637417
      6050    0.627148
      6075    0.620664
      6100    0.596266
      6125    0.643379
      6150    0.626405
      6175    0.605425
      6200    0.646376
      6225    0.673888
      6250    0.666820
      6275    0.631308
      6300    0.654687
      6325    0.704803
      6350    0.647720
      6375    0.634684
      6400    0.647276
      6425    0.675902
      6450    0.721288
      6475    0.715755
      6500    0.694703
      6525    0.728872
      6550    0.714827
      6575    0.750065
      6600    0.677532
      6625    0.745768
      6650    0.703580
      6675    0.714693
      6700    0.668993
      6725    0.623467
      6750    0.599428
      6775    0.577633
      6800    0.579605
      6825    0.543343
      6850    0.563523
      6875    0.543424
      6900    0.563857
      6925    0.575078
      6950    0.554515
      6975    0.522067
      7000    0.586649
      7025    0.590550
      7050    0.608527
      7075    0.627363
      7100    0.629312
      7125    0.636269
      7150    0.636369
      7175    0.662394
      7200    0.638301
      7225    0.644663
      7250    0.666143
      7275    0.649530
      7300    0.648691
      7325    0.635270
      7350    0.637894
      7375    0.611079
      7400    0.631355
      7425    0.619838
      7450    0.659493
      7475    0.610445
      7500    0.640603
      7525    0.634288
      7550    0.606773
      7575    0.599781
      7600    0.623480
      7625    0.646883
      7650    0.646459
      7675    0.626453
      7700    0.650740
      7725    0.636895
      7750    0.648113
      7775    0.625417
      7800    0.633232
      7825    0.661441
      7850    0.656452
      7875    0.660830
      7900    0.672911
      7925    0.656927
      7950    0.683479
      7975    0.664949
      8000    0.690286
      8025    0.669842
      8050    0.737180
      8075    0.643853
      8100    0.687468
      8125    0.672686
      8150    0.640151
      8175    0.653319
      8200    0.614280
      8225    0.675386
      8250    0.711301
      8275    0.710632
      8300    0.691158
      8325    0.688534
      8350    0.608686
      8375    0.676513
      8400    0.721592
      8425    0.696319
      8450    0.733123
      8475    0.616178
      8500    0.670729
      8525    0.696863
      8550    0.660395
      8575    0.666143
      8600    0.690205
      8625    0.717649
      8650    0.702090
      8675    0.744456
      8700    0.728711
      8725    0.676647
      8750    0.721273
      8775    0.685900
      8800    0.685554
      8825    0.687831
      8850    0.669397
      8875    0.651309
      8900    0.672604
      8925    0.615219
      8950    0.663194
      8975    0.649404
      9000    0.624606
      9025    0.586592
      9050    0.565328
      9075    0.557186
      9100    0.590418
      9125    0.600328
      9150    0.597258
      9175    0.555729
      9200    0.605591
      9225    0.606006
      9250    0.581475
      9275    0.566736
      9300    0.604425
      9325    0.589130
      9350    0.588397
      9375    0.549668
      9400    0.568376
      9425    0.507491
      9450    0.521866
      9475    0.532745
      9500    0.583613
      9525    0.594311
      9550    0.587429
      9575    0.580087
      9600    0.591026
      9625    0.584103
      9650    0.596588
      9675    0.576820
      9700    0.613988
      9725    0.632263
      9750    0.597784
      9775    0.587573
      9800    0.562847
      9825    0.617134
      9850    0.609512
      9875    0.604940
      9900    0.571080
      9925    0.596867
      9950    0.583065
      9975    0.535042
     10000    0.558955
     10025    0.536833
     10050    0.580479
     10075    0.604582
     10100    0.625322
     10125    0.689926
     10150    0.677554
     10175    0.704233
     10200    0.679633
     10225    0.685938
     10250    0.644435
     10275    0.649935
     10300    0.683975
     10325    0.728809
     10350    0.636144
     10375    0.634040
     10400    0.636497
     10425    0.713067
     10450    0.645429
     10475    0.664830
     10500    0.684754
     10525    0.707823
     10550    0.752006
     10575    0.813516
     10600    0.799041
     10625    0.808714
     10650    0.815266
     10675    0.820775
     10700    0.821907
     10725    0.850803
     10750    0.782585
     10775    0.782702
     10800    0.747901
     10825    0.758965
     10850    0.747101
     10875    0.715029
     10900    0.730198
     10925    0.708584
     10950    0.819815
     10975    0.768785
     11000    0.732001
     11025    0.798251
     11050    0.840316
     11075    0.804679
     11100    0.841197
     11125    0.749866
     11150    0.744937
     11175    0.751536
     11200    0.826055
     11225    0.779561
     11250    0.808230
     11275    0.799100
     11300    0.791657
     11325    0.851601
     11350    0.832170
     11375    0.852016
     11400    0.821776
     11425    0.833594
     11450    0.817502
     11475    0.805412
     11500    0.735665
     11525    0.750995
     11550    0.759752
     11575    0.772886
     11600    0.722146
     11625    0.728951
     11650    0.817196
     11675    0.781350
     11700    0.770109
     11725    0.796339
     11750    0.724537
     11775    0.792878
     11800    0.773485
     11825    0.820024
     11850    0.774710
     11875    0.816476
     11900    0.777725
     11925    0.766805
     11950    0.689485
     11975    0.732044
     12000    0.714021
     12025    0.748163
     12050    0.710193
     12075    0.729926
     12100    0.778790
     12125    0.799818
     12150    0.816332
     12175    0.805183
     12200    0.769289
     12225    0.741109
     12250    0.743172
     12275    0.713930
     12300    0.734574
