 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      5025   -2.27974e+04    0.315243    0.315771    0.327091    0.277612    0.285373    0.338748    0.330597
      5050   -2.31523e+04    0.318301    0.280000    0.326972    0.360000    0.320000    0.336576    0.330476
      5075   -2.26536e+04    0.315474    0.280000    0.326207    0.240000    0.200000    0.335331    0.330720
      5100   -2.22473e+04    0.313864    0.300000    0.327203    0.280000    0.240000    0.339120    0.332423
      5125   -2.20973e+04    0.314580    0.360000    0.330422    0.240000    0.280000    0.341325    0.329951
      5150   -2.18903e+04    0.315069    0.260000    0.324838    0.240000    0.240000    0.336309    0.331854
      5175   -2.17596e+04    0.315638    0.320000    0.328466    0.240000    0.280000    0.340044    0.332050
      5200   -2.13901e+04    0.315416    0.270000    0.329871    0.360000    0.240000    0.340489    0.332219
      5225   -2.17114e+04    0.315380    0.210000    0.327577    0.320000    0.200000    0.336327    0.331214
      5250   -2.22724e+04    0.316029    0.310000    0.328875    0.160000    0.280000    0.340062    0.332583
      5275   -2.15299e+04    0.314811    0.230000    0.328413    0.360000    0.200000    0.338711    0.331890
      5300   -2.16358e+04    0.313184    0.350000    0.327772    0.240000    0.320000    0.337181    0.331032
      5325   -2.15624e+04    0.316278    0.340000    0.332272    0.320000    0.200000    0.333197    0.330156
      5350   -2.18249e+04    0.318173    0.340000    0.328004    0.240000    0.200000    0.340809    0.331267
      5375   -2.15476e+04    0.314967    0.300000    0.327559    0.320000    0.320000    0.338426    0.332699
      5400   -2.09259e+04    0.314504    0.350000    0.325300    0.360000    0.360000    0.340845    0.331654
      5425   -2.06924e+04    0.314691    0.310000    0.324020    0.120000    0.240000    0.340276    0.333762
      5450   -2.15150e+04    0.313859    0.300000    0.325869    0.160000    0.560000    0.336452    0.332450
      5475   -2.10693e+04    0.315687    0.310000    0.329658    0.440000    0.360000    0.336719    0.332463
      5500   -2.12502e+04    0.314611    0.350000    0.323184    0.200000    0.160000    0.338390    0.333059
      5525   -2.11576e+04    0.315607    0.230000    0.329889    0.160000    0.320000    0.339369    0.330818
      5550   -2.15397e+04    0.314802    0.350000    0.325780    0.200000    0.280000    0.339529    0.331218
      5575   -2.10035e+04    0.315843    0.290000    0.332717    0.240000    0.400000    0.341414    0.332806
      5600   -2.11917e+04    0.315211    0.270000    0.332290    0.240000    0.320000    0.337964    0.332526
      5625   -2.09016e+04    0.316465    0.360000    0.330031    0.360000    0.320000    0.341165    0.331614
      5650   -2.06699e+04    0.315696    0.350000    0.325834    0.200000    0.360000    0.337821    0.334197
      5675   -2.11473e+04    0.315269    0.320000    0.330369    0.280000    0.520000    0.337270    0.331258
      5700   -2.09742e+04    0.315171    0.430000    0.333535    0.240000    0.400000    0.334762    0.332210
      5725   -2.13132e+04    0.313175    0.300000    0.330387    0.160000    0.240000    0.337341    0.330836
      5750   -2.11866e+04    0.315669    0.330000    0.330920    0.320000    0.240000    0.337732    0.330876
      5775   -2.14203e+04    0.316945    0.350000    0.324340    0.240000    0.320000    0.337217    0.332423
      5800   -2.14617e+04    0.314149    0.270000    0.322401    0.400000    0.280000    0.339760    0.330165
      5825   -2.19340e+04    0.315216    0.360000    0.327790    0.280000    0.200000    0.335402    0.330058
      5850   -2.18186e+04    0.316754    0.350000    0.327452    0.280000    0.280000    0.337839    0.332574
      5875   -2.18603e+04    0.315505    0.240000    0.330209    0.240000    0.160000    0.342730    0.329956
      5900   -2.19681e+04    0.314847    0.280000    0.327737    0.280000    0.200000    0.336523    0.331699
      5925   -2.24753e+04    0.314593    0.310000    0.328822    0.440000    0.160000    0.338728    0.331645
      5950   -2.23477e+04    0.315847    0.360000    0.331596    0.280000    0.240000    0.339013    0.331685
      5975   -2.22513e+04    0.314469    0.330000    0.324873    0.280000    0.080000    0.339600    0.330894
      6000   -2.17882e+04    0.315007    0.340000    0.328946    0.200000    0.360000    0.335829    0.330649
      6025   -2.13528e+04    0.314064    0.280000    0.330956    0.120000    0.280000    0.336345    0.331530
      6050   -2.13664e+04    0.316656    0.310000    0.332859    0.200000    0.320000    0.337145    0.331939
      6075   -2.10211e+04    0.316936    0.280000    0.335367    0.520000    0.160000    0.336683    0.331556
      6100   -2.12042e+04    0.316514    0.300000    0.327114    0.360000    0.200000    0.339600    0.332601
      6125   -2.12742e+04    0.316123    0.210000    0.325816    0.240000    0.280000    0.339013    0.329791
      6150   -2.12226e+04    0.315096    0.210000    0.324855    0.360000    0.320000    0.337946    0.332259
      6175   -2.14218e+04    0.315145    0.390000    0.331009    0.440000    0.200000    0.337323    0.331796
      6200   -2.15134e+04    0.317030    0.320000    0.326332    0.440000    0.200000    0.339351    0.332561
      6225   -2.12906e+04    0.316759    0.350000    0.326314    0.240000    0.320000    0.338639    0.331027
      6250   -2.21766e+04    0.314749    0.320000    0.327879    0.120000    0.360000    0.336345    0.331427
      6275   -2.22774e+04    0.316421    0.350000    0.332059    0.200000    0.440000    0.338301    0.328928
      6300   -2.23698e+04    0.314900    0.370000    0.326652    0.280000    0.360000    0.337305    0.331490
      6325   -2.19945e+04    0.314647    0.310000    0.331454    0.320000    0.200000    0.339386    0.332508
      6350   -2.18745e+04    0.313935    0.250000    0.332325    0.240000    0.400000    0.337928    0.330471
      6375   -2.14422e+04    0.313388    0.280000    0.328484    0.280000    0.320000    0.341681    0.331556
      6400   -2.17518e+04    0.316003    0.300000    0.329942    0.320000    0.200000    0.336612    0.332663
      6425   -2.20205e+04    0.315594    0.340000    0.329480    0.320000    0.200000    0.339493    0.331414
      6450   -2.13196e+04    0.315296    0.320000    0.329533    0.200000    0.280000    0.336363    0.332157
      6475   -2.19123e+04    0.315353    0.300000    0.331045    0.160000    0.160000    0.336736    0.331218
      6500   -2.20009e+04    0.315185    0.290000    0.326225    0.200000    0.280000    0.338871    0.331783
      6525   -2.19033e+04    0.315643    0.320000    0.325300    0.320000    0.400000    0.340845    0.332446
      6550   -2.22885e+04    0.312317    0.320000    0.325087    0.520000    0.360000    0.337288    0.330356
      6575   -2.20495e+04    0.316296    0.360000    0.328928    0.200000    0.280000    0.337999    0.331570
      6600   -2.25534e+04    0.315643    0.400000    0.324873    0.320000    0.200000    0.340791    0.329924
      6625   -2.23634e+04    0.314713    0.260000    0.325798    0.280000    0.240000    0.339546    0.331956
