 iteration         deme_1         deme_2         deme_3         deme_4
      5025      11.614341      15.197698      14.887555      21.393101
      5050      11.600529      15.643912      17.548435      22.244832
      5075      11.090030      16.400501      16.029792      23.089022
      5100      11.404834      14.829130      16.463612      21.099955
      5125      10.951323      14.980776      15.595819      21.871538
      5150      11.847909      15.078544      16.373811      22.400958
      5175      12.121584      15.049593      16.073596      21.748544
      5200      11.440267      14.913451      16.292959      22.320151
      5225      11.750805      14.733789      16.225549      24.008202
      5250      11.249353      15.755360      15.435363      21.765675
      5275      11.487031      14.819853      16.336278      22.299784
      5300      10.655907      14.424234      16.862716      22.678033
      5325      11.133543      15.945282      15.807424      22.665293
      5350      11.364546      16.554023      16.120003      21.515971
      5375      11.952051      15.255941      16.480952      23.315174
      5400      11.415996      15.310606      16.389820      22.777723
      5425      11.918086      15.159290      15.498361      25.802013
      5450      11.370223      15.945126      16.134902      23.216374
      5475      11.604065      14.983279      16.626546      24.143645
      5500      12.076165      15.094107      16.062649      23.511232
      5525      11.615145      15.331806      15.336669      22.276586
      5550      11.407467      14.541965      15.993005      21.067260
      5575      11.396596      14.336691      15.076737      22.485980
      5600      11.836434      14.859264      15.569581      22.769667
      5625      12.260711      14.391080      15.713655      22.959671
      5650      11.976051      14.440202      16.011861      22.892132
      5675      11.333258      14.798832      15.189559      22.047372
      5700      11.765203      15.845004      15.811499      22.890591
      5725      10.691054      15.133069      14.871539      22.966810
      5750      11.383935      14.819704      16.858535      23.987871
      5775      11.175028      14.791739      16.289736      24.619901
      5800      11.478464      14.629347      15.638926      26.909663
      5825      11.218423      13.812743      15.808534      24.365301
      5850      11.580008      14.605871      17.020870      22.579290
      5875      11.950230      14.663153      16.011311      22.460014
      5900      11.583313      15.697331      16.141077      22.322061
      5925      11.408301      15.596201      16.953953      21.146098
      5950      11.942479      16.181625      15.797186      19.970983
      5975      11.648791      16.026390      15.966333      23.215907
      6000      11.877806      15.177542      15.421177      21.414423
      6025      11.729363      14.630774      15.268129      23.474675
      6050      12.049301      14.973942      14.779551      22.331057
      6075      11.093985      14.645097      15.799180      21.584008
      6100      11.576727      15.210461      15.519148      23.938515
      6125      11.873392      15.110492      16.601207      23.392627
      6150      11.748583      14.575404      16.443994      21.454037
      6175      11.742305      14.628857      15.531753      24.530176
      6200      12.011770      14.514261      14.824856      21.061420
      6225      11.726441      15.018502      15.077151      24.823787
      6250      11.491422      15.057282      16.008933      23.604355
      6275      11.362670      14.448692      15.832365      22.893509
      6300      11.610348      16.348013      15.905395      22.361205
      6325      12.178568      15.605161      15.670274      19.982591
      6350      11.808361      15.687513      16.404829      20.026910
      6375      11.440294      15.421910      16.758214      22.443164
      6400      11.470589      15.289750      15.520249      21.027299
      6425      11.253074      16.215156      16.681983      22.250952
      6450      11.276971      14.126556      16.761275      20.838047
      6475      11.391522      15.103047      15.605434      22.117691
      6500      11.431604      14.631754      15.914834      22.913716
      6525      11.457212      15.639625      15.692897      24.475870
      6550      11.787283      15.409617      16.373383      22.468200
      6575      11.787547      15.134301      16.400909      21.006173
      6600      11.869702      14.887545      16.341853      24.443932
      6625      11.922573      15.578998      16.612608      23.374777
      6650      11.362080      14.923694      16.527240      21.815281
      6675      11.412454      15.101604      15.881527      24.135711
      6700      11.273081      16.542890      14.926363      22.993187
      6725      11.956497      15.033262      15.401961      22.082383
      6750      11.415649      16.737638      15.278556      20.938038
      6775      11.470482      14.686155      14.876476      24.362227
      6800      11.182733      14.199883      15.764934      23.549645
      6825      11.338708      15.565444      15.733385      23.653680
      6850      11.052858      15.212111      15.914071      22.299019
      6875      11.340044      15.300757      16.048203      22.623324
      6900      11.742311      15.364114      16.661636      23.506839
      6925      11.307768      14.747254      14.661649      21.066425
      6950      11.243965      14.913915      15.916241      21.950428
      6975      11.722360      16.304935      14.772007      21.552431
      7000      10.397563      15.415119      15.368096      21.736708
      7025      10.803041      15.707168      15.463513      21.013876
      7050      11.773307      15.213886      16.068650      22.018461
      7075      10.602494      15.878413      15.039241      22.013001
      7100      11.310683      15.117595      17.172525      23.297293
      7125      11.562455      15.334501      15.660955      19.809748
      7150      10.907184      15.814833      16.162990      21.936419
      7175      11.384570      14.644212      15.651832      25.444309
      7200      11.888458      14.867786      15.583822      21.661920
      7225      11.938574      14.852080      14.746107      21.743293
      7250      11.667317      15.584017      15.464899      23.126725
      7275      11.447801      15.119693      15.888062      20.111057
      7300      11.153070      15.620983      16.209892      22.246518
      7325      11.186171      16.042544      15.454417      20.828360
      7350      11.008089      16.483492      16.388535      21.508022
      7375      11.596420      14.624656      16.018561      24.498351
      7400      11.792555      14.447260      15.932574      23.331826
      7425      11.448842      14.282449      17.110534      22.333122
      7450      10.835441      15.152803      16.602922      24.549025
      7475      11.265207      15.289351      16.209919      22.175545
      7500      11.766298      15.582505      16.438964      23.603639
      7525      11.544640      16.167726      15.863721      23.577767
      7550      11.039291      14.246545      15.845307      23.465209
      7575      10.905465      15.184924      16.651013      21.115667
      7600      12.120959      16.537467      16.327918      22.471655
      7625      10.898668      15.719080      16.297341      23.778560
      7650      11.903663      15.439675      15.561831      21.544536
      7675      11.473591      16.091981      16.633712      20.493365
      7700      11.059682      14.809000      15.764312      22.447046
      7725      11.841725      15.161460      15.915418      23.583919
      7750      11.422588      15.203913      15.404640      21.256202
      7775      11.525830      15.703382      15.856763      21.965672
      7800      12.239627      15.347355      16.279287      22.769619
      7825      12.082967      15.721370      16.091914      21.077569
      7850      12.173748      16.654383      14.986186      22.484953
      7875      11.602411      15.475465      15.895761      21.498169
      7900      11.726889      15.048948      15.388798      22.782953
      7925      11.756072      15.118793      15.494057      22.255077
      7950      11.986844      15.511130      17.971344      21.534460
      7975      11.169852      14.872641      15.847764      22.541228
      8000      12.475600      14.360373      15.796962      23.827537
      8025      11.610598      14.676173      15.829636      23.711345
      8050      12.103950      16.121398      16.142320      21.823942
      8075      11.562403      15.938422      17.450659      21.403569
      8100      12.112807      14.691679      16.406645      22.488707
      8125      11.430143      14.958583      17.348375      23.344192
      8150      11.631034      15.699418      16.978697      21.278907
      8175      11.362437      15.137281      15.775869      21.453895
      8200      12.129527      15.808138      15.935991      21.069906
      8225      11.413787      15.949371      14.866679      22.410400
      8250      11.798362      16.750193      16.448011      21.303318
      8275      11.734973      15.710145      16.552403      23.896524
      8300      11.895797      16.582471      16.200125      25.435006
      8325      11.670213      14.324797      16.668677      23.766912
      8350      12.070768      14.695670      17.043752      22.952799
      8375      11.930864      14.714206      14.886405      23.801970
      8400      11.565579      15.378031      16.117257      23.907799
      8425      11.589833      14.953275      16.157557      23.373563
      8450      11.650179      16.821348      15.359171      22.614206
      8475      11.268772      14.864595      16.271520      23.305728
      8500      11.671742      15.303156      16.524564      22.506762
      8525      11.091869      15.513608      16.220786      23.632208
      8550      11.498804      15.499550      15.362388      22.190766
      8575      11.977713      17.358297      16.067319      20.977510
      8600      12.037042      16.192013      16.452152      22.160117
      8625      11.677978      15.880969      17.879824      21.563599
      8650      11.793941      16.459982      15.871464      23.241178
      8675      11.459358      15.695283      15.848943      22.839508
      8700      11.332924      15.667196      16.465280      22.406606
      8725      11.433719      15.832933      15.573059      22.528810
      8750      11.730255      16.810982      15.304697      21.898098
      8775      12.550315      14.754885      16.273529      22.763138
