 iteration      beta_a      beta_b
      5025    2.392517    1.044024
      5050    2.411697    1.073259
      5075    2.306890    1.040019
      5100    2.335849    1.068780
      5125    2.380854    1.063643
      5150    2.291541    1.052998
      5175    2.436812    1.097087
      5200    2.354898    1.044523
      5225    2.394005    1.047174
      5250    2.400709    1.078104
      5275    2.337037    1.083470
      5300    2.268826    1.029447
      5325    2.272832    1.041825
      5350    2.381794    1.088048
      5375    2.216773    0.996734
      5400    2.267139    1.038914
      5425    2.131025    0.966673
      5450    2.346173    1.077202
      5475    2.328361    1.025776
      5500    2.287169    1.036141
      5525    2.349976    1.077132
      5550    2.267505    1.016991
      5575    2.159324    1.007224
      5600    2.411663    1.073512
      5625    2.283462    1.054272
      5650    2.139458    1.007557
      5675    2.429185    1.069119
      5700    2.219088    1.016003
      5725    2.344771    1.039746
      5750    2.210841    1.028704
      5775    2.278571    1.017332
      5800    2.257796    1.036969
      5825    2.297317    1.020273
      5850    2.291043    1.049456
      5875    2.346208    1.057189
      5900    2.261001    1.002516
      5925    2.265058    1.043309
      5950    2.362558    1.035956
      5975    2.376042    1.079373
      6000    2.444029    1.065209
      6025    2.267961    1.059429
      6050    2.479036    1.099524
      6075    2.249644    1.073970
      6100    2.281295    1.038637
      6125    2.234816    1.045354
      6150    2.315692    1.020202
      6175    2.315329    1.038444
      6200    2.362176    1.062108
      6225    2.225166    1.011771
      6250    2.464848    1.129853
      6275    2.312362    1.056283
      6300    2.369252    1.074692
      6325    2.342431    1.079346
      6350    2.240191    1.049345
      6375    2.234048    1.034311
      6400    2.211773    0.983493
      6425    2.284940    1.047360
      6450    2.198478    1.034708
      6475    2.451024    1.090535
      6500    2.356465    1.074439
      6525    2.308045    1.090421
      6550    2.235461    1.036340
      6575    2.330300    1.022573
      6600    2.414935    1.080522
      6625    2.274446    1.065858
      6650    2.298760    1.051238
      6675    2.399362    1.086353
      6700    2.265933    1.039947
      6725    2.301848    1.057178
      6750    2.245414    1.036676
      6775    2.201694    1.023407
      6800    2.400154    1.078485
      6825    2.290612    1.036319
      6850    2.410021    1.086328
      6875    2.245729    0.991457
      6900    2.204801    0.994164
      6925    2.364829    1.042017
      6950    2.340263    1.063972
      6975    2.333663    1.031308
      7000    2.353748    1.065444
      7025    2.447267    1.107776
      7050    2.458498    1.097005
      7075    2.202533    1.006932
      7100    2.515568    1.096608
      7125    2.204514    1.043349
      7150    2.091870    0.973799
      7175    2.210027    0.999510
      7200    2.206130    1.037650
      7225    2.273637    1.047573
      7250    2.310568    1.048445
      7275    2.471108    1.117798
      7300    2.341181    1.052404
      7325    2.322080    1.034418
      7350    2.379054    1.024254
      7375    2.356247    1.078857
      7400    2.325421    1.043343
      7425    2.252698    1.092773
      7450    2.389310    1.064739
      7475    2.307947    1.055632
      7500    2.214105    1.044316
      7525    2.263809    1.051500
      7550    2.318951    1.039821
      7575    2.303408    1.014670
      7600    2.278505    1.009358
      7625    2.146327    1.028644
      7650    2.195999    1.000759
      7675    2.360585    1.068894
      7700    2.154457    0.970731
      7725    2.267100    1.035027
      7750    2.294242    1.066868
      7775    2.344414    1.041772
      7800    2.313862    1.059223
      7825    2.283760    1.052511
      7850    2.379365    1.083523
      7875    2.362141    1.064229
      7900    2.407135    1.063839
      7925    2.193627    1.044889
      7950    2.313411    1.029785
      7975    2.241235    1.074245
      8000    2.328408    1.075263
      8025    2.233663    1.036629
      8050    2.270299    1.074624
      8075    2.387741    1.089342
      8100    2.282995    1.017839
      8125    2.137060    0.977219
      8150    2.334797    1.042094
      8175    2.306468    1.069636
      8200    2.216993    1.023708
      8225    2.285950    1.092776
      8250    2.266312    1.032877
      8275    2.254653    1.014505
      8300    2.311452    1.066341
      8325    2.246156    1.016317
      8350    2.138322    0.978179
      8375    2.284107    1.058319
      8400    2.268192    0.993259
      8425    2.442708    1.086243
      8450    2.378096    1.094013
      8475    2.310392    1.059370
      8500    2.420981    1.071325
      8525    2.423368    1.087466
      8550    2.374211    1.070541
      8575    2.238465    1.020575
      8600    2.281635    1.045800
      8625    2.171939    0.987600
      8650    2.287571    1.032906
      8675    2.220708    1.038531
      8700    2.452732    1.107692
      8725    2.441391    1.080881
      8750    2.281392    1.069944
      8775    2.259397    1.070753
      8800    2.265646    1.029514
      8825    2.237770    1.054957
      8850    2.187910    0.996033
      8875    2.312966    1.012538
      8900    2.235353    1.029345
      8925    2.230213    1.008231
      8950    2.320650    1.030931
      8975    2.248197    1.047617
      9000    2.361700    1.039397
      9025    2.211732    1.036258
      9050    2.284883    1.070373
      9075    2.447260    1.071495
      9100    2.267655    1.027542
      9125    2.207087    0.994423
      9150    2.358667    1.054286
      9175    2.272996    1.023601
      9200    2.369250    1.082977
      9225    2.263982    1.034823
      9250    2.441649    1.102777
      9275    2.367817    1.046749
      9300    2.361733    1.035311
      9325    2.362022    1.036242
      9350    2.401070    1.111250
      9375    2.278367    1.037510
      9400    2.246321    1.055896
      9425    2.394921    1.059717
      9450    2.255882    1.073187
      9475    2.331421    1.056447
      9500    2.311420    1.050015
      9525    2.291191    1.037321
      9550    2.215703    0.997827
      9575    2.293906    1.051521
      9600    2.232791    1.002125
      9625    2.316456    1.061603
      9650    2.300423    1.053908
      9675    2.318803    1.065163
      9700    2.367370    1.049557
      9725    2.417991    1.107908
      9750    2.244176    1.037034
      9775    2.383805    1.080601
      9800    2.361809    1.080784
      9825    2.450134    1.077693
      9850    2.287599    1.046455
      9875    2.281172    1.084729
      9900    2.206218    1.013191
      9925    2.266436    1.038317
      9950    2.292146    1.063535
      9975    2.315275    1.012253
     10000    2.393099    1.089630
     10025    2.196952    1.047521
     10050    2.329456    1.039240
     10075    2.231595    1.018007
     10100    2.363954    1.064141
     10125    2.425059    1.079519
     10150    2.250971    1.051825
     10175    2.249582    1.041377
     10200    2.346657    1.056228
     10225    2.361071    1.017202
     10250    2.383653    1.129052
     10275    2.316765    1.089732
     10300    2.411338    1.068559
     10325    2.247348    1.022172
     10350    2.247913    1.081993
     10375    2.285758    1.035775
     10400    2.161662    0.976449
     10425    2.470555    1.090376
     10450    2.369763    1.051476
     10475    2.261177    1.074673
     10500    2.272391    1.041869
     10525    2.339673    1.066017
     10550    2.211480    1.014860
     10575    2.336209    1.052955
     10600    2.345276    1.037319
     10625    2.324275    1.053813
     10650    2.399986    1.070314
     10675    2.332521    1.100227
     10700    2.354833    1.055732
     10725    2.347703    1.042984
     10750    2.414839    1.056135
     10775    2.272529    1.035374
     10800    2.351056    1.062420
     10825    2.345052    1.095377
     10850    2.292389    1.039975
     10875    2.289433    1.058126
     10900    2.283139    1.034631
     10925    2.347491    1.059523
     10950    2.226615    1.038187
     10975    2.237831    1.005306
     11000    2.332702    1.033094
     11025    2.189027    0.995930
     11050    2.294425    1.075278
     11075    2.259567    1.012963
     11100    2.360845    1.074048
     11125    2.265012    1.013777
     11150    2.332254    1.038258
     11175    2.274167    1.008204
     11200    2.476740    1.093659
     11225    2.379030    1.055963
     11250    2.320324    1.022406
     11275    2.256815    1.043388
     11300    2.333984    1.045893
     11325    2.326964    1.045113
     11350    2.285893    1.059070
     11375    2.306436    1.068040
