 iteration      lambda
      5025    1.169146
      5050    1.165310
      5075    1.224715
      5100    1.112470
      5125    1.100714
      5150    1.118337
      5175    1.006868
      5200    1.044477
      5225    1.104335
      5250    1.100183
      5275    1.038524
      5300    1.077829
      5325    1.078207
      5350    1.071095
      5375    1.029839
      5400    1.026738
      5425    1.112864
      5450    1.066117
      5475    1.025510
      5500    1.016164
      5525    1.022513
      5550    1.023543
      5575    1.039953
      5600    1.024674
      5625    1.001859
      5650    0.994300
      5675    1.018469
      5700    1.033319
      5725    1.019900
      5750    1.053974
      5775    1.068812
      5800    1.049309
      5825    1.078922
      5850    1.106301
      5875    1.094801
      5900    1.109399
      5925    1.176894
      5950    1.135152
      5975    1.107394
      6000    1.129549
      6025    1.035644
      6050    1.007589
      6075    1.011736
      6100    1.021437
      6125    1.087421
      6150    1.018244
      6175    0.996845
      6200    1.104313
      6225    1.079077
      6250    1.086276
      6275    1.135879
      6300    1.027437
      6325    1.053307
      6350    1.073849
      6375    1.102926
      6400    1.089694
      6425    1.126966
      6450    1.046551
      6475    1.058619
      6500    1.051986
      6525    1.108667
      6550    1.142054
      6575    1.118773
      6600    1.151092
      6625    1.140893
      6650    1.117927
      6675    1.054748
      6700    1.061698
      6725    1.072197
      6750    0.974900
      6775    1.067042
      6800    1.014742
      6825    1.071060
      6850    1.083888
      6875    1.072874
      6900    1.112133
      6925    1.152422
      6950    1.077835
      6975    1.118760
      7000    1.103829
      7025    1.172039
      7050    1.224851
      7075    1.095368
      7100    1.052922
      7125    1.070630
      7150    1.067104
      7175    0.989421
      7200    1.003982
      7225    0.978597
      7250    1.015238
      7275    1.022773
      7300    1.038546
      7325    1.149557
      7350    1.145865
      7375    1.214065
      7400    1.131476
      7425    1.083853
      7450    1.074735
      7475    1.188780
      7500    1.144472
      7525    1.151315
      7550    1.135619
      7575    1.183759
      7600    1.207962
      7625    1.190947
      7650    1.163856
      7675    1.285414
      7700    1.190765
      7725    1.187246
      7750    1.282173
      7775    1.277229
      7800    1.310565
      7825    1.334417
      7850    1.253033
      7875    1.259552
      7900    1.199051
      7925    1.157074
      7950    1.123856
      7975    1.180066
      8000    1.134733
      8025    1.144237
      8050    1.098668
      8075    1.137812
      8100    1.146862
      8125    1.117481
      8150    1.088869
      8175    1.178335
      8200    1.180964
      8225    1.210708
      8250    1.165024
      8275    1.205325
      8300    1.140744
      8325    1.201137
      8350    1.207265
      8375    1.218232
      8400    1.203358
      8425    1.232393
      8450    1.245488
      8475    1.255340
      8500    1.349184
      8525    1.312742
      8550    1.346044
      8575    1.450882
      8600    1.469028
      8625    1.384796
      8650    1.336094
      8675    1.238395
      8700    1.269115
      8725    1.326748
      8750    1.267291
      8775    1.251584
      8800    1.363496
      8825    1.288608
      8850    1.333104
      8875    1.307709
      8900    1.211119
      8925    1.179329
      8950    1.192513
      8975    1.288222
      9000    1.266327
      9025    1.259342
      9050    1.379833
      9075    1.277482
      9100    1.282436
      9125    1.291527
      9150    1.268395
      9175    1.191859
      9200    1.128503
      9225    1.156845
      9250    1.125242
      9275    1.127942
      9300    1.138435
      9325    1.076050
      9350    1.094889
      9375    1.091969
      9400    1.100068
      9425    1.132672
      9450    1.100631
      9475    1.161183
      9500    1.051096
      9525    1.069201
      9550    1.034476
      9575    0.973435
      9600    1.014911
      9625    1.006900
      9650    1.012298
      9675    0.992806
      9700    0.973806
      9725    0.970166
      9750    1.010108
      9775    1.019932
      9800    0.982867
      9825    0.936216
