"position" "selCoef" "originGen" "type" "freq" "pa2" "prop" "count"
43174 -0.208327 1089 "m2" 0.832 0.006 0.0545454545454545 TRUE
46672 -0.183858 1025 "m2" 0.075 0.002 0.0181818181818182 TRUE
47334 0.25692 2711 "m2" 0.417 0.016 0.145454545454545 TRUE
48287 0.563601 303 "m2" 0.2625 0.061 0.554545454545455 TRUE
50750 0.48079 3996 "m2" 0.0045 0.001 0.00909090909090909 FALSE
51280 -0.118135 2310 "m2" 0.461 0.003 0.0272727272727273 TRUE
55296 0.355465 3981 "m2" 0.001 0 0 FALSE
58794 0.447449 4000 "m2" 5e-04 0 0 FALSE
61873 1.30249 3999 "m2" 5e-04 0.001 0.00909090909090909 FALSE
63113 0.122303 3816 "m2" 0.0785 0.001 0.00909090909090909 FALSE
68723 0.0997785 3965 "m2" 0.013 0 0 FALSE
70173 0.849807 3997 "m2" 0.001 0.001 0.00909090909090909 FALSE
72965 -0.725254 3975 "m2" 0.001 0.001 0.00909090909090909 FALSE
73413 0.283159 3836 "m2" 0.001 0 0 FALSE
74060 0.686017 3973 "m2" 0.0075 0.004 0.0363636363636364 TRUE
75954 -0.311851 3980 "m2" 0.021 0.002 0.0181818181818182 TRUE
202152 -0.264362 4000 "m2" 5e-04 0 0 FALSE
211435 -1.28279 4000 "m2" 5e-04 0.001 0.00909090909090909 FALSE
212810 -0.0609051 3892 "m2" 0.026 0 0 FALSE
214340 0.318909 3998 "m2" 0.0025 0 0 FALSE
215233 -0.342268 4000 "m2" 5e-04 0 0 FALSE
216392 0.133744 3901 "m2" 0.0425 0.001 0.00909090909090909 FALSE
222948 0.102056 523 "m2" 0.6185 0.002 0.0181818181818182 TRUE
223490 -0.889928 4000 "m2" 5e-04 0 0 FALSE
227269 -0.479405 3983 "m2" 0.0015 0 0 FALSE
230697 0.930502 4000 "m2" 5e-04 0 0 FALSE
235721 -0.261317 3557 "m2" 0.1115 0.007 0.0636363636363636 TRUE
236701 -0.118718 4000 "m2" 5e-04 0 0 FALSE
147303 0.0232891 1116 "m4" 1 0 0 TRUE
147564 0.0645659 3434 "m4" 1 0 0 TRUE
