   locus      deme_1      deme_2      deme_3      deme_4
       1    0.509000    0.480000    0.454000    0.513000
       2    0.459000    0.533000    0.493000    0.535000
       3    0.430000    0.541000    0.506000    0.504000
       4    0.477000    0.529000    0.464000    0.473000
       5    0.526000    0.474000    0.503000    0.474000
       6    0.457000    0.523000    0.503000    0.476000
       7    0.457000    0.518000    0.489000    0.544000
       8    0.452000    0.571000    0.516000    0.470000
       9    0.466000    0.503000    0.523000    0.531000
      10    0.487000    0.475000    0.437000    0.564000
      11    0.522000    0.457000    0.494000    0.546000
      12    0.526000    0.507000    0.491000    0.480000
      13    0.538000    0.493000    0.501000    0.472000
      14    0.516000    0.510000    0.562000    0.459000
      15    0.465000    0.555000    0.466000    0.496000
      16    0.481000    0.499000    0.495000    0.493000
      17    0.475000    0.567000    0.473000    0.514000
      18    0.492000    0.471000    0.513000    0.486000
      19    0.508000    0.523000    0.480000    0.518000
      20    0.486000    0.474000    0.528000    0.501000
      21    0.501000    0.521000    0.472000    0.483000
      22    0.701000    0.409000    0.437000    0.501000
      23    0.513000    0.546000    0.486000    0.467000
      24    0.501000    0.498000    0.517000    0.498000
      25    0.578000    0.520000    0.470000    0.499000
      26    0.503000    0.475000    0.516000    0.503000
      27    0.514000    0.494000    0.484000    0.501000
      28    0.543000    0.489000    0.416000    0.537000
      29    0.520000    0.543000    0.487000    0.534000
      30    0.511000    0.511000    0.533000    0.506000
      31    0.461000    0.510000    0.490000    0.502000
      32    0.526000    0.491000    0.513000    0.485000
      33    0.494000    0.477000    0.478000    0.462000
      34    0.519000    0.481000    0.507000    0.517000
      35    0.558000    0.430000    0.525000    0.518000
      36    0.475000    0.480000    0.535000    0.502000
      37    0.444000    0.513000    0.458000    0.495000
      38    0.426000    0.474000    0.508000    0.539000
      39    0.490000    0.478000    0.464000    0.522000
      40    0.563000    0.478000    0.473000    0.508000
      41    0.548000    0.540000    0.482000    0.489000
      42    0.489000    0.506000    0.513000    0.492000
      43    0.581000    0.415000    0.597000    0.501000
      44    0.464000    0.495000    0.500000    0.528000
      45    0.568000    0.471000    0.479000    0.490000
      46    0.516000    0.460000    0.523000    0.499000
      47    0.413000    0.554000    0.538000    0.457000
      48    0.526000    0.603000    0.509000    0.418000
      49    0.579000    0.500000    0.573000    0.460000
      50    0.547000    0.506000    0.497000    0.441000
      51    0.517000    0.504000    0.476000    0.486000
      52    0.479000    0.433000    0.530000    0.522000
      53    0.507000    0.504000    0.450000    0.475000
      54    0.524000    0.551000    0.453000    0.540000
      55    0.463000    0.632000    0.433000    0.494000
      56    0.491000    0.475000    0.486000    0.540000
