   locus        mean         std         KLD
       1    0.703502    0.749909    0.008256
       2    0.755630    0.811636    0.007093
       3    0.790830    0.897263    0.024176
       4    0.756099    0.743962    0.000324
       5    0.685163    0.771299    0.025092
       6    0.714263    0.730148    0.002315
       7    0.706335    0.749722    0.007236
       8    0.738269    0.767089    0.002299
       9    0.735439    0.759261    0.001788
      10    0.785196    0.828508    0.004615
      11    0.798307    0.856159    0.008211
      12    0.723471    0.767657    0.005843
      13    0.693829    0.748982    0.011849
      14    0.734196    0.762965    0.002467
      15    0.701993    0.727101    0.004453
      16    0.779319    0.766683    0.000752
      17    0.816621    0.856717    0.006067
      18    0.700277    0.718339    0.003839
      19    0.748566    0.783389    0.002875
      20    0.732197    0.744308    0.000916
      21    0.763556    0.796419    0.002445
      22    1.269604    1.412867    0.176321
      23    0.697423    0.703209    0.003374
      24    0.653630    0.692795    0.014934
      25    0.783865    0.846580    0.008866
      26    0.744984    0.756131    0.000428
      27    0.661031    0.658261    0.008823
      28    0.858386    0.837428    0.008979
      29    0.729106    0.796091    0.011568
      30    0.716250    0.786119    0.013752
      31    0.770111    0.748416    0.001155
      32    0.706117    0.712814    0.002496
      33    0.755143    0.740498    0.000477
      34    0.725982    0.760957    0.003882
      35    0.837746    0.889746    0.010285
      36    0.709930    0.682539    0.003929
      37    0.764070    0.786419    0.001162
      38    0.764337    0.796156    0.002300
      39    0.796460    0.818242    0.002287
      40    0.770105    0.811098    0.003819
      41    0.807816    0.798347    0.002319
      42    0.760273    0.746024    0.000451
      43    0.943156    0.988230    0.028978
      44    0.702272    0.753235    0.009556
      45    0.818642    0.824763    0.003212
      46    0.818014    0.836795    0.003767
      47    0.883912    0.944852    0.018777
      48    0.839522    0.948844    0.027268
      49    0.826345    0.865699    0.006889
      50    0.792591    0.841283    0.005949
      51    0.732769    0.771834    0.004212
      52    0.694103    0.705919    0.004051
      53    0.750699    0.783742    0.002555
      54    0.729869    0.760486    0.002952
      55    0.925180    1.025942    0.036753
      56    0.747091    0.750561    0.000119
      57    0.750824    0.757076    0.000129
      58    0.766645    0.803664    0.003106
      59    0.770066    0.786179    0.000723
      60    0.711652    0.826717    0.035301
      61    0.709953    0.705307    0.002074
      62    0.708377    0.738316    0.004487
      63    0.808937    0.870800    0.009789
      64    0.740574    0.746035    0.000317
      65    0.704965    0.757114    0.009549
      66    0.723095    0.743999    0.002134
      67    0.762747    0.768927    0.000118
      68    0.744565    0.739199    0.000201
      69    0.731069    0.713924    0.001301
      70    0.787029    0.843521    0.007415
      71    0.691543    0.683531    0.004146
      72    0.770431    0.811110    0.003768
      73    0.735995    0.741910    0.000484
      74    0.749161    0.763061    0.000511
      75    0.729973    0.713103    0.001333
      76    0.804452    0.963832    0.051933
      77    0.697385    0.697845    0.003285
      78    0.795307    0.818855    0.002380
      79    0.799999    0.837956    0.004471
      80    0.682831    0.704613    0.006481
      81    0.792775    0.861353    0.010718
      82    0.717540    0.764598    0.006975
      83    0.715337    0.748707    0.004406
      84    0.842978    0.823989    0.006627
      85    0.712620    0.714486    0.001807
      86    0.773437    0.813614    0.003729
      87    0.788722    0.782897    0.000915
      88    0.837554    0.965786    0.035267
