   locus    deme        mean         std  mean_all_1   std_all_1  mean_all_2   std_all_2
       1       1   21.751273   41.082929   14.465991   20.752987   27.845757   51.554874
       1       2   15.470794   21.705175   14.706350   17.772048   16.297284   25.252150
       1       3   16.147026   22.160956   15.521023   18.901435   16.855785   25.331783
       2       1   19.343604   28.972049   18.587676   27.160643   20.072800   30.600327
       2       2   20.044804   36.096308   11.341104   14.074954   25.627029   43.952228
       2       3   18.077051   28.071938   13.083850   16.388049   22.672330   34.957686
       3       1   20.612633   34.349300   15.789473   22.272301   24.729528   41.554244
       3       2   18.077777   23.383697   21.350734   24.499476   13.254365   20.712528
       3       3   19.487063   33.028305   12.919734   15.770847   24.662835   41.155739
       4       1   18.331292   28.210166   16.763347   22.955299   19.937324   32.651415
       4       2   15.401133   21.936149   14.587109   16.911378   16.248381   26.133396
       4       3   18.813536   33.274827   10.338065   12.970372   24.857073   41.097707
       5       1   22.650643   40.606101   14.206329   20.623801   29.060004   49.822872
       5       2   16.786948   22.478996   17.258597   20.345476   16.253484   24.659897
       5       3   17.148533   22.118741   18.568943   22.475791   15.428181   21.553439
       6       1   24.655517   30.987643   21.249538   27.979534   27.301921   32.894359
       6       2   17.350693   20.483953   17.939320   21.264864   16.811683   19.726390
       6       3   42.521792   45.371426   49.613048   46.306561    6.373681    7.650093
       7       1   21.697153   36.156602   17.111314   23.598467   25.727264   43.955103
       7       2   22.374668   42.653799   13.327776   16.719195   29.157859   53.539636
       7       3   19.798070   26.756207   22.121302   26.856273   16.780540   26.321296
       8       1   22.156117   34.367390   19.223318   26.075711   24.751685   40.128731
       8       2   19.951524   25.839727   22.474632   25.749926   16.221575   25.518947
       8       3   23.461261   38.745069   13.020340   15.757644   30.967777   47.615286
       9       1   19.616849   30.919092   15.270439   20.574011   23.525728   37.453939
       9       2   18.643261   28.071211   11.254111   13.918368   23.636432   33.581859
       9       3   17.134544   21.158289   20.397607   23.069475   12.131457   16.634761
      10       1   24.038322   35.885491   26.544370   37.884497   21.099398   33.148564
      10       2   23.595516   42.165247   13.077833   16.533145   31.172772   52.198953
      10       3   23.403121   42.169711   14.170152   17.625568   30.635545   52.998374
      11       1   20.487436   32.254150   19.859560   27.574820   21.064697   36.014237
      11       2   16.696559   25.209745   12.956112   15.723292   19.928054   30.797315
      11       3   19.334827   32.052276   11.890545   15.179420   24.643062   39.088593
      12       1   88.073278   92.839204   59.176121   50.854851  107.058735  108.044742
      12       2  408.902681  101.791275  408.902681  101.791275        -nan        -nan
      12       3   92.019379  100.394481   31.686874   25.427127  111.889605  107.665961
      13       1   19.256995   31.702029   14.269294   18.902832   23.375091   38.759452
      13       2   15.195824   21.611838   14.769598   17.129766   15.653425   25.555668
      13       3   15.832613   22.960637   13.117181   16.217282   18.392425   27.617699
      14       1   17.371326   24.674511   17.962086   25.334402   16.717070   23.905428
      14       2   18.220958   26.671694    8.619315   10.601360   23.494052   31.014528
      14       3   15.264660   19.332681   18.355278   21.549086   10.752281   14.392750
      15       1   20.006239   32.120526   14.768609   20.907973   24.227083   38.353135
      15       2   16.483773   22.730468   16.441650   19.514062   16.532236   25.942238
      15       3   17.598677   26.566896   14.062415   17.058370   20.785346   32.529682
      16       1   24.101410   37.016381   26.569292   38.245690   21.256307   35.333188
      16       2   22.824078   39.285401   13.702785   16.901061   29.607393   48.690653
      16       3   24.267322   42.516133   14.080272   17.395103   31.712552   52.690620
      17       1   60.189199   79.160359   29.584383   31.431103   75.348595   90.482944
      17       2   99.083311   39.724314  101.344770   37.408571    6.125422    8.297611
      17       3   38.885969   39.653682   38.416263   32.037576   39.470596   47.448893
      18       1   16.056267   24.238212   15.587580   21.430726   16.548005   26.861482
      18       2   13.615063   17.882857   14.796048   17.730308   12.207587   17.961850
      18       3   15.522524   22.752405    9.747269   12.037428   19.203274   26.841127
      19       1   26.458379   35.274426   22.174345   29.500131   29.719979   38.787058
      19       2   41.492564   41.220644   47.344790   41.560773    6.131931    8.467650
      19       3   19.479506   22.731124   17.236221   19.499471   21.258246   24.854840
      20       1   22.267050   35.530236   18.809278   26.639937   25.180115   41.345873
      20       2   18.940541   23.763059   22.413910   25.134029   14.192918   20.833222
      20       3   23.181016   39.915659   12.504443   16.393702   30.508782   48.686660
      21       1   16.422939   22.907150   17.825268   25.202636   14.930885   20.072807
      21       2   14.913300   19.925798    8.835531   11.979911   18.738209   22.775145
      21       3   15.096251   20.049458   18.536718   22.841892    9.212959   11.929552
