   locus        mean         std
       1    0.018845    0.011915
       2    0.931648    0.025155
       3    0.039304    0.019972
       4    0.015514    0.011252
       5    0.017529    0.011899
       6    0.965856    0.018054
       7    0.023589    0.014628
       8    0.023512    0.014205
       9    0.077373    0.028555
      10    0.141888    0.036831
      11    0.068429    0.025656
      12    0.065843    0.024009
      13    0.073640    0.025285
      14    0.071333    0.025325
      15    0.070803    0.024843
      16    0.070226    0.024835
      17    0.018869    0.012275
      18    0.076896    0.026458
      19    0.071993    0.024869
      20    0.251042    0.045318
      21    0.078278    0.027050
      22    0.048456    0.021019
      23    0.069776    0.025654
      24    0.015402    0.011324
      25    0.015575    0.011327
      26    0.026432    0.014313
      27    0.019003    0.012628
      28    0.038786    0.019013
      29    0.036268    0.017996
      30    0.032869    0.016749
      31    0.025626    0.014854
      32    0.776387    0.052013
      33    0.031056    0.016386
      34    0.106789    0.031209
      35    0.018320    0.011542
      36    0.043812    0.019854
      37    0.028130    0.015773
      38    0.080235    0.026440
      39    0.018319    0.012130
      40    0.017015    0.012060
      41    0.043257    0.021480
      42    0.170910    0.039838
      43    0.015871    0.012207
      44    0.057306    0.022748
      45    0.030787    0.017124
      46    0.023096    0.014691
      47    0.125178    0.036043
      48    0.037023    0.017993
      49    0.045068    0.020887
      50    0.023597    0.015825
      51    0.179190    0.042436
      52    0.343549    0.052348
      53    0.031129    0.016895
      54    0.029349    0.016684
      55    0.116659    0.034361
      56    0.019069    0.013627
      57    0.118273    0.034615
      58    0.117439    0.034129
      59    0.115289    0.034343
      60    0.181412    0.042002
      61    0.023572    0.014711
      62    0.031380    0.016557
      63    0.068702    0.027841
      64    0.194936    0.043053
      65    0.112035    0.031361
      66    0.031452    0.015676
      67    0.103872    0.035133
      68    0.026068    0.014412
      69    0.058936    0.023543
      70    0.133004    0.035057
      71    0.049946    0.023777
      72    0.121347    0.032633
      73    0.049355    0.024109
      74    0.049747    0.024198
      75    0.144959    0.036261
      76    0.031368    0.016484
      77    0.149201    0.035924
      78    0.153018    0.040344
      79    0.018549    0.012293
      80    0.066636    0.026111
      81    0.023143    0.014029
      82    0.051659    0.021654
      83    0.035443    0.017112
      84    0.102896    0.031901
      85    0.018807    0.012132
      86    0.084596    0.028884
      87    0.396085    0.057722
      88    0.016933    0.012390
      89    0.017026    0.011679
      90    0.018285    0.011951
      91    0.044986    0.020016
      92    0.017611    0.012116
      93    0.229899    0.044470
      94    0.018975    0.012174
      95    0.035431    0.017921
      96    0.227524    0.044180
      97    0.187009    0.041061
      98    0.184789    0.038936
      99    0.078264    0.026010
     100    0.028282    0.016086
     101    0.023750    0.014102
     102    0.017131    0.012524
     103    0.018766    0.012155
     104    0.211726    0.046992
     105    0.014969    0.011324
     106    0.046502    0.020760
     107    0.033903    0.016654
     108    0.019151    0.012037
     109    0.046979    0.020402
     110    0.360234    0.055525
     111    0.046540    0.019710
     112    0.025914    0.014499
     113    0.094511    0.029930
     114    0.031371    0.016122
     115    0.033178    0.016076
     116    0.081235    0.026935
     117    0.023907    0.014237
     118    0.024055    0.014344
     119    0.019399    0.012569
     120    0.018661    0.012004
     121    0.018860    0.011758
     122    0.023255    0.014060
     123    0.072232    0.025793
     124    0.018433    0.012010
     125    0.019010    0.012220
     126    0.018775    0.012058
     127    0.057255    0.023287
     128    0.018562    0.012921
     129    0.058921    0.023119
     130    0.057921    0.025526
     131    0.015649    0.011764
     132    0.067585    0.026505
     133    0.023245    0.013901
     134    0.019250    0.012406
     135    0.015519    0.011377
     136    0.031001    0.016296
     137    0.018137    0.012009
     138    0.100536    0.030722
     139    0.104419    0.030820
     140    0.014579    0.011317
     141    0.058757    0.023227
     142    0.113484    0.032837
     143    0.033578    0.017308
     144    0.017620    0.012165
     145    0.017829    0.013462
     146    0.023112    0.013403
     147    0.218883    0.043568
     148    0.100634    0.030945
     149    0.106410    0.031470
     150    0.018175    0.012334
     151    0.130172    0.033956
     152    0.143711    0.035223
     153    0.059788    0.023217
     154    0.040092    0.019324
     155    0.018125    0.011768
     156    0.044427    0.019554
     157    0.019024    0.012595
     158    0.222588    0.043572
     159    0.036838    0.018186
     160    0.057776    0.024418
     161    0.035197    0.018084
     162    0.089338    0.028474
     163    0.092673    0.029280
     164    0.025869    0.014396
     165    0.023602    0.014512
     166    0.018373    0.012265
     167    0.070513    0.024699
     168    0.045873    0.019904
     169    0.128256    0.034034
     170    0.018264    0.012238
     171    0.015484    0.011364
     172    0.078465    0.026457
     173    0.066242    0.024110
     174    0.017236    0.013326
     175    0.028012    0.015749
     176    0.137086    0.042561
     177    0.014095    0.011510
     178    0.031023    0.016496
     179    0.031636    0.016155
     180    0.023478    0.014208
     181    0.018238    0.011483
     182    0.018051    0.011666
     183    0.050634    0.020913
     184    0.072792    0.025310
     185    0.025434    0.014728
     186    0.138176    0.039081
     187    0.018530    0.011900
     188    0.067393    0.024752
     189    0.892559    0.034256
     190    0.028929    0.016053
     191    0.087745    0.029169
     192    0.028970    0.015685
     193    0.104173    0.029330
     194    0.025770    0.014471
     195    0.031872    0.017410
     196    0.014716    0.011333
     197    0.035443    0.017618
     198    0.018820    0.012583
     199    0.079906    0.027641
     200    0.091568    0.031862
     201    0.018949    0.012108
     202    0.079501    0.027506
     203    0.031368    0.016564
     204    0.087354    0.028646
     205    0.033758    0.016531
     206    0.947900    0.022832
     207    0.025908    0.015226
     208    0.031761    0.015824
     209    0.051088    0.025463
     210    0.031997    0.016820
     211    0.025940    0.014578
     212    0.025275    0.014575
     213    0.025796    0.015183
     214    0.014743    0.011306
     215    0.038308    0.018966
     216    0.096839    0.030348
     217    0.014399    0.011368
     218    0.036588    0.017803
     219    0.025102    0.014493
     220    0.052601    0.024756
     221    0.045334    0.019812
     222    0.015203    0.011266
     223    0.023578    0.014247
     224    0.179750    0.039916
     225    0.132007    0.036104
     226    0.038256    0.018359
     227    0.023711    0.014173
     228    0.018637    0.012210
     229    0.948582    0.022117
     230    0.056520    0.023081
     231    0.025695    0.014792
     232    0.057825    0.024573
     233    0.018900    0.012262
     234    0.052600    0.023732
     235    0.052191    0.023268
     236    0.112950    0.033852
     237    0.127476    0.037384
     238    0.038248    0.018968
     239    0.294367    0.047446
     240    0.485168    0.052462
     241    0.119996    0.032563
     242    0.018665    0.012334
     243    0.040154    0.017983
     244    0.018348    0.011994
     245    0.018672    0.011662
     246    0.027871    0.015849
     247    0.121609    0.033519
     248    0.037094    0.017859
     249    0.014938    0.011086
     250    0.052746    0.023786
     251    0.015884    0.011910
     252    0.813847    0.049043
     253    0.017245    0.011508
     254    0.018584    0.011821
     255    0.023750    0.014475
     256    0.026034    0.014537
     257    0.139841    0.037390
     258    0.014654    0.011800
     259    0.031523    0.015975
     260    0.064144    0.022964
     261    0.023246    0.013876
     262    0.323802    0.054472
     263    0.122217    0.032267
     264    0.034019    0.016701
     265    0.056446    0.022501
     266    0.025352    0.014414
     267    0.087566    0.027645
     268    0.133612    0.035931
     269    0.315087    0.062817
     270    0.116563    0.032920
     271    0.842347    0.039095
     272    0.335872    0.055883
     273    0.019167    0.012595
     274    0.039807    0.018237
     275    0.264837    0.047504
     276    0.026563    0.014554
     277    0.017186    0.012222
     278    0.331614    0.053906
     279    0.018750    0.011977
     280    0.285596    0.049579
     281    0.019052    0.012469
     282    0.073213    0.026920
     283    0.077621    0.027055
     284    0.018788    0.012177
     285    0.030494    0.015908
     286    0.043289    0.020257
     287    0.036574    0.017849
     288    0.025653    0.014266
     289    0.063849    0.024354
     290    0.014423    0.010822
     291    0.019147    0.012304
     292    0.015611    0.011314
     293    0.015933    0.011497
     294    0.018831    0.011875
     295    0.017122    0.011716
     296    0.018764    0.012141
     297    0.595479    0.059973
     298    0.032238    0.016661
     299    0.545456    0.064469
     300    0.196673    0.046990
     301    0.111284    0.033991
     302    0.023607    0.014035
     303    0.107787    0.030260
     304    0.018569    0.011986
     305    0.038811    0.017731
     306    0.801467    0.045359
     307    0.015147    0.011065
     308    0.015842    0.011818
     309    0.340881    0.057071
     310    0.023286    0.013718
     311    0.017210    0.012377
     312    0.103949    0.031202
     313    0.031643    0.016271
     314    0.598759    0.069735
     315    0.696426    0.062345
     316    0.064850    0.024195
     317    0.553576    0.058141
     318    0.475881    0.057018
     319    0.018280    0.011689
     320    0.017718    0.012165
     321    0.015331    0.011625
     322    0.015117    0.011249
     323    0.017462    0.012385
     324    0.426954    0.057149
     325    0.189388    0.047001
     326    0.013614    0.011570
     327    0.025455    0.014439
     328    0.053388    0.022426
     329    0.037737    0.018309
     330    0.023093    0.014219
     331    0.023109    0.013918
     332    0.113510    0.034546
     333    0.121571    0.034855
     334    0.015371    0.011017
     335    0.081025    0.027141
     336    0.015734    0.011662
     337    0.105554    0.032738
     338    0.076269    0.025214
     339    0.708496    0.058527
     340    0.025435    0.014738
     341    0.017789    0.011750
     342    0.966375    0.017016
     343    0.032549    0.017407
     344    0.044428    0.020650
     345    0.707559    0.049428
     346    0.019258    0.012278
     347    0.476382    0.053057
     348    0.073666    0.025817
     349    0.039890    0.019008
     350    0.036360    0.019159
     351    0.160953    0.039541
     352    0.015335    0.011400
     353    0.038909    0.019169
     354    0.018788    0.012319
     355    0.015383    0.011644
     356    0.025550    0.015030
     357    0.019322    0.012815
     358    0.134204    0.035178
     359    0.085520    0.028736
     360    0.018790    0.012176
     361    0.072656    0.025645
     362    0.023459    0.014102
     363    0.036199    0.017925
     364    0.023882    0.014704
     365    0.023815    0.014199
     366    0.102425    0.031265
     367    0.063518    0.025366
     368    0.075724    0.025572
     369    0.076237    0.026226
     370    0.014840    0.011846
     371    0.092026    0.030213
     372    0.083058    0.028696
     373    0.086039    0.028557
     374    0.053555    0.022452
     375    0.018497    0.012009
     376    0.241009    0.042844
     377    0.081107    0.026384
     378    0.015213    0.011412
     379    0.025453    0.014291
     380    0.106440    0.030734
     381    0.017768    0.013035
     382    0.059510    0.023095
     383    0.236265    0.044350
     384    0.105592    0.031022
     385    0.082076    0.027873
     386    0.185690    0.039828
     387    0.045190    0.019985
     388    0.017685    0.012091
     389    0.016803    0.011891
     390    0.014639    0.011126
     391    0.091374    0.029362
     392    0.047330    0.020584
     393    0.329901    0.051206
     394    0.038904    0.017792
     395    0.015251    0.011184
     396    0.089510    0.028511
     397    0.038082    0.019630
     398    0.018398    0.012038
     399    0.018681    0.012073
     400    0.125603    0.035014
     401    0.036564    0.018245
     402    0.035947    0.017601
     403    0.031029    0.016265
     404    0.015641    0.011504
     405    0.018550    0.012295
     406    0.018531    0.011937
     407    0.030563    0.016233
     408    0.184226    0.041346
     409    0.121312    0.033775
     410    0.097318    0.029155
     411    0.016785    0.011921
     412    0.014323    0.010933
     413    0.025552    0.014320
     414    0.018498    0.011983
     415    0.667199    0.050355
     416    0.032071    0.016413
     417    0.025904    0.015129
     418    0.047911    0.020309
     419    0.154398    0.038676
     420    0.175481    0.037668
     421    0.095051    0.029289
     422    0.023804    0.014291
     423    0.018479    0.011862
     424    0.048292    0.020645
     425    0.025794    0.015124
     426    0.025513    0.014114
     427    0.023636    0.014082
     428    0.156730    0.040253
     429    0.083413    0.027792
     430    0.018775    0.011964
     431    0.158261    0.037783
     432    0.023798    0.014536
     433    0.026083    0.014202
     434    0.033165    0.016519
     435    0.015562    0.011775
     436    0.104442    0.030236
     437    0.022966    0.013758
     438    0.018643    0.012102
     439    0.232631    0.044876
     440    0.067953    0.030601
     441    0.082419    0.028115
     442    0.031861    0.016126
     443    0.065806    0.029170
     444    0.067125    0.025046
     445    0.063878    0.028782
     446    0.016747    0.012161
     447    0.018838    0.012108
     448    0.051079    0.021046
     449    0.144099    0.043707
     450    0.056200    0.022284
     451    0.075014    0.026316
     452    0.025939    0.014062
     453    0.018930    0.012213
     454    0.127519    0.036585
     455    0.036570    0.018215
     456    0.018752    0.011828
     457    0.018784    0.013819
     458    0.091861    0.028448
     459    0.036552    0.017878
     460    0.045237    0.019251
     461    0.080796    0.026325
     462    0.018483    0.012382
     463    0.119937    0.032169
     464    0.059241    0.023623
     465    0.063120    0.027987
     466    0.950117    0.020643
     467    0.958390    0.019354
     468    0.014555    0.011104
     469    0.037287    0.017907
     470    0.075537    0.025948
     471    0.015510    0.011698
     472    0.136085    0.037663
     473    0.074000    0.025907
     474    0.019162    0.012863
     475    0.023376    0.014301
     476    0.031407    0.016059
     477    0.035137    0.017591
     478    0.023580    0.014032
     479    0.015237    0.011082
     480    0.063719    0.025016
     481    0.019196    0.013841
     482    0.419709    0.053684
     483    0.017714    0.011831
     484    0.030278    0.016837
     485    0.017825    0.011990
     486    0.047615    0.020209
     487    0.547498    0.051408
     488    0.015317    0.011196
     489    0.089513    0.028832
     490    0.160798    0.039354
     491    0.121483    0.033631
     492    0.052898    0.022332
     493    0.046515    0.020023
     494    0.031101    0.015844
     495    0.025314    0.014661
     496    0.032953    0.016263
     497    0.039390    0.018423
     498    0.018385    0.011830
     499    0.035847    0.018705
     500    0.027600    0.015625
     501    0.038549    0.017451
     502    0.025705    0.014618
     503    0.031990    0.017184
     504    0.015124    0.011258
     505    0.025288    0.014323
     506    0.059872    0.023021
     507    0.059328    0.022646
     508    0.014854    0.011243
     509    0.043677    0.020390
     510    0.038818    0.019085
     511    0.038770    0.018075
     512    0.192399    0.041252
     513    0.031144    0.016921
     514    0.025280    0.014238
     515    0.044069    0.019853
     516    0.347917    0.050325
     517    0.025219    0.014421
     518    0.018982    0.012166
     519    0.040918    0.018868
     520    0.131836    0.033806
     521    0.074315    0.026153
     522    0.433169    0.056919
     523    0.072835    0.026379
     524    0.019258    0.012545
     525    0.032051    0.016059
     526    0.017879    0.011975
     527    0.023107    0.013567
     528    0.036375    0.017896
     529    0.060478    0.023904
     530    0.018209    0.012299
     531    0.039489    0.019637
     532    0.018884    0.012199
     533    0.015253    0.011376
     534    0.018692    0.012265
     535    0.014934    0.011464
     536    0.086430    0.028852
     537    0.025467    0.014691
     538    0.038208    0.018901
     539    0.295039    0.049311
     540    0.053059    0.022658
     541    0.018812    0.011995
     542    0.035681    0.017761
     543    0.036302    0.017815
     544    0.155166    0.038715
     545    0.046376    0.019954
     546    0.025160    0.013814
     547    0.132045    0.033902
     548    0.023799    0.014694
     549    0.049053    0.022109
     550    0.068309    0.026614
     551    0.017318    0.012105
     552    0.017583    0.011700
     553    0.073503    0.026977
     554    0.018932    0.012275
     555    0.014717    0.010894
     556    0.018609    0.012283
     557    0.014877    0.011319
     558    0.042714    0.019260
     559    0.048155    0.020257
     560    0.191662    0.039994
     561    0.017917    0.012794
     562    0.017461    0.012072
     563    0.018744    0.013650
     564    0.902456    0.032677
     565    0.045539    0.019889
     566    0.045503    0.018800
     567    0.018738    0.011965
     568    0.018407    0.012148
     569    0.267144    0.047679
     570    0.031497    0.016327
     571    0.015178    0.011827
     572    0.023368    0.014006
     573    0.018856    0.012128
     574    0.016757    0.012337
     575    0.014574    0.011061
     576    0.033037    0.016639
     577    0.071322    0.025720
     578    0.023615    0.014290
     579    0.053471    0.022174
     580    0.019051    0.012358
     581    0.254530    0.045969
     582    0.022769    0.013733
     583    0.043568    0.019493
     584    0.067752    0.024529
     585    0.017951    0.012128
     586    0.231012    0.043785
     587    0.079942    0.030357
     588    0.044403    0.019637
     589    0.014710    0.011312
     590    0.215626    0.041900
     591    0.253949    0.044645
     592    0.017739    0.011946
     593    0.015134    0.011797
     594    0.019135    0.012679
     595    0.028028    0.015255
     596    0.017305    0.012298
     597    0.016953    0.011761
     598    0.017025    0.011787
     599    0.018095    0.012548
     600    0.017665    0.012244
     601    0.029322    0.016058
     602    0.032678    0.016675
     603    0.026471    0.014669
     604    0.127797    0.035898
     605    0.397585    0.053384
     606    0.400190    0.052242
     607    0.145831    0.037998
     608    0.277736    0.050835
     609    0.015326    0.011088
     610    0.264994    0.049665
     611    0.958624    0.019344
     612    0.036506    0.017405
     613    0.036440    0.017535
     614    0.015257    0.011622
     615    0.289611    0.051856
     616    0.264905    0.048820
     617    0.015242    0.011388
     618    0.036342    0.017331
     619    0.025753    0.014168
     620    0.024032    0.013917
     621    0.023521    0.014633
     622    0.934733    0.025119
     623    0.026762    0.015360
     624    0.039653    0.019750
     625    0.027478    0.015685
     626    0.023703    0.014825
     627    0.251269    0.049970
     628    0.023558    0.014795
     629    0.043189    0.020048
     630    0.024332    0.014481
     631    0.015135    0.011723
     632    0.038785    0.018113
     633    0.051229    0.020884
     634    0.042966    0.019535
     635    0.022533    0.014402
     636    0.014905    0.011100
     637    0.023563    0.013951
     638    0.031677    0.016374
     639    0.018979    0.012474
     640    0.023452    0.014040
     641    0.018644    0.012065
     642    0.015185    0.011465
     643    0.252343    0.045611
     644    0.026827    0.014763
     645    0.054459    0.023305
     646    0.022914    0.014219
     647    0.012528    0.011626
     648    0.018938    0.012083
     649    0.055638    0.023308
     650    0.055791    0.024236
     651    0.281012    0.053866
     652    0.018666    0.012335
     653    0.259356    0.052960
     654    0.017917    0.012978
     655    0.664248    0.078467
     656    0.018221    0.012148
     657    0.966560    0.016977
     658    0.018293    0.011909
     659    0.015013    0.011278
     660    0.024167    0.014344
     661    0.023534    0.014431
     662    0.053193    0.021336
     663    0.031555    0.016424
     664    0.699801    0.060335
     665    0.014534    0.010819
     666    0.114314    0.033206
     667    0.248167    0.053418
     668    0.207900    0.055208
     669    0.015345    0.011179
     670    0.069979    0.027660
     671    0.014992    0.011309
     672    0.249060    0.045196
     673    0.158262    0.037065
     674    0.023710    0.014674
     675    0.018535    0.011864
     676    0.023741    0.014267
     677    0.018801    0.012048
     678    0.016533    0.012096
     679    0.081068    0.027786
     680    0.026991    0.015181
     681    0.443122    0.055722
     682    0.051317    0.021436
     683    0.243859    0.054932
     684    0.287810    0.054938
     685    0.225646    0.043116
     686    0.044229    0.026540
     687    0.032382    0.016556
     688    0.029332    0.015202
