   locus    deme        mean         std  mean_all_1   std_all_1  mean_all_2   std_all_2
       1       1    1.186991    1.825354    1.334042    2.068665    1.013670    1.469580
       1       2    1.134861    1.817781    1.068956    1.670987    1.194729    1.939592
       1       3    1.238366    2.302442    1.361935    2.781777    1.105034    1.624012
       1       4    1.183272    2.173460    1.320678    2.461208    1.036193    1.804048
       2       1    1.499286    2.215858    0.856826    1.204326    1.904884    2.582454
       2       2    1.846425    3.445504    0.554966    0.669669    2.604901    4.126190
       2       3    1.398258    2.464193    1.694030    2.924566    1.030863    1.657416
       2       4    1.650491    2.877191    2.152805    3.487312    0.921645    1.321579
       3       1    1.121357    1.783751    1.247052    1.941372    0.979616    1.575357
       3       2    1.113689    1.731500    1.039430    1.699272    1.181416    1.757646
       3       3    1.193772    2.004085    1.350661    2.323867    1.007359    1.519180
       3       4    1.256289    2.010832    1.155362    1.792802    1.355218    2.199219
       4       1    1.280472    2.114398    1.368152    2.391467    1.172001    1.704380
       4       2    1.102885    1.746813    0.972979    1.547851    1.228699    1.911556
       4       3    1.255883    2.086853    1.392698    2.402398    1.120699    1.708369
       4       4    1.248010    2.263533    1.465944    2.785242    1.012859    1.474772
       5       1    1.142756    1.809541    1.247797    1.977800    1.028962    1.599743
       5       2    1.116537    1.714144    1.005037    1.554823    1.207764    1.829184
       5       3    1.221667    2.307172    1.502305    2.800357    0.843530    1.296090
       5       4    1.146169    1.817334    1.105992    1.620537    1.182084    1.976050
       6       1    1.139338    1.883126    1.063292    1.553118    1.209254    2.139750
       6       2    1.143906    1.873650    1.196889    1.731532    1.088318    2.010494
       6       3    1.313961    2.667902    0.778920    1.049642    1.786531    3.457608
       6       4    1.187629    2.032330    1.205507    2.000636    1.169679    2.063506
       7       1    1.064041    1.731771    1.375521    2.126097    0.661118    0.862158
       7       2    1.223149    2.085175    1.411661    2.514151    1.027727    1.492514
       7       3    1.102467    1.682954    1.094035    1.737315    1.110064    1.632380
       7       4    1.113849    1.663437    1.014032    1.458567    1.211689    1.837014
       8       1    0.944259    1.338347    0.923027    1.353015    0.961985    1.325716
       8       2    0.977021    1.541666    0.960916    1.406263    0.990963    1.649805
       8       3    0.982088    1.571456    1.063076    1.808090    0.901745    1.289638
       8       4    0.991491    1.582696    0.993019    1.614155    0.989761    1.546304
       9       1    0.976902    1.411907    0.904427    1.294623    1.042474    1.507193
       9       2    0.968266    1.563221    1.058775    1.800987    0.874062    1.262425
       9       3    0.963615    1.469545    1.083904    1.540262    0.855219    1.393906
       9       4    1.008469    1.618864    1.127958    1.829892    0.873727    1.328825
      10       1    1.208412    2.057827    1.290376    2.268478    1.134552    1.844422
      10       2    1.074981    1.860903    1.198392    2.135846    0.949077    1.520030
      10       3    1.268666    2.215092    1.576074    2.749448    0.955048    1.416135
      10       4    1.146392    1.795461    0.990569    1.703043    1.274918    1.858446
      11       1    1.073252    1.666818    1.153448    1.732222    0.995271    1.596803
      11       2    1.104496    1.684068    1.045662    1.581937    1.165487    1.781731
      11       3    1.198672    2.090261    0.805176    1.359584    1.472119    2.436905
      11       4    1.190574    2.182079    1.538035    2.738662    0.798755    1.176170
      12       1    1.106378    1.866390    0.808752    1.226056    1.341178    2.218241
      12       2    1.207087    2.286028    0.937828    1.349557    1.423855    2.803832
      12       3    1.065898    1.687734    1.065331    1.552865    1.066446    1.808327
      12       4    1.096669    1.933780    1.128644    2.045588    1.062987    1.807931
      13       1    1.023359    1.541673    1.181925    1.743099    0.852950    1.268717
      13       2    1.194144    1.910943    1.115167    1.848413    1.267633    1.964493
      13       3    1.120046    1.857623    1.334535    2.144501    0.895008    1.465355
      13       4    1.144799    1.781106    1.231290    1.953334    1.049204    1.563346
      14       1    1.387632    2.139483    1.651564    2.506514    1.063743    1.514728
      14       2    1.389827    2.430288    1.616211    2.807065    1.133516    1.883719
      14       3    1.475701    2.522405    1.055430    1.933613    1.809957    2.863041
      14       4    1.365381    2.006923    1.333676    1.975621    1.397857    2.037975
      15       1    1.056258    1.573023    0.833652    1.241471    1.222824    1.762898
      15       2    1.043232    1.464771    0.994219    1.318686    1.088114    1.585462
      15       3    1.047775    1.575606    1.044596    1.501472    1.051629    1.661045
      15       4    1.076047    1.871328    0.891816    1.364387    1.265509    2.262292
      16       1    1.150754    1.846711    0.939579    1.592823    1.329200    2.019587
      16       2    1.227784    1.836265    1.275299    1.877806    1.179696    1.791960
      16       3    1.555199    3.379825    2.073028    4.207386    0.822233    1.272375
      16       4    1.361091    2.669620    0.778752    1.212057    1.750937    3.245839
      17       1    0.979479    1.501403    0.841652    1.226980    1.090888    1.682753
      17       2    0.994873    1.541492    1.051975    1.673387    0.940665    1.402720
      17       3    1.127253    2.250703    0.849028    1.342374    1.358598    2.767951
      17       4    1.020174    1.630340    0.993553    1.495238    1.045346    1.748134
      18       1    1.079807    1.668605    1.065771    1.692956    1.095827    1.640223
      18       2    1.114157    1.591686    1.185351    1.693425    1.032576    1.462192
      18       3    1.087618    1.756775    1.066540    1.772980    1.110544    1.738687
      18       4    1.121484    1.813882    1.243821    2.028262    0.976125    1.507505
      19       1    1.084662    1.737305    0.932070    1.497725    1.211542    1.904527
      19       2    1.224569    2.011785    0.958765    1.406989    1.435115    2.363221
      19       3    1.129089    1.672392    1.196524    1.701920    1.051502    1.634322
      19       4    1.158379    2.195789    1.289658    2.533066    1.015016    1.743665
      20       1    1.151312    1.711853    1.085992    1.542494    1.210887    1.850858
      20       2    1.008470    1.434788    1.095791    1.592742    0.905133    1.213671
      20       3    1.396860    2.477941    0.712298    0.997576    1.858968    3.013871
      20       4    1.396263    2.468977    1.789227    3.065629    0.896126    1.202636
      21       1    1.129593    1.918895    1.266186    2.269453    0.982209    1.433893
      21       2    1.232781    2.129304    1.489895    2.578942    0.928511    1.363027
      21       3    1.443345    2.419463    0.782298    1.156805    1.895172    2.904720
      21       4    1.255584    2.037894    1.431334    2.395700    1.041644    1.462385
      22       1    1.104777    1.836387    1.252000    2.084149    0.936748    1.486845
      22       2    1.179618    1.807075    0.899346    1.220933    1.412665    2.149809
      22       3    1.190886    1.862116    1.236670    1.756968    1.148624    1.953208
      22       4    1.218925    1.992955    1.371469    2.251774    1.043418    1.627971
      23       1    1.263245    1.917393    1.049929    1.608926    1.453174    2.137358
      23       2    1.321506    1.981991    1.337886    2.017044    1.304043    1.943772
      23       3    1.745117    3.754131    2.344616    4.607135    0.775246    1.016341
      23       4    1.570399    2.847750    0.971780    1.635504    2.018316    3.421625
      24       1    1.163727    1.754355    0.933486    1.445903    1.359071    1.957584
      24       2    1.172530    2.051134    1.165483    1.926141    1.178982    2.159233
      24       3    1.601559    3.288599    2.190594    4.106305    0.791461    1.168431
      24       4    1.312464    2.261000    0.894606    1.605937    1.599256    2.578487
      25       1    1.205307    1.811323    1.260101    1.922006    1.151812    1.694604
      25       2    1.148397    1.715694    1.156881    1.717934    1.140080    1.713455
      25       3    1.589356    3.012115    2.101460    3.689746    0.843219    1.231745
      25       4    1.364136    2.435447    0.892460    1.299223    1.718512    2.970994
      26       1    1.129620    1.987767    1.362764    2.418768    0.865656    1.292170
      26       2    1.063112    1.693272    1.130917    1.894535    0.985723    1.425408
      26       3    1.092549    1.609625    1.140591    1.697335    1.046019    1.518411
      26       4    1.095765    1.806357    1.300770    2.160273    0.895622    1.345838
      27       1    1.135681    1.848808    0.970313    1.523272    1.281156    2.082918
      27       2    0.961266    1.493872    1.028424    1.529454    0.897767    1.456586
      27       3    1.051054    1.571785    0.967374    1.380004    1.127987    1.725865
      27       4    1.073450    1.721085    0.973290    1.542073    1.156063    1.851714
      28       1    1.080183    1.645420    1.144720    1.772354    1.014604    1.502680
      28       2    1.108622    1.756907    1.039366    1.715538    1.171787    1.791472
      28       3    1.121834    1.901358    1.177414    2.142887    1.060156    1.588701
      28       4    1.142742    2.045189    1.292360    2.447662    0.974024    1.445683
      29       1    1.189086    1.822875    1.432113    2.134299    0.907217    1.321210
      29       2    1.173699    1.870751    1.139270    1.862839    1.207044    1.877780
      29       3    1.064530    1.732073    1.191860    2.044570    0.928781    1.306194
      29       4    1.141940    1.839310    1.159266    1.914640    1.123395    1.754909
      30       1    1.062612    1.562662    0.803375    1.068838    1.286125    1.858611
      30       2    1.121886    1.755538    0.986954    1.411771    1.235447    1.992501
      30       3    1.242165    2.101180    1.548773    2.519231    0.882234    1.381144
      30       4    1.119199    1.715247    1.212027    1.891458    1.024116    1.507722
      31       1    0.970475    1.517931    1.091696    1.730498    0.831005    1.213794
      31       2    1.072874    1.752824    1.175526    2.039184    0.962112    1.370068
      31       3    0.996121    1.631748    1.029519    1.624122    0.962320    1.638737
      31       4    1.054917    1.720588    1.187295    1.928259    0.893773    1.410925
      32       1    1.098044    1.729902    1.075857    1.812190    1.118772    1.649051
      32       2    1.138948    1.709178    0.954431    1.390913    1.286894    1.913949
      32       3    1.151858    1.902682    1.328836    2.170657    0.942420    1.499172
      32       4    1.195892    1.972822    1.119428    1.831764    1.276439    2.108245
      33       1    1.162954    2.255273    1.372911    2.792079    0.937316    1.440887
      33       2    1.118510    2.001569    1.333761    2.454945    0.886254    1.312342
      33       3    1.127678    1.820310    0.913651    1.323267    1.310734    2.139444
      33       4    1.132112    1.815043    1.172853    2.003683    1.092969    1.612185
      34       1    1.126975    1.957015    1.362047    2.385901    0.839665    1.184608
      34       2    1.170367    2.124478    1.337923    2.576226    0.973671    1.396036
      34       3    1.161037    1.877710    0.795213    1.149704    1.468922    2.274485
      34       4    1.171167    1.772211    1.165814    1.785189    1.176542    1.759068
      35       1    1.480745    3.262494    1.893007    4.123043    0.951768    1.411046
      35       2    1.271896    2.128729    1.495346    2.438664    1.026898    1.692517
      35       3    1.342816    2.209811    1.391029    2.371817    1.294603    2.033806
      35       4    1.315560    2.133173    0.991378    1.360583    1.600743    2.598301
      36       1    1.240050    2.073057    1.410849    2.449146    1.047447    1.519770
      36       2    1.251914    1.885852    0.862254    1.303201    1.553142    2.187403
      36       3    1.212058    1.885077    1.180800    1.831487    1.244592    1.938748
      36       4    1.284881    2.105955    1.481354    2.481649    1.081206    1.602132
      37       1    1.074044    1.693161    1.229574    1.949690    0.930479    1.400444
      37       2    0.990575    1.607202    0.994028    1.521785    0.986864    1.694196
      37       3    1.105770    1.799598    1.135473    2.002260    1.072808    1.543201
      37       4    1.001552    1.993051    1.020835    2.346353    0.982192    1.559565
      38       1    1.073990    1.727628    0.994070    1.627840    1.146589    1.810467
      38       2    1.161592    1.935432    1.101461    1.953293    1.222693    1.915180
      38       3    1.308219    2.372886    1.726811    2.872583    0.695795    1.079025
      38       4    1.232869    2.377011    0.893058    1.410003    1.493431    2.881278
      39       1    0.943794    1.515644    0.854780    1.335496    1.034245    1.674172
      39       2    0.973728    1.671082    0.947200    1.506871    1.000363    1.820727
      39       3    1.216741    2.314491    1.560294    2.855499    0.732456    1.006575
      39       4    1.013069    1.727173    0.856481    1.441762    1.137104    1.914354
      40       1    1.356634    2.396388    1.661275    2.885959    0.954453    1.429788
      40       2    1.428828    2.807936    1.617884    3.407745    1.225651    1.948880
      40       3    1.127147    1.994947    0.980790    1.903989    1.264979    2.067515
      40       4    1.314356    2.407886    0.914851    1.598882    1.620690    2.840285
      41       1    1.018275    1.509236    1.002531    1.377511    1.032405    1.618229
      41       2    1.131477    1.731964    1.059747    1.590731    1.200394    1.854960
      41       3    1.262285    2.142834    1.671463    2.596686    0.694905    1.027110
      41       4    1.285172    2.109835    0.902447    1.493415    1.581038    2.442880
      42       1    1.181706    2.141452    1.335007    2.495563    0.992819    1.580500
      42       2    1.133922    1.915918    1.366676    2.322984    0.868273    1.252583
      42       3    1.200754    1.877511    1.208341    1.986963    1.192982    1.758317
      42       4    1.310766    2.238262    0.914172    1.509145    1.688769    2.705778
      43       1    1.158428    1.791411    1.054319    1.588954    1.247830    1.944107
      43       2    1.097454    1.677667    1.135956    1.769778    1.057700    1.575939
      43       3    1.003861    1.503003    0.865589    1.106620    1.115629    1.751343
      43       4    1.103963    1.970966    0.910130    1.360503    1.276545    2.373231
      44       1    1.087731    1.658589    1.247639    1.961602    0.917932    1.236979
      44       2    1.136782    1.763294    1.268897    2.025260    1.004138    1.441401
      44       3    1.211420    1.923086    1.115110    1.833322    1.302119    1.999711
      44       4    1.184276    2.086687    1.391779    2.537792    0.961275    1.419974
      45       1    1.189567    1.816523    1.324348    2.047982    1.044138    1.514552
      45       2    1.094833    1.709768    1.027131    1.465155    1.150002    1.883983
      45       3    1.164491    1.707027    1.194584    1.818059    1.132537    1.579984
      45       4    1.117777    1.684875    1.269559    1.888733    0.948667    1.404585
      46       1    1.060130    1.755344    1.152736    2.018173    0.961795    1.417505
      46       2    1.114743    1.692181    1.038131    1.461261    1.180269    1.864666
      46       3    1.065982    1.990428    1.328416    2.475291    0.779391    1.199951
      46       4    1.166169    1.861190    1.316254    2.065605    0.998277    1.585153
      47       1    1.108741    1.663636    1.275367    1.872241    0.948007    1.415467
      47       2    1.135708    1.744853    1.181398    1.903486    1.092852    1.580461
      47       3    1.200205    1.916037    1.229614    1.946793    1.163526    1.876326
      47       4    1.132359    1.807611    1.329778    2.070463    0.912401    1.428256
      48       1    0.989758    1.452138    0.903752    1.225266    1.068514    1.628484
      48       2    1.101959    1.749262    1.142352    1.782145    1.060085    1.713502
      48       3    1.088326    1.718641    0.954499    1.237979    1.210383    2.053931
      48       4    1.097381    1.710919    0.918380    1.369470    1.272838    1.973835
      49       1    0.986855    1.648733    1.084909    1.865005    0.879775    1.366193
      49       2    0.972842    1.402455    1.059027    1.470602    0.881325    1.320120
      49       3    1.002612    1.739996    0.905353    1.544727    1.086468    1.888230
      49       4    0.973549    1.550580    1.086617    1.674257    0.842409    1.381915
      50       1    1.017190    1.573389    1.069323    1.649138    0.965680    1.492992
      50       2    0.958854    1.469948    0.808220    1.160435    1.105330    1.705545
      50       3    1.062701    1.800532    1.254884    2.059622    0.861871    1.455289
      50       4    1.027426    1.713917    1.131633    1.949015    0.916773    1.413974
      51       1    1.325901    2.248754    0.745218    1.036477    1.744673    2.740527
      51       2    1.277951    2.286556    0.827859    1.133531    1.628734    2.832096
      51       3    1.077282    1.821313    1.277240    2.180322    0.831899    1.202048
      51       4    1.100446    1.719075    1.259668    1.879587    0.945620    1.531312
      52       1    1.246945    2.496629    1.467040    3.111386    1.016027    1.584896
      52       2    1.234811    2.039052    1.439216    2.335578    1.001517    1.604711
      52       3    1.204059    2.093307    0.808608    1.257986    1.483439    2.484178
      52       4    1.229494    1.862435    1.213310    1.704258    1.246542    2.015535
      53       1    1.096903    1.929023    1.163748    2.201440    1.026207    1.587882
      53       2    1.081737    1.687990    1.052694    1.477281    1.110205    1.871207
      53       3    1.099120    1.802090    1.264971    2.110304    0.927876    1.394537
      53       4    1.056661    1.599941    1.197083    1.758357    0.903314    1.390605
      54       1    1.296483    2.085883    0.868624    1.195976    1.602516    2.493046
      54       2    1.103462    1.707186    0.853676    1.162700    1.315387    2.035289
      54       3    1.163925    1.820017    1.332236    2.108147    0.964746    1.378353
      54       4    1.201356    1.842861    1.241034    1.885678    1.160875    1.797226
      55       1    1.388947    2.362339    0.956093    1.425867    1.723564    2.840118
      55       2    1.165720    1.832998    1.055732    1.663863    1.260933    1.962738
      55       3    1.183034    2.031843    0.954309    1.427839    1.367170    2.394714
      55       4    1.217496    1.901604    1.398232    2.220048    1.012044    1.429946
      56       1    1.134169    2.000382    1.370717    2.427705    0.836749    1.209775
      56       2    1.075411    1.620733    1.244615    1.870935    0.888397    1.262764
      56       3    1.080081    1.664157    1.121213    1.642514    1.032181    1.687749
      56       4    1.204648    1.922998    1.130010    1.698517    1.269521    2.096536
      57       1    1.034669    1.973851    1.277807    2.481000    0.769149    1.137450
      57       2    1.043576    1.761118    1.143847    2.021131    0.942904    1.447042
      57       3    1.055686    1.671918    1.206774    1.854985    0.896532    1.437292
      57       4    1.105614    2.030282    1.166218    2.394974    1.052515    1.643773
      58       1    1.188120    1.854981    1.414877    2.198591    0.930354    1.316334
      58       2    1.228771    1.889446    1.410984    2.030146    1.020807    1.690986
      58       3    1.285846    2.257786    0.815015    1.296762    1.663360    2.741586
      58       4    1.237324    2.166572    1.374176    2.509873    1.102105    1.752418
      59       1    1.136668    1.924145    1.401661    2.299612    0.796654    1.209035
      59       2    1.061862    1.717620    1.140281    1.818303    0.974840    1.593976
      59       3    1.053432    1.727353    1.160237    1.966484    0.940472    1.422928
      59       4    1.138060    1.876034    0.991230    1.643305    1.273053    2.057786
      60       1    0.926684    1.396884    0.937357    1.424985    0.916054    1.368239
      60       2    1.038789    1.545162    1.096747    1.565777    0.980366    1.521868
      60       3    1.076966    1.612012    0.969446    1.531769    1.179856    1.678790
      60       4    1.075858    1.937385    1.216712    2.265180    0.924485    1.492901
      61       1    1.271876    1.923602    1.445707    2.166653    1.097349    1.625214
      61       2    1.245562    2.080604    1.389583    2.328060    1.087018    1.754987
      61       3    1.335593    2.138381    0.853829    1.171434    1.703500    2.589234
      61       4    1.307035    2.247593    1.260414    2.244325    1.350243    2.249754
      62       1    1.229116    2.035231    1.522662    2.448754    0.811896    1.100084
      62       2    1.131893    1.923761    1.206642    2.206463    1.058624    1.595465
      62       3    1.172666    1.919632    0.930202    1.508056    1.352614    2.157772
      62       4    1.165440    1.725576    1.008482    1.465538    1.298608    1.908668
      63       1    1.223044    2.097283    0.801746    1.144422    1.551387    2.561213
      63       2    1.140078    1.930455    1.005316    1.830767    1.274841    2.016255
      63       3    1.201880    1.847533    1.404157    2.085220    0.935923    1.435202
      63       4    1.147654    1.841014    0.874821    1.298676    1.393514    2.190034
      64       1    1.083063    1.898297    0.800744    1.225095    1.308511    2.273361
      64       2    1.014774    1.518828    0.841638    1.295237    1.179795    1.688415
      64       3    1.108478    1.877264    1.411851    2.277439    0.783750    1.241175
      64       4    1.082298    1.896397    0.918417    1.512056    1.233572    2.181257
      65       1    1.054322    1.771882    1.307956    2.111072    0.757775    1.198545
      65       2    1.052150    1.733676    1.252074    2.001982    0.833823    1.348983
      65       3    1.132352    1.849150    0.684565    0.950044    1.477108    2.254732
      65       4    1.008066    1.674252    1.178254    1.947640    0.833743    1.314850
      66       1    1.188603    2.030018    0.921824    1.544818    1.412226    2.337784
      66       2    1.152781    1.878162    0.909576    1.436760    1.367590    2.172896
      66       3    1.237546    2.431949    1.615880    2.985710    0.674750    0.960153
      66       4    1.148130    1.843436    0.958981    1.499522    1.324840    2.099450
      67       1    1.159160    1.826706    0.800965    1.108817    1.461842    2.217565
      67       2    1.229974    1.994935    1.035266    1.586878    1.406139    2.288409
      67       3    1.313620    2.068103    1.691854    2.496578    0.801893    1.084197
      67       4    1.104763    1.904279    0.949524    1.463431    1.239149    2.207391
      68       1    1.093184    1.726036    0.789078    1.281960    1.338006    1.979945
      68       2    1.117517    1.831785    0.849117    1.218848    1.338005    2.187169
      68       3    1.092635    1.807983    1.365644    2.185903    0.772147    1.143119
      68       4    1.077570    1.758545    0.978188    1.531500    1.175374    1.951492
      69       1    1.093131    1.790942    1.281034    2.109655    0.882935    1.316484
      69       2    0.984796    1.434948    1.059191    1.594936    0.897813    1.215845
      69       3    1.079953    1.900350    0.654961    0.955165    1.357426    2.275646
      69       4    1.155483    1.913569    1.174574    1.824538    1.135613    2.001839
      70       1    1.128912    1.820987    1.201755    2.028172    1.046770    1.550475
      70       2    1.146695    1.814691    1.207213    1.823731    1.088317    1.804004
      70       3    1.147517    1.750358    1.007433    1.450138    1.279441    1.983117
      70       4    1.167751    2.003471    1.420406    2.423686    0.912047    1.414598
      71       1    1.110299    1.780054    0.820032    1.147631    1.342095    2.127473
      71       2    1.116904    1.836900    0.938515    1.600589    1.269477    2.004613
      71       3    1.149684    1.811868    1.429322    2.150771    0.783507    1.134826
      71       4    1.141965    1.954372    0.998593    1.552970    1.272727    2.251167
      72       1    1.200827    2.089467    1.459749    2.443753    0.859001    1.428367
      72       2    1.189987    2.089360    1.373517    2.450367    0.991958    1.587930
      72       3    1.216862    1.949021    0.860998    1.262082    1.527410    2.348760
      72       4    1.223544    1.953775    1.233351    1.973191    1.213419    1.933471
      73       1    1.148832    2.129487    0.796113    1.190432    1.435098    2.623359
      73       2    1.232583    1.915082    0.920472    1.283223    1.460455    2.240522
      73       3    1.201840    1.842363    1.391859    2.141200    0.984965    1.395486
      73       4    1.174067    1.998111    1.055490    1.616842    1.305126    2.341598
      74       1    1.114345    1.808874    1.300848    2.098711    0.870125    1.297606
      74       2    1.119162    1.763929    1.293820    2.020348    0.901330    1.347489
      74       3    1.086333    1.537347    0.931377    1.284390    1.218333    1.712773
      74       4    1.127298    1.743724    1.201438    1.779813    1.057196    1.705940
      75       1    1.246018    1.957331    1.463019    2.314133    0.974276    1.337839
      75       2    1.284077    2.651504    1.567232    3.332274    0.940784    1.369909
      75       3    1.211195    1.957513    0.862551    1.261665    1.514221    2.362489
      75       4    1.160395    1.804621    1.069908    1.672594    1.251610    1.924281
      76       1    1.308561    2.127794    1.624293    2.540013    0.945301    1.437720
      76       2    1.200984    1.944739    1.491142    2.374958    0.878993    1.233942
      76       3    1.348536    2.167680    1.067270    1.496622    1.569530    2.553406
      76       4    1.254601    1.976419    1.369022    2.124027    1.137867    1.806036
      77       1    1.161574    2.067310    1.270310    2.351271    1.036470    1.673599
      77       2    1.069517    1.572602    1.053445    1.492665    1.085652    1.648807
      77       3    1.092461    1.823863    1.052903    1.929756    1.127824    1.722933
      77       4    1.089253    1.701449    1.197822    1.891815    0.969256    1.453089
      78       1    1.140174    1.856978    0.819025    1.096053    1.385426    2.241750
      78       2    1.165615    2.105876    0.817323    1.175520    1.484550    2.649046
      78       3    1.094902    1.780120    1.164688    1.851129    1.011984    1.688133
      78       4    1.065641    1.752491    0.998494    1.648075    1.136374    1.853510
      79       1    1.145140    1.991287    1.339477    2.416019    0.904719    1.242928
      79       2    1.137811    1.912479    1.393732    2.305954    0.831267    1.223514
      79       3    1.114965    1.907600    0.862310    1.200896    1.313480    2.296829
      79       4    1.167931    2.018767    1.184944    2.216520    1.149351    1.777674
      80       1    1.185021    2.121061    1.440512    2.579182    0.876515    1.313321
      80       2    1.171542    1.876035    1.447319    2.231122    0.852972    1.282755
      80       3    1.088655    1.607048    0.879452    1.289231    1.269757    1.819000
      80       4    1.158965    1.979586    1.229939    2.153064    1.092658    1.799967
      81       1    1.191871    1.866981    1.349864    2.138895    1.001862    1.452414
      81       2    1.140509    1.824220    1.350113    2.163380    0.878031    1.228934
      81       3    1.218977    1.989678    0.841128    1.183146    1.520713    2.407752
      81       4    1.129358    1.767200    1.180390    1.735599    1.078530    1.796683
      82       1    1.144935    1.770673    1.238353    1.972650    1.042509    1.512034
      82       2    1.172842    1.837939    1.111555    1.707056    1.240310    1.969797
      82       3    1.121521    1.703095    1.085445    1.736143    1.155360    1.670795
      82       4    1.229754    2.050771    1.469489    2.373380    0.960496    1.570218
      83       1    1.194409    2.073102    1.422651    2.480668    0.908592    1.351553
      83       2    1.269932    2.406384    1.537352    2.955808    0.929578    1.354335
      83       3    1.373921    2.523037    0.794639    1.340142    1.802086    3.051555
      83       4    1.095672    1.729215    1.099099    1.900587    1.092484    1.552852
      84       1    1.127153    1.853245    0.825423    1.223003    1.378042    2.215394
      84       2    1.114190    1.820995    0.747536    1.090834    1.411763    2.200885
      84       3    1.275577    2.277521    1.646450    2.773046    0.761312    1.123211
      84       4    1.125396    1.758660    1.021952    1.637378    1.225182    1.862771
      85       1    1.127752    1.906135    1.312978    2.327294    0.935736    1.308666
      85       2    1.146160    1.793657    1.188985    1.911395    1.104182    1.669149
      85       3    1.085230    1.599919    1.191010    1.757631    0.993291    1.442677
      85       4    1.187792    1.862757    1.384220    2.109562    0.956273    1.488371
      86       1    1.162283    1.944964    1.327572    2.261558    0.958624    1.437648
      86       2    0.975017    1.613981    1.055033    1.673640    0.901451    1.553484
