   locus        mean         std         KLD
       1   20.965142   21.251984    0.018761
       2   21.518592   21.282507    0.014253
       3   21.813416   21.587466    0.012155
       4   20.656333   20.855559    0.021404
       5   21.455087   20.772860    0.015874
       6   28.796969   23.708506    0.048493
       7   23.067588   22.960767    0.005178
       8   23.563428   22.222298    0.007463
       9   21.547420   20.216767    0.018827
      10   24.485641   24.655361    0.001000
      11   21.140196   20.998183    0.017103
      12  104.965503   40.176085    2.284011
      13   20.290108   19.609475    0.026301
      14   20.404972   19.876428    0.024560
      15   21.113427   21.100082    0.017267
      16   24.797630   25.137491    0.000718
      17   52.774824   29.478492    0.614779
      18   18.618994   17.700898    0.048608
      19   29.432196   23.480971    0.064500
      20   23.119158   22.279357    0.006635
      21   18.948541   18.196037    0.042840
      22   22.172706   21.805309    0.010081
      23   23.899437   23.641157    0.002397
      24   24.446606   23.361302    0.003551
      25   23.211740   22.556338    0.005583
      26   18.338382   17.727478    0.051110
      27   17.813663   17.429864    0.058791
      28   20.798767   20.168894    0.021160
      29   36.975132   28.335602    0.149870
      30   51.625850   28.562366    0.599141
      31   19.121247   19.230121    0.038528
      32   26.696753   24.240678    0.011944
      33   23.337493   23.421559    0.004089
      34   24.388294   24.416427    0.001116
      35   21.589244   22.264904    0.014851
      36   21.549341   21.225881    0.014162
      37   26.053244   23.038340    0.017657
      38   23.467015   22.762724    0.004760
      39   23.443232   22.897192    0.004382
      40   22.697363   22.897287    0.006958
      41   58.432200   30.157469    0.795702
      42   26.909062   24.316985    0.013393
      43   20.779193   20.126353    0.021426
      44   22.463179   22.267037    0.008168
      45   19.126302   18.911007    0.038579
      46   24.427024   23.851213    0.001755
      47   21.978791   21.380427    0.011885
      48   22.205274   22.253954    0.009542
      49   17.916844   17.700737    0.056639
      50   22.044153   21.174565    0.012525
      51   18.868240   18.742188    0.041969
      52   32.442200   27.083680    0.066556
      53   23.719573   22.990646    0.003986
      54   22.279778   22.023790    0.009267
      55   33.018966   28.399902    0.061228
      56   21.178124   21.382963    0.016859
      57   26.326099   24.590864    0.006052
      58   19.479740   19.455367    0.033928
      59   28.821674   25.572372    0.024015
      60   23.265014   23.540201    0.004531
      61   24.129038   23.952561    0.001732
      62   25.027592   25.604839    0.000923
      63   21.290453   20.936376    0.016192
      64   21.206928   19.692257    0.023120
      65   22.478993   21.832732    0.009049
      66   31.474065   26.830051    0.051664
      67   31.255587   25.913384    0.060004
      68   25.217035   25.371631    0.000150
      69   18.658025   18.376719    0.045188
      70   23.423184   23.981294    0.004493
      71   26.201832   24.125408    0.008450
      72   23.327240   22.105707    0.007656
      73   72.387965   32.911009    1.231646
      74   23.972657   23.253038    0.003212
      75   32.830395   25.843252    0.094061
      76   23.629230   22.731609    0.004915
      77   59.615958   29.184237    0.864711
      78   20.776539   20.670499    0.020212
      79   37.648258   26.439691    0.205247
      80   21.969712   21.989452    0.010991
      81   31.634840   26.880070    0.053944
      82   19.756656   18.846598    0.033379
      83   30.578416   25.024366    0.060488
      84   21.159811   20.970971    0.016987
      85   33.444780   30.533071    0.049269
      86   26.146163   23.621424    0.012385
