   locus        mean         std
       1    0.089118    0.029348
       2    0.048048    0.020312
       3    0.042335    0.019337
       4    0.072447    0.024975
       5    0.060240    0.024061
       6    0.472767    0.064949
       7    0.017331    0.012180
       8    0.029489    0.016455
       9    0.094572    0.030218
      10    0.018893    0.012330
      11    0.068712    0.025952
      12    0.050481    0.032132
      13    0.084329    0.027995
      14    0.194235    0.040695
      15    0.044214    0.019613
      16    0.018842    0.012611
      17    0.045305    0.030757
      18    0.212991    0.042448
      19    0.360310    0.064774
      20    0.029656    0.016392
      21    0.356741    0.051012
      22    0.025778    0.014962
      23    0.017146    0.012253
      24    0.300721    0.053397
      25    0.017211    0.012090
      26    0.581825    0.054001
      27    0.241871    0.045380
      28    0.057509    0.022357
      29    0.350008    0.072167
      30    0.056153    0.032077
      31    0.404755    0.053919
      32    0.144652    0.039252
      33    0.018506    0.012239
      34    0.019106    0.012695
      35    0.859849    0.040791
      36    0.066171    0.024911
      37    0.276275    0.054272
      38    0.016887    0.011850
      39    0.408677    0.059661
      40    0.026172    0.015000
      41    0.033856    0.025078
      42    0.135311    0.039423
      43    0.122151    0.033154
      44    0.021084    0.012840
      45    0.185981    0.039793
      46    0.018593    0.013171
      47    0.060011    0.023760
      48    0.047607    0.020361
      49    0.228112    0.043436
      50    0.020509    0.012954
      51    0.189586    0.041244
      52    0.129980    0.046250
      53    0.036889    0.018307
      54    0.028047    0.014816
      55    0.023480    0.017248
      56    0.033676    0.016750
      57    0.101708    0.032112
      58    0.080109    0.026287
      59    0.129194    0.038690
      60    0.016828    0.011797
      61    0.019146    0.012293
      62    0.019019    0.012764
      63    0.178530    0.040589
      64    0.193347    0.042728
      65    0.381332    0.060821
      66    0.063660    0.028893
      67    0.288594    0.060789
      68    0.025338    0.015194
      69    0.457914    0.055420
      70    0.027667    0.015084
      71    0.129545    0.036365
      72    0.017212    0.012006
      73    0.351566    0.094441
      74    0.282822    0.053530
      75    0.507504    0.069987
      76    0.045121    0.021079
      77    0.015780    0.015843
      78    0.173698    0.039744
      79    0.438648    0.072612
      80    0.019865    0.012379
      81    0.216598    0.051122
      82    0.194935    0.042450
      83    0.227379    0.055675
      84    0.098293    0.030154
      85    0.079125    0.031097
      86    0.158155    0.043576
      87    0.017461    0.012115
      88    0.378911    0.055627
      89    0.141556    0.036403
      90    0.057780    0.022627
      91    0.029646    0.016905
      92    0.020516    0.012461
      93    0.128242    0.034191
      94    0.536307    0.077044
      95    0.016615    0.011888
      96    0.026533    0.015273
      97    0.168495    0.039296
      98    0.494111    0.076323
      99    0.077504    0.028600
     100    0.375135    0.051551
     101    0.020404    0.012655
     102    0.103406    0.031846
     103    0.211836    0.044482
     104    0.326877    0.057303
     105    0.036474    0.019184
     106    0.018699    0.012451
     107    0.020503    0.012758
     108    0.212213    0.046024
     109    0.543825    0.119441
     110    0.041043    0.019743
     111    0.127692    0.034933
     112    0.087059    0.028792
     113    0.358420    0.054351
     114    0.017201    0.012094
     115    0.020328    0.013005
     116    0.014392    0.014930
     117    0.236803    0.046761
     118    0.345221    0.055134
     119    0.071895    0.025389
     120    0.495129    0.063952
     121    0.153459    0.037601
     122    0.058450    0.023630
     123    0.069156    0.024386
