   locus        mean         std         KLD
       1    1.191570    1.180116    0.000469
       2    1.419017    1.453338    0.012270
       3    1.182796    1.104979    0.006164
       4    1.234939    1.167513    0.003878
       5    1.212765    1.198372    0.000217
       6    1.193120    1.168858    0.000844
       7    1.155191    1.111058    0.003505
       8    1.020180    0.995173    0.016372
       9    1.078560    1.050439    0.008527
      10    1.152572    1.148356    0.001782
      11    1.165585    1.190205    0.001759
      12    1.148280    1.240980    0.010388
      13    1.143361    1.136574    0.002306
      14    1.390084    1.320479    0.011686
      15    1.139665    1.102747    0.003822
      16    1.242628    1.244602    0.000120
      17    1.083716    1.088243    0.007131
      18    1.171430    1.094571    0.006502
      19    1.217950    1.193716    0.000512
      20    1.269960    1.202416    0.004332
      21    1.262542    1.218703    0.002030
      22    1.244927    1.246819    0.000150
      23    1.424222    1.420541    0.012102
      24    1.249770    1.302800    0.002559
      25    1.301608    1.292840    0.001990
      26    1.183710    1.219188    0.001724
      27    1.115965    1.050531    0.008563
      28    1.136781    1.070445    0.007047
      29    1.207374    1.155655    0.002446
      30    1.173075    1.159537    0.001052
      31    1.055105    1.090823    0.011978
      32    1.192971    1.156974    0.001486
      33    1.152691    1.178304    0.002409
      34    1.180044    1.184362    0.000677
      35    1.293591    1.250099    0.003007
      36    1.265051    1.158382    0.009766
      37    1.116184    1.100393    0.004365
      38    1.167782    1.188167    0.001486
      39    1.105393    1.170790    0.009540
      40    1.268449    1.406621    0.015884
      41    1.176690    1.163822    0.000911
      42    1.231982    1.224015    0.000072
      43    1.158397    1.140452    0.001786
      44    1.207181    1.200545    0.000130
      45    1.227824    1.171104    0.002746
      46    1.147697    1.206007    0.005367
      47    1.196981    1.160450    0.001433
      48    1.125676    1.100918    0.004016
      49    1.049616    1.034923    0.011461
      50    1.063406    1.021747    0.011396
      51    1.220362    1.239604    0.000334
      52    1.196275    1.209242    0.000416
      53    1.124516    1.128219    0.003502
      54    1.215073    1.194004    0.000405
      55    1.241024    1.194446    0.001900
      56    1.167990    1.164705    0.001084
      57    1.080905    1.104749    0.008046
      58    1.245638    1.307294    0.003332
      59    1.147125    1.212116    0.006207
      60    1.089344    1.135941    0.008901
      61    1.283205    1.288774    0.001165
      62    1.213683    1.225402    0.000161
      63    1.211300    1.249627    0.001360
      64    1.118051    1.153798    0.005303
      65    1.088611    1.140441    0.009539
      66    1.194503    1.264758    0.004767
      67    1.228348    1.191543    0.001151
      68    1.139627    1.176635    0.003860
      69    1.122751    1.222569    0.013788
      70    1.169146    1.188034    0.001376
      71    1.191722    1.150895    0.001852
      72    1.239939    1.204772    0.001110
      73    1.208129    1.230131    0.000521
      74    1.157209    1.065820    0.009613
      75    1.229999    1.218088    0.000128
      76    1.260317    1.173325    0.006589
      77    1.173661    1.197174    0.001394
      78    1.165245    1.171561    0.001227
      79    1.158836    1.157952    0.001465
      80    1.197065    1.198479    0.000246
      81    1.227356    1.194190    0.000933
      82    1.183895    1.154004    0.001356
      83    1.224304    1.257136    0.000941
      84    1.188890    1.244273    0.003232
      85    1.189817    1.171188    0.000703
      86    1.078013    1.106494    0.008636
      87    1.113205    1.208774    0.013844
      88    1.187142    1.094551    0.008332
      89    1.170065    1.203880    0.002088
      90    1.139383    1.138112    0.002500
      91    1.050690    1.017001    0.012383
      92    1.171766    1.170863    0.000934
      93    1.256935    1.218416    0.001556
      94    1.316176    1.232218    0.007958
      95    1.232057    1.223326    0.000083
      96    1.248810    1.260176    0.000317
      97    1.171432    1.184062    0.001101
      98    1.050788    1.057098    0.011107
      99    1.332137    1.327497    0.003709
     100    1.306700    1.307939    0.002193
     101    1.225559    1.192348    0.000936
     102    1.203797    1.179048    0.000671
     103    1.206577    1.213064    0.000141
     104    1.166157    1.143943    0.001607
     105    1.199423    1.184329    0.000400
     106    1.155821    1.131249    0.002178
     107    1.172942    1.145064    0.001608
     108    1.233390    1.161889    0.004360
     109    1.151606    1.205584    0.004665
     110    1.216269    1.202332    0.000183
     111    1.183960    1.147125    0.001779
     112    1.116016    1.115136    0.004129
     113    1.143987    1.137479    0.002267
     114    1.113799    1.097706    0.004567
     115    1.159674    1.191688    0.002423
     116    1.137552    1.224673    0.010174
     117    1.462520    1.500776    0.017747
     118    1.121876    1.159368    0.005135
     119    1.379460    1.460818    0.011953
     120    1.251906    1.198317    0.002609
     121    1.522935    1.455018    0.028289
     122    1.148948    1.040350    0.013552
     123    1.136078    1.211758    0.008435
     124    1.124119    1.082630    0.005258
     125    1.099415    1.117440    0.005907
     126    1.136042    1.086000    0.005196
     127    1.187528    1.199159    0.000579
     128    1.080473    1.077758    0.007460
     129    1.174164    1.156673    0.001126
     130    1.170807    1.099596    0.005738
     131    1.491832    1.543025    0.022492
     132    1.548411    1.544054    0.029971
     133    1.164845    1.070499    0.009697
     134    1.154184    1.122196    0.002664
     135    1.460796    1.459289    0.016623
     136    1.129516    1.164646    0.004397
     137    1.281643    1.231244    0.003061
     138    1.178854    1.232690    0.003400
     139    1.265595    1.301377    0.001613
     140    1.154201    1.261231    0.012747
     141    1.196161    1.258951    0.003830
     142    1.098591    1.111864    0.005823
     143    1.142729    1.132842    0.002392
     144    1.159936    1.110971    0.003700
     145    1.118837    1.097957    0.004348
     146    1.269789    1.274967    0.000710
     147    1.211558    1.176173    0.001138
     148    1.184536    1.148631    0.001700
     149    1.079413    1.039230    0.009342
     150    1.102525    1.054622    0.007689
     151    1.202430    1.168059    0.001196
     152    1.163347    1.110593    0.003905
     153    1.142068    1.086848    0.005343
     154    1.266425    1.295431    0.001279
     155    1.220623    1.144943    0.004961
     156    1.149675    1.109983    0.003440
     157    1.139413    1.116380    0.003014
     158    1.268305    1.364363    0.008040
     159    1.150182    1.092435    0.005130
     160    1.122646    1.176449    0.006601
     161    1.296142    1.289455    0.001709
     162    1.078308    1.156883    0.014540
     163    1.229951    1.188451    0.001467
     164    1.154561    1.156113    0.001670
