   locus    deme        mean         std
       1       1    0.081228    0.027927
       1       2    0.095540    0.032662
       1       3    0.095954    0.033112
       2       1    0.050001    0.021738
       2       2    0.036924    0.020265
       2       3    0.045138    0.022185
       3       1    0.037510    0.019206
       3       2    0.059812    0.026035
       3       3    0.034838    0.019973
       4       1    0.073036    0.025895
       4       2    0.077078    0.029070
       4       3    0.060039    0.025581
       5       1    0.051385    0.023269
       5       2    0.070022    0.028386
       5       3    0.069723    0.028260
       6       1    0.459044    0.057983
       6       2    0.468574    0.060304
       6       3    0.593818    0.066437
       7       1    0.013879    0.011799
       7       2    0.011243    0.011667
       7       3    0.026980    0.017140
       8       1    0.027280    0.016355
       8       2    0.043372    0.022233
       8       3    0.019151    0.014930
       9       1    0.089581    0.029123
       9       2    0.080406    0.030727
       9       3    0.117003    0.036738
      10       1    0.022998    0.013948
      10       2    0.012336    0.012243
      10       3    0.012796    0.012518
      11       1    0.070345    0.025671
      11       2    0.066410    0.027834
      11       3    0.057861    0.025264
      12       1    0.043950    0.024520
      12       2    0.775380    0.051701
      12       3    0.030956    0.020456
      13       1    0.077492    0.027119
      13       2    0.092460    0.031489
      13       3    0.083091    0.029320
      14       1    0.197683    0.040322
      14       2    0.161855    0.041985
      14       3    0.219484    0.047386
      15       1    0.038871    0.019676
      15       2    0.050924    0.023633
      15       3    0.042906    0.021814
      16       1    0.022786    0.014187
      16       2    0.012123    0.012605
      16       3    0.012243    0.011747
      17       1    0.033044    0.024627
      17       2    0.251402    0.069295
      17       3    0.054898    0.029711
      18       1    0.214595    0.041316
      18       2    0.230284    0.047867
      18       3    0.192123    0.043626
      19       1    0.346207    0.055790
      19       2    0.493445    0.070759
      19       3    0.347264    0.057017
      20       1    0.027412    0.016449
      20       2    0.043963    0.023021
      20       3    0.018870    0.015158
      21       1    0.360373    0.049872
      21       2    0.323936    0.053577
      21       3    0.395083    0.057221
      22       1    0.020822    0.014737
      22       2    0.023747    0.016428
      22       3    0.031736    0.018234
      23       1    0.013782    0.012042
      23       2    0.010973    0.011617
      23       3    0.027337    0.017920
      24       1    0.336936    0.053407
      24       2    0.262674    0.051216
      24       3    0.264321    0.051084
      25       1    0.013792    0.011908
      25       2    0.027669    0.017932
      25       3    0.011455    0.011819
      26       1    0.585235    0.051692
      26       2    0.574635    0.056296
      26       3    0.623168    0.055042
      27       1    0.236934    0.043732
      27       2    0.235858    0.047811
      27       3    0.265390    0.050077
      28       1    0.052899    0.021750
      28       2    0.050795    0.023474
      28       3    0.068550    0.027505
      29       1    0.419542    0.066859
      29       2    0.258998    0.059639
      29       3    0.313343    0.057253
      30       1    0.045381    0.025872
      30       2    0.048830    0.027184
      30       3    0.245940    0.067807
      31       1    0.427259    0.052370
      31       2    0.367977    0.056098
      31       3    0.399559    0.054640
      32       1    0.144910    0.037150
      32       2    0.104489    0.037512
      32       3    0.188585    0.049661
      33       1    0.022578    0.013820
      33       2    0.011855    0.011959
      33       3    0.012497    0.012374
      34       1    0.023086    0.014093
      34       2    0.012125    0.012038
      34       3    0.012466    0.012033
      35       1    0.868049    0.034405
      35       2    0.886861    0.035781
      35       3    0.868287    0.037530
      36       1    0.063803    0.024620
      36       2    0.073313    0.028397
      36       3    0.057039    0.025972
      37       1    0.247915    0.049615
      37       2    0.323079    0.056515
      37       3    0.345629    0.060916
      38       1    0.013429    0.011736
      38       2    0.026899    0.017332
      38       3    0.011107    0.011619
      39       1    0.438820    0.055956
      39       2    0.412968    0.057699
      39       3    0.347329    0.058924
      40       1    0.024614    0.015426
      40       2    0.016986    0.014639
      40       3    0.031942    0.018524
      41       1    0.025018    0.020126
      41       2    0.281456    0.067440
      41       3    0.037900    0.023998
      42       1    0.123621    0.035348
      42       2    0.201754    0.053659
      42       3    0.120151    0.037218
      43       1    0.119483    0.032461
      43       2    0.104744    0.033701
      43       3    0.141892    0.040186
      44       1    0.020886    0.013625
      44       2    0.021103    0.014940
      44       3    0.013985    0.012690
      45       1    0.196615    0.040969
      45       2    0.176752    0.042055
      45       3    0.168548    0.041822
      46       1    0.022920    0.014419
      46       2    0.012008    0.012367
      46       3    0.012154    0.012308
      47       1    0.050362    0.022051
      47       2    0.069840    0.027664
      47       3    0.070282    0.028389
      48       1    0.049626    0.021105
      48       2    0.044878    0.021979
      48       3    0.037466    0.020523
      49       1    0.222113    0.041935
      49       2    0.237947    0.048180
      49       3    0.237552    0.047765
      50       1    0.016266    0.012527
      50       2    0.020874    0.015336
      50       3    0.020572    0.014938
      51       1    0.193446    0.040632
      51       2    0.169914    0.042101
      51       3    0.196988    0.043046
      52       1    0.104292    0.040110
      52       2    0.192408    0.052163
      52       3    0.191913    0.051748
      53       1    0.036816    0.018365
      53       2    0.047622    0.023209
      53       3    0.023997    0.017466
      54       1    0.026016    0.015289
      54       2    0.025415    0.016907
      54       3    0.025377    0.016578
      55       1    0.018391    0.015409
      55       2    0.070704    0.037518
      55       3    0.015064    0.015163
      56       1    0.030599    0.016902
      56       2    0.036969    0.019928
      56       3    0.029139    0.017968
      57       1    0.099377    0.030718
      57       2    0.147636    0.044930
      57       3    0.075295    0.029992
      58       1    0.078510    0.026322
      58       2    0.081005    0.029586
      58       3    0.073386    0.028119
      59       1    0.124117    0.036194
      59       2    0.200507    0.053868
      59       3    0.098709    0.034965
      60       1    0.013549    0.011768
      60       2    0.010686    0.011433
      60       3    0.026753    0.017374
      61       1    0.023113    0.013905
      61       2    0.012194    0.011958
      61       3    0.012727    0.012227
      62       1    0.023151    0.013974
      62       2    0.011905    0.012086
      62       3    0.012310    0.011988
      63       1    0.176432    0.039374
      63       2    0.214442    0.049098
      63       3    0.154320    0.040712
      64       1    0.176809    0.040389
      64       2    0.200703    0.044942
      64       3    0.243348    0.052466
      65       1    0.417199    0.055925
      65       2    0.344473    0.055784
      65       3    0.359111    0.055739
      66       1    0.048746    0.025843
      66       2    0.073843    0.030781
      66       3    0.124904    0.045772
      67       1    0.306525    0.052423
      67       2    0.207369    0.054159
      67       3    0.353164    0.062129
      68       1    0.032881    0.017663
      68       2    0.015914    0.014113
      68       3    0.016167    0.013790
      69       1    0.461095    0.052198
      69       2    0.437910    0.057119
      69       3    0.500673    0.058988
      70       1    0.030040    0.016167
      70       2    0.025312    0.016697
      70       3    0.017981    0.014378
      71       1    0.134838    0.035537
      71       2    0.088666    0.033484
      71       3    0.158123    0.043046
      72       1    0.013675    0.011802
      72       2    0.027326    0.017600
      72       3    0.011641    0.012072
      73       1    0.354144    0.062191
      73       2    0.742125    0.062482
      73       3    0.268871    0.059739
      74       1    0.309842    0.053295
      74       2    0.265448    0.052609
      74       3    0.233145    0.049713
      75       1    0.535202    0.057365
      75       2    0.395148    0.067391
      75       3    0.578503    0.063751
      76       1    0.047629    0.021348
      76       2    0.027895    0.018687
      76       3    0.052093    0.024160
      77       1    0.012264    0.013947
      77       2    0.009416    0.012179
      77       3    0.225544    0.062720
      78       1    0.181628    0.039998
      78       2    0.140727    0.038917
      78       3    0.179553    0.042762
      79       1    0.420193    0.061307
      79       2    0.622082    0.072244
      79       3    0.440439    0.063390
      80       1    0.015987    0.012512
      80       2    0.020077    0.014605
      80       3    0.020290    0.014512
      81       1    0.231175    0.047209
      81       2    0.142552    0.044025
      81       3    0.257888    0.055330
      82       1    0.202214    0.042123
      82       2    0.162255    0.041802
      82       3    0.209506    0.045719
      83       1    0.202191    0.049273
      83       2    0.340917    0.067632
      83       3    0.241070    0.051357
      84       1    0.096785    0.029425
      84       2    0.082735    0.029345
      84       3    0.108868    0.034758
      85       1    0.101554    0.034533
      85       2    0.044475    0.024309
      85       3    0.071564    0.029673
      86       1    0.135252    0.039827
      86       2    0.210445    0.051308
      86       3    0.197152    0.047898
      87       1    0.013924    0.011587
      87       2    0.027228    0.017631
      87       3    0.011497    0.011385
      88       1    0.361479    0.052232
      88       2    0.446658    0.061130
      88       3    0.399218    0.056206
      89       1    0.153566    0.037256
      89       2    0.114129    0.035758
      89       3    0.133773    0.037606
      90       1    0.053426    0.022488
      90       2    0.059491    0.025137
      90       3    0.059627    0.025542
      91       1    0.027220    0.016411
      91       2    0.018929    0.015173
      91       3    0.043015    0.021912
      92       1    0.020210    0.012967
      92       2    0.013128    0.012088
      92       3    0.020568    0.014576
      93       1    0.123878    0.033632
      93       2    0.126462    0.037295
      93       3    0.135050    0.038765
      94       1    0.508202    0.063806
      94       2    0.572087    0.063066
      94       3    0.698985    0.067012
      95       1    0.013130    0.011199
      95       2    0.010644    0.011467
      95       3    0.026602    0.017345
      96       1    0.029022    0.016101
      96       2    0.016657    0.014088
      96       3    0.024644    0.016523
      97       1    0.158008    0.038040
      97       2    0.187331    0.044101
      97       3    0.176823    0.042306
      98       1    0.483798    0.060646
      98       2    0.460493    0.064086
      98       3    0.658201    0.070823
      99       1    0.081785    0.027995
      99       2    0.113459    0.039887
      99       3    0.046707    0.025128
     100       1    0.373786    0.050375
     100       2    0.355643    0.055050
     100       3    0.414857    0.056633
     101       1    0.020150    0.013200
     101       2    0.020476    0.014839
     101       3    0.013361    0.012335
     102       1    0.110031    0.032336
     102       2    0.094723    0.033071
     102       3    0.085604    0.031284
     103       1    0.218975    0.042314
     103       2    0.218382    0.046978
     103       3    0.181053    0.043935
     104       1    0.370463    0.056664
     104       2    0.271168    0.054698
     104       3    0.295944    0.055311
     105       1    0.029116    0.018236
     105       2    0.047473    0.023461
     105       3    0.038888    0.021343
     106       1    0.022812    0.013928
     106       2    0.011994    0.011951
     106       3    0.012269    0.012001
     107       1    0.016083    0.012143
     107       2    0.020930    0.015023
     107       3    0.020405    0.014737
     108       1    0.215769    0.043506
     108       2    0.168938    0.043506
     108       3    0.252884    0.052091
     109       1    0.633532    0.062530
     109       2    0.760473    0.059328
     109       3    0.268985    0.062697
     110       1    0.032441    0.018716
     110       2    0.050334    0.023974
     110       3    0.049518    0.023359
     111       1    0.132904    0.034179
     111       2    0.107230    0.034702
     111       3    0.127379    0.037241
     112       1    0.087967    0.028777
     112       2    0.076783    0.029347
     112       3    0.086053    0.030477
     113       1    0.383249    0.052786
     113       2    0.345453    0.054486
     113       3    0.312919    0.054500
     114       1    0.013773    0.011820
     114       2    0.026744    0.017379
     114       3    0.011400    0.011428
     115       1    0.019837    0.013449
     115       2    0.020477    0.014584
     115       3    0.013401    0.012729
     116       1    0.011251    0.012788
     116       2    0.251339    0.063704
     116       3    0.009170    0.011469
     117       1    0.253030    0.045937
     117       2    0.211751    0.047146
     117       3    0.222747    0.047199
     118       1    0.331536    0.051505
     118       2    0.408065    0.060416
     118       3    0.351102    0.055030
     119       1    0.068429    0.025414
     119       2    0.067496    0.027159
     119       3    0.076104    0.029019
     120       1    0.475895    0.057939
     120       2    0.534904    0.058125
     120       3    0.570057    0.060442
     121       1    0.167522    0.039768
     121       2    0.122214    0.037650
     121       3    0.149473    0.040332
     122       1    0.054168    0.022819
     122       2    0.091459    0.034379
     122       3    0.044705    0.023265
     123       1    0.061715    0.023552
     123       2    0.075748    0.029255
     123       3    0.074809    0.028095
     124       1    0.505189    0.052999
     124       2    0.491815    0.056735
     124       3    0.452485    0.057168
     125       1    0.504112    0.062954
     125       2    0.517584    0.068311
     125       3    0.246712    0.063729
     126       1    0.740738    0.046441
     126       2    0.765936    0.047395
     126       3    0.765998    0.048008
     127       1    0.116357    0.039424
     127       2    0.100323    0.038101
     127       3    0.334398    0.073586
     128       1    0.503055    0.053837
     128       2    0.516923    0.056394
     128       3    0.559850    0.059250
     129       1    0.064882    0.025024
     129       2    0.097023    0.033784
     129       3    0.069646    0.027394
     130       1    0.173586    0.042075
     130       2    0.246495    0.059323
     130       3    0.114792    0.039661
     131       1    0.053461    0.023652
     131       2    0.091160    0.036131
     131       3    0.043841    0.023363
     132       1    0.090341    0.029533
     132       2    0.143618    0.044275
     132       3    0.072063    0.029098
     133       1    0.091297    0.029851
     133       2    0.102456    0.033529
     133       3    0.132372    0.040244
     134       1    0.106095    0.030175
     134       2    0.113441    0.035544
     134       3    0.086115    0.030445
     135       1    0.306346    0.047157
     135       2    0.301398    0.052405
     135       3    0.339032    0.055234
     136       1    0.128507    0.033989
     136       2    0.100008    0.033713
     136       3    0.092770    0.031909
     137       1    0.062699    0.024445
     137       2    0.072933    0.028931
     137       3    0.056357    0.025072
     138       1    0.050017    0.021531
     138       2    0.037335    0.020470
     138       3    0.046140    0.022703
     139       1    0.023420    0.014321
     139       2    0.012507    0.012196
     139       3    0.012903    0.012369
     140       1    0.762181    0.043891
     140       2    0.783333    0.046232
     140       3    0.762802    0.047258
     141       1    0.019963    0.013310
     141       2    0.020598    0.014701
     141       3    0.013370    0.012348
     142       1    0.191279    0.041379
     142       2    0.247142    0.054015
     142       3    0.161423    0.042196
     143       1    0.020141    0.012989
     143       2    0.020896    0.015331
     143       3    0.013757    0.012592
     144       1    0.013544    0.011559
     144       2    0.026932    0.017483
     144       3    0.011262    0.011653
     145       1    0.030376    0.016730
     145       2    0.036234    0.019448
     145       3    0.028960    0.017919
     146       1    0.340458    0.055060
     146       2    0.477415    0.070287
     146       3    0.289076    0.059145
     147       1    0.393290    0.050619
     147       2    0.345925    0.055546
     147       3    0.396006    0.055269
     148       1    0.013159    0.011705
     148       2    0.010655    0.011625
     148       3    0.025995    0.017086
     149       1    0.083113    0.029881
     149       2    0.133162    0.040700
     149       3    0.110138    0.035415
     150       1    0.049963    0.021517
     150       2    0.045718    0.023117
     150       3    0.037952    0.021223
     151       1    0.162758    0.037414
     151       2    0.182292    0.044228
     151       3    0.136002    0.038362
     152       1    0.422893    0.053896
     152       2    0.495728    0.059582
     152       3    0.462589    0.058363
     153       1    0.023420    0.014204
     153       2    0.012363    0.012274
     153       3    0.012855    0.012362
     154       1    0.244840    0.044361
     154       2    0.209469    0.046335
     154       3    0.218787    0.046272
     155       1    0.121438    0.034754
     155       2    0.156956    0.042142
     155       3    0.128701    0.037503
