   locus      deme_1      deme_2      deme_3
       1    0.512750    0.580500    0.504750
       2    0.427750    0.515750    0.370250
       3    0.501000    0.386250    0.645250
       4    0.536500    0.558750    0.411500
       5    0.458500    0.594250    0.584250
       6    0.433750    0.504250    0.391750
       7    0.539000    0.463250    0.521250
       8    0.539750    0.451750    0.518000
       9    0.565000    0.275250    0.550500
      10    0.508500    0.412000    0.656750
      11    0.490500    0.588250    0.545500
      12    0.496500    0.578500    0.518750
      13    0.455000    0.604500    0.542250
      14    0.499250    0.575000    0.496750
      15    0.502000    0.591500    0.478500
      16    0.512500    0.600750    0.485750
      17    0.511750    0.506250    0.560250
      18    0.502000    0.602500    0.446500
      19    0.518500    0.595500    0.487750
      20    0.484250    0.436250    0.582750
      21    0.505000    0.603750    0.435250
      22    0.508250    0.424500    0.595500
      23    0.558500    0.374750    0.530500
      24    0.525000    0.424500    0.562500
      25    0.549000    0.426500    0.544500
      26    0.515750    0.527750    0.536000
      27    0.506500    0.581500    0.510000
      28    0.586000    0.513500    0.376500
      29    0.513500    0.440500    0.618750
      30    0.504250    0.556500    0.550500
      31    0.481750    0.536250    0.596500
      32    0.549250    0.390250    0.234500
      33    0.454500    0.609500    0.548750
      34    0.469750    0.532000    0.619750
      35    0.503250    0.512000    0.567000
      36    0.508500    0.572250    0.469750
      37    0.525250    0.398250    0.603500
      38    0.486250    0.572250    0.553250
      39    0.530500    0.505250    0.516500
      40    0.471500    0.581500    0.569500
      41    0.516250    0.311750    0.659750
      42    0.483250    0.606250    0.464250
      43    0.542750    0.568500    0.418500
      44    0.518750    0.627000    0.465500
      45    0.573250    0.548750    0.351500
      46    0.439000    0.593250    0.585500
      47    0.604250    0.360750    0.363500
      48    0.541000    0.564500    0.437500
      49    0.435750    0.653000    0.542500
      50    0.442750    0.590500    0.605750
      51    0.586250    0.398750    0.353000
      52    0.520750    0.379250    0.567250
      53    0.563000    0.555250    0.340000
      54    0.405750    0.611250    0.610250
      55    0.601000    0.387750    0.403500
      56    0.539000    0.578750    0.358750
      57    0.601000    0.398750    0.386500
      58    0.598000    0.394000    0.389250
      59    0.603750    0.380250    0.383000
      60    0.550750    0.368500    0.551750
      61    0.441000    0.594750    0.599250
      62    0.482500    0.487500    0.597750
      63    0.495500    0.290250    0.712000
      64    0.551500    0.308500    0.519750
      65    0.491500    0.486250    0.617000
      66    0.533250    0.543750    0.480250
      67    0.615000    0.389000    0.292000
      68    0.524000    0.535000    0.526250
      69    0.478250    0.616250    0.514250
      70    0.522750    0.577500    0.394500
      71    0.596500    0.281750    0.479750
      72    0.532250    0.564250    0.462250
      73    0.591000    0.285250    0.461000
      74    0.595500    0.290000    0.465750
      75    0.559750    0.424750    0.505000
      76    0.465000    0.620250    0.545250
      77    0.547250    0.434500    0.484500
      78    0.588750    0.288000    0.466000
      79    0.505250    0.565500    0.511500
      80    0.562250    0.297500    0.573000
      81    0.541750    0.466750    0.524750
      82    0.492750    0.600500    0.496500
      83    0.550250    0.448250    0.558250
      84    0.556750    0.357000    0.568750
      85    0.534000    0.516000    0.508000
      86    0.496500    0.481000    0.615000
      87    0.459750    0.705750    0.350250
      88    0.460000    0.560250    0.578750
      89    0.464500    0.575500    0.558750
      90    0.536750    0.518750    0.497250
      91    0.501750    0.586000    0.475000
      92    0.461250    0.567250    0.569250
      93    0.544750    0.551000    0.380000
      94    0.491750    0.573500    0.505500
      95    0.509000    0.429000    0.627000
      96    0.481250    0.577250    0.468000
      97    0.452750    0.646750    0.511250
      98    0.438500    0.641250    0.511250
      99    0.512750    0.571750    0.505750
     100    0.526500    0.597000    0.401000
     101    0.505750    0.573250    0.465500
     102    0.534250    0.579750    0.342750
     103    0.498500    0.567250    0.503250
     104    0.502000    0.694250    0.332750
     105    0.540250    0.437250    0.546250
     106    0.492000    0.587750    0.541500
     107    0.497000    0.548750    0.549750
     108    0.550500    0.516000    0.511500
     109    0.541000    0.399250    0.517500
     110    0.510000    0.327000    0.575750
     111    0.448500    0.595000    0.599750
     112    0.510000    0.532000    0.531750
     113    0.571750    0.331000    0.539500
     114    0.534500    0.483750    0.555750
     115    0.500500    0.553250    0.531250
     116    0.553750    0.401500    0.572500
     117    0.510500    0.459000    0.588750
     118    0.516000    0.589500    0.467500
     119    0.510000    0.510500    0.576000
     120    0.486750    0.573750    0.524250
     121    0.505750    0.563750    0.522750
     122    0.538250    0.520750    0.457250
     123    0.502500    0.503500    0.595500
     124    0.532000    0.493250    0.522250
     125    0.501750    0.514250    0.577500
     126    0.531250    0.509000    0.506000
     127    0.508750    0.437000    0.604000
     128    0.545500    0.356000    0.580250
     129    0.472000    0.508000    0.613750
     130    0.389500    0.688500    0.576250
     131    0.531500    0.574250    0.422750
     132    0.582250    0.466500    0.364500
     133    0.547250    0.454750    0.511000
     134    0.499750    0.507000    0.594000
     135    0.528250    0.434250    0.560250
     136    0.506750    0.496000    0.600750
     137    0.532000    0.503000    0.508500
     138    0.540750    0.413500    0.554250
     139    0.558250    0.507250    0.412750
     140    0.550250    0.565000    0.421500
     141    0.573750    0.511500    0.405750
     142    0.475000    0.587500    0.545750
     143    0.505500    0.556750    0.560000
     144    0.459000    0.568000    0.575250
     145    0.542000    0.353750    0.583250
     146    0.536500    0.521000    0.464000
     147    0.543250    0.526500    0.358500
     148    0.534250    0.457750    0.528750
     149    0.472500    0.674250    0.474250
     150    0.457500    0.567000    0.579500
     151    0.557750    0.423250    0.494750
     152    0.509250    0.544750    0.506000
     153    0.549000    0.401500    0.568750
     154    0.478750    0.566750    0.568250
     155    0.529500    0.507500    0.498000
     156    0.519500    0.464500    0.586750
     157    0.501250    0.518750    0.563000
     158    0.531000    0.596750    0.375750
     159    0.540250    0.433000    0.572000
     160    0.439250    0.686750    0.513750
     161    0.498250    0.631250    0.442500
     162    0.526000    0.568500    0.438000
     163    0.579500    0.479250    0.422250
     164    0.511500    0.530750    0.531500
     165    0.535500    0.529750    0.461250
     166    0.533750    0.499000    0.524750
     167    0.510500    0.492500    0.529000
     168    0.482250    0.535500    0.593750
     169    0.451500    0.579750    0.610500
     170    0.497750    0.505250    0.571000
     171    0.540250    0.438500    0.566250
     172    0.515250    0.558500    0.497250
     173    0.449500    0.537750    0.641750
     174    0.530500    0.577250    0.343000
     175    0.521000    0.606750    0.389500
     176    0.332500    0.601500    0.768000
     177    0.525750    0.409750    0.558500
     178    0.494250    0.487750    0.600750
     179    0.447250    0.549500    0.609750
     180    0.521500    0.452250    0.588500
     181    0.533250    0.503500    0.501000
     182    0.510000    0.562500    0.509000
     183    0.527000    0.481750    0.544250
     184    0.454750    0.597500    0.557250
     185    0.472750    0.528000    0.584750
     186    0.597000    0.400750    0.385500
     187    0.489500    0.565000    0.515750
     188    0.564000    0.538500    0.432750
     189    0.480000    0.467250    0.277000
     190    0.550500    0.481000    0.471000
     191    0.566500    0.584500    0.312500
     192    0.547250    0.475750    0.472750
     193    0.529750    0.562250    0.465250
     194    0.471500    0.584500    0.534250
     195    0.533500    0.610250    0.359000
     196    0.533250    0.439250    0.558250
     197    0.489000    0.612000    0.429000
     198    0.497000    0.510500    0.570250
     199    0.526750    0.568000    0.395500
     200    0.492000    0.304000    0.720500
     201    0.505500    0.515250    0.581000
     202    0.540500    0.553000    0.403750
     203    0.485250    0.605000    0.475250
     204    0.554250    0.515500    0.427750
     205    0.500500    0.560000    0.537250
     206    0.495750    0.379750    0.313750
     207    0.479750    0.597750    0.531250
     208    0.529750    0.532000    0.490250
     209    0.627000    0.473250    0.239500
     210    0.533250    0.553000    0.476000
     211    0.490000    0.540500    0.592000
     212    0.484750    0.506500    0.597000
     213    0.484500    0.539250    0.596500
