   locus    deme        mean         std
       1       1    0.018922    0.012368
       1       2    0.012876    0.012149
       1       3    0.019584    0.014421
       2       1    0.938314    0.024013
       2       2    0.925714    0.028981
       2       3    0.950016    0.023664
       3       1    0.039155    0.019712
       3       2    0.059203    0.027144
       3       3    0.025275    0.017225
       4       1    0.013010    0.011160
       4       2    0.010496    0.011018
       4       3    0.025781    0.017152
       5       1    0.021278    0.013559
       5       2    0.011518    0.011497
       5       3    0.011795    0.011709
       6       1    0.971899    0.017006
       6       2    0.963028    0.020142
       6       3    0.977368    0.016589
       7       1    0.019609    0.014064
       7       2    0.030708    0.018805
       7       3    0.022933    0.015782
       8       1    0.019613    0.013976
       8       2    0.030293    0.017936
       8       3    0.023138    0.015961
       9       1    0.069076    0.026808
       9       2    0.123770    0.042940
       9       3    0.072069    0.028765
      10       1    0.142869    0.035441
      10       2    0.162435    0.042101
      10       3    0.116018    0.035908
      11       1    0.069796    0.025823
      11       2    0.058025    0.025649
      11       3    0.065854    0.026825
      12       1    0.066912    0.024494
      12       2    0.056710    0.024903
      12       3    0.064424    0.025812
      13       1    0.077424    0.026029
      13       2    0.060960    0.026158
      13       3    0.068568    0.026919
      14       1    0.072229    0.025838
      14       2    0.060198    0.025516
      14       3    0.076006    0.028889
      15       1    0.071114    0.024789
      15       2    0.059020    0.024933
      15       3    0.075963    0.028634
      16       1    0.071084    0.025347
      16       2    0.057950    0.025127
      16       3    0.074905    0.028964
      17       1    0.019055    0.012771
      17       2    0.019573    0.014099
      17       3    0.013219    0.012264
      18       1    0.076996    0.026252
      18       2    0.063060    0.025910
      18       3    0.088183    0.030950
      19       1    0.072219    0.024917
      19       2    0.060072    0.025475
      19       3    0.075940    0.028019
      20       1    0.253441    0.044585
      20       2    0.269760    0.049196
      20       3    0.232441    0.047662
      21       1    0.077795    0.027413
      21       2    0.064460    0.027170
      21       3    0.089955    0.031922
      22       1    0.046847    0.020599
      22       2    0.062814    0.027051
      22       3    0.038478    0.020898
      23       1    0.063308    0.025045
      23       2    0.094546    0.034893
      23       3    0.066414    0.027058
      24       1    0.012929    0.011244
      24       2    0.025966    0.018003
      24       3    0.010595    0.011317
      25       1    0.013034    0.011131
      25       2    0.026051    0.017328
      25       3    0.010568    0.011168
      26       1    0.025257    0.014809
      26       2    0.024675    0.016326
      26       3    0.024610    0.016175
      27       1    0.019153    0.012975
      27       2    0.012649    0.012251
      27       3    0.019880    0.014928
      28       1    0.031905    0.018073
      28       2    0.039651    0.020907
      28       3    0.057517    0.026557
      29       1    0.036364    0.018212
      29       2    0.047551    0.023624
      29       3    0.023893    0.016752
      30       1    0.033752    0.017512
      30       2    0.028688    0.017770
      30       3    0.028727    0.017842
      31       1    0.027640    0.015675
      31       2    0.023570    0.016020
      31       3    0.016929    0.013925
      32       1    0.769141    0.046680
      32       2    0.799255    0.046318
      32       3    0.840628    0.043868
      33       1    0.035857    0.017525
      33       2    0.020348    0.015543
      33       3    0.027328    0.017396
      34       1    0.112021    0.031821
      34       2    0.105187    0.033931
      34       3    0.089210    0.031583
      35       1    0.018608    0.012505
      35       2    0.019064    0.013866
      35       3    0.012460    0.011743
      36       1    0.042401    0.019709
      36       2    0.035244    0.019910
      36       3    0.051406    0.023703
      37       1    0.026393    0.015559
      37       2    0.042680    0.023119
      37       3    0.018746    0.014848
      38       1    0.083235    0.027432
      38       2    0.072602    0.027800
      38       3    0.073696    0.028119
      39       1    0.015346    0.012092
      39       2    0.019784    0.014769
      39       3    0.019245    0.014112
      40       1    0.020982    0.013519
      40       2    0.010948    0.011120
      40       3    0.011680    0.011771
      41       1    0.042246    0.021223
      41       2    0.073113    0.032402
      41       3    0.027611    0.019400
      42       1    0.174093    0.038425
      42       2    0.150166    0.039520
      42       3    0.177513    0.042079
      43       1    0.013222    0.011597
      43       2    0.010653    0.011474
      43       3    0.025421    0.017135
      44       1    0.057436    0.023221
      44       2    0.043010    0.021855
      44       3    0.067438    0.027315
      45       1    0.025197    0.016187
      45       2    0.027198    0.017792
      45       3    0.054144    0.026798
      46       1    0.030216    0.017025
      46       2    0.014804    0.013525
      46       3    0.015509    0.013660
      47       1    0.110452    0.033599
      47       2    0.155875    0.043423
      47       3    0.155311    0.041692
      48       1    0.033877    0.017486
      48       2    0.031234    0.018523
      48       3    0.047224    0.023023
      49       1    0.051550    0.021795
      49       2    0.028241    0.018367
      49       3    0.043334    0.022338
      50       1    0.030190    0.017535
      50       2    0.015141    0.014270
      50       3    0.015706    0.014173
      51       1    0.164157    0.040573
      51       2    0.204004    0.046702
      51       3    0.212451    0.048539
      52       1    0.340615    0.049401
      52       2    0.378629    0.056992
