   locus        mean         std
       1    0.917991    0.029262
       2    0.772735    0.055286
       3    0.889915    0.037413
       4    0.916256    0.029502
       5    0.886184    0.037156
       6    0.128907    0.037486
       7    0.789235    0.048976
       8    0.675782    0.056629
       9    0.688213    0.060014
      10    0.922179    0.031621
      11    0.710033    0.056565
      12    0.256664    0.054232
      13    0.878129    0.037608
      14    0.927063    0.029787
      15    0.312696    0.059421
      16    0.678567    0.061485
      17    0.225379    0.051027
      18    0.888606    0.035451
      19    0.941569    0.025896
      20    0.704688    0.060742
      21    0.784380    0.052747
      22    0.920163    0.029310
      23    0.722341    0.057613
      24    0.718630    0.059855
      25    0.735283    0.057740
      26    0.854942    0.040848
      27    0.233358    0.050700
      28    0.897097    0.033428
      29    0.883396    0.037702
      30    0.717369    0.055762
      31    0.878486    0.038131
      32    0.565443    0.065251
      33    0.935188    0.027865
      34    0.937143    0.026266
      35    0.915664    0.032513
      36    0.937168    0.026868
      37    0.880698    0.037437
      38    0.591211    0.064568
      39    0.587646    0.063811
      40    0.917101    0.031268
      41    0.583334    0.065984
      42    0.916086    0.032180
      43    0.161743    0.043432
      44    0.868347    0.040567
      45    0.856334    0.042332
      46    0.857607    0.043063
      47    0.858645    0.041868
      48    0.158549    0.044986
      49    0.708628    0.056124
      50    0.862296    0.039567
      51    0.274637    0.056637
      52    0.947657    0.024915
      53    0.850338    0.043070
      54    0.405084    0.065997
      55    0.247653    0.054046
      56    0.775064    0.051399
      57    0.771214    0.051997
      58    0.821432    0.046831
      59    0.771154    0.051569
      60    0.691162    0.058439
      61    0.948824    0.025179
      62    0.614100    0.062112
      63    0.366873    0.060959
      64    0.348528    0.058957
      65    0.669705    0.059631
      66    0.351103    0.063934
      67    0.352225    0.061218
      68    0.353986    0.062195
      69    0.668900    0.060033
      70    0.864433    0.040517
      71    0.352445    0.060351
      72    0.772016    0.050252
      73    0.247703    0.054401
      74    0.769462    0.052212
      75    0.903109    0.036260
      76    0.771982    0.053402
      77    0.866634    0.040309
      78    0.240343    0.052387
      79    0.777527    0.050592
      80    0.779314    0.050170
      81    0.778732    0.050975
      82    0.867795    0.039311
      83    0.875414    0.038689
      84    0.339581    0.060459
      85    0.884088    0.036790
      86    0.840188    0.042525
      87    0.878820    0.036343
      88    0.225068    0.050788
      89    0.310578    0.058003
      90    0.885854    0.036545
      91    0.631301    0.058961
      92    0.566549    0.064523
      93    0.956790    0.021581
      94    0.527760    0.066157
      95    0.902016    0.033618
      96    0.913474    0.033638
      97    0.902114    0.033560
      98    0.600008    0.062053
      99    0.511516    0.065642
     100    0.665879    0.060204
     101    0.899554    0.032988
     102    0.903089    0.034987
     103    0.113232    0.036533
     104    0.898846    0.033171
     105    0.902776    0.032140
     106    0.641662    0.060806
     107    0.921634    0.029653
     108    0.903430    0.033791
     109    0.274901    0.055199
     110    0.672257    0.059789
     111    0.746301    0.056107
     112    0.275785    0.055438
     113    0.739529    0.054283
     114    0.595632    0.062953
     115    0.496003    0.062803
     116    0.522055    0.065833
     117    0.403063    0.067498
     118    0.928935    0.027740
     119    0.619669    0.062716
     120    0.721773    0.060274
     121    0.617725    0.065560
     122    0.456844    0.061765
     123    0.653459    0.060783
     124    0.897644    0.034619
     125    0.742454    0.055750
     126    0.577250    0.063524
     127    0.652547    0.062044
     128    0.543814    0.065010
     129    0.697403    0.057155
     130    0.937061    0.026150
     131    0.893691    0.040357
     132    0.895474    0.039144
     133    0.595093    0.060120
     134    0.745622    0.055315
     135    0.894911    0.038434
     136    0.847582    0.043204
     137    0.808285    0.048295
     138    0.416069    0.062051
     139    0.425706    0.064273
     140    0.808506    0.047431
     141    0.209599    0.048977
     142    0.804259    0.046672
     143    0.924424    0.028387
     144    0.608070    0.062733
     145    0.613645    0.063643
     146    0.349004    0.064001
     147    0.928662    0.028062
     148    0.613674    0.061131
     149    0.704736    0.056659
     150    0.583010    0.063241
     151    0.610296    0.063084
     152    0.740316    0.052368
     153    0.808863    0.049455
     154    0.890611    0.038085
     155    0.940633    0.025579
     156    0.759135    0.053864
     157    0.802936    0.047325
     158    0.889363    0.039124
     159    0.433905    0.060760
     160    0.428302    0.065288
     161    0.931256    0.027043
     162    0.798848    0.049550
     163    0.259357    0.056748
     164    0.256625    0.054053
     165    0.286738    0.054945
     166    0.926060    0.027595
     167    0.939995    0.024825
     168    0.854524    0.040813
     169    0.614128    0.063829
     170    0.628772    0.062826
     171    0.826607    0.046849
     172    0.904954    0.035962
     173    0.880887    0.037565
     174    0.860605    0.040224
     175    0.901370    0.033628
     176    0.742639    0.054348
     177    0.161475    0.043205
     178    0.882447    0.036608
     179    0.883197    0.036578
     180    0.690888    0.060742
     181    0.779646    0.051140
     182    0.902558    0.033420
     183    0.940322    0.025183
     184    0.281920    0.058688
     185    0.939621    0.026208
     186    0.831460    0.044493
     187    0.879577    0.037991
     188    0.882222    0.037493
     189    0.302787    0.057167
     190    0.775838    0.052241
     191    0.871781    0.039354
     192    0.852879    0.041616
     193    0.732183    0.055841
     194    0.878327    0.038121
     195    0.871448    0.038937
     196    0.589520    0.064017
     197    0.894887    0.034960
     198    0.731492    0.055366
     199    0.894343    0.035145
     200    0.820491    0.047447
     201    0.648100    0.063507
     202    0.380085    0.060649
     203    0.378621    0.063097
     204    0.920267    0.029985
     205    0.757820    0.052987
     206    0.663216    0.061131
     207    0.662194    0.060325
     208    0.920732    0.028594
     209    0.847104    0.041518
     210    0.756321    0.054197
     211    0.357968    0.060729
     212    0.749749    0.053099
     213    0.357998    0.063053
     214    0.875453    0.038451
     215    0.909291    0.031115
     216    0.924549    0.027155
     217    0.283761    0.055716
     218    0.915113    0.030054
     219    0.906158    0.033929
     220    0.917553    0.029462
     221    0.791746    0.050366
     222    0.108798    0.032022
     223    0.872108    0.038148
     224    0.200310    0.047589
     225    0.099832    0.033067
     226    0.915548    0.030004
     227    0.914382    0.030514
     228    0.873484    0.037664
     229    0.770329    0.053072
     230    0.934614    0.025476
     231    0.080711    0.028227
     232    0.079090    0.028927
     233    0.934410    0.025721
     234    0.182401    0.047661
     235    0.934614    0.026930
     236    0.078528    0.027731
     237    0.934930    0.025698
     238    0.933952    0.025786
     239    0.912002    0.031481
     240    0.489452    0.063792
     241    0.821643    0.043677
     242    0.919358    0.030059
     243    0.875734    0.039767
     244    0.747956    0.053439
     245    0.595528    0.064989
     246    0.594913    0.061758
     247    0.595301    0.062695
     248    0.891376    0.035615
     249    0.820743    0.046325
     250    0.919381    0.029279
     251    0.754057    0.052824
     252    0.877760    0.038864
     253    0.425556    0.062834
     254    0.880695    0.036413
     255    0.478491    0.065886
     256    0.406381    0.062819
     257    0.884008    0.036714
     258    0.823798    0.048162
     259    0.814933    0.049138
     260    0.918276    0.028654
     261    0.436512    0.064031
     262    0.193065    0.047761
     263    0.820241    0.045853
     264    0.923322    0.031797
     265    0.488663    0.064141
     266    0.875314    0.037935
     267    0.527191    0.063479
     268    0.819668    0.049369
     269    0.534218    0.063096
     270    0.848106    0.043796
     271    0.814674    0.048223
     272    0.527031    0.067003
     273    0.518998    0.064848
     274    0.850255    0.043948
     275    0.847954    0.043284
     276    0.853465    0.042586
     277    0.655403    0.059954
     278    0.886616    0.036584
     279    0.926900    0.030316
     280    0.469919    0.065686
     281    0.556155    0.061893
     282    0.914420    0.031761
     283    0.352648    0.059453
     284    0.357881    0.059893
     285    0.658931    0.060164
     286    0.935089    0.026762
     287    0.818149    0.048574
     288    0.647330    0.062359
     289    0.900740    0.033541
     290    0.721044    0.058431
     291    0.839857    0.043730
     292    0.914534    0.031527
     293    0.862916    0.042399
     294    0.438811    0.062755
     295    0.580477    0.061664
     296    0.581319    0.061395
     297    0.679981    0.057257
     298    0.862793    0.043611
     299    0.737466    0.055253
     300    0.745202    0.055707
     301    0.864484    0.042686
     302    0.873705    0.038069
     303    0.744549    0.054990
     304    0.743686    0.055350
     305    0.740111    0.057095
     306    0.488573    0.064811
     307    0.783411    0.050660
     308    0.182611    0.046505
     309    0.831048    0.046465
     310    0.647775    0.061349
     311    0.847470    0.044789
     312    0.750116    0.052410
     313    0.868949    0.039398
     314    0.855868    0.043035
     315    0.781632    0.052321
     316    0.779110    0.054378
     317    0.866570    0.039678
     318    0.915136    0.032143
     319    0.236550    0.053390
     320    0.700405    0.060568
     321    0.548608    0.066642
     322    0.234155    0.053184
     323    0.788718    0.052185
     324    0.785212    0.050312
     325    0.853526    0.042966
     326    0.421701    0.065915
     327    0.249490    0.053821
     328    0.793033    0.048423
     329    0.840570    0.044942
     330    0.814329    0.047479
     331    0.810397    0.047581
     332    0.833477    0.046500
     333    0.898409    0.033945
     334    0.463330    0.069916
     335    0.556975    0.064954
     336    0.769419    0.053766
     337    0.747367    0.053523
     338    0.937731    0.025660
     339    0.881674    0.037260
     340    0.261284    0.056587
     341    0.325427    0.058168
     342    0.814228    0.048635
     343    0.321082    0.059227
     344    0.698941    0.058404
     345    0.701871    0.057182
     346    0.674732    0.058332
     347    0.374902    0.060141
     348    0.759685    0.053969
     349    0.411258    0.062394
     350    0.677344    0.060183
     351    0.932323    0.027280
     352    0.252474    0.052980
     353    0.832588    0.044573
     354    0.256075    0.053109
     355    0.785366    0.052290
     356    0.900630    0.033079
     357    0.825608    0.044353
     358    0.825011    0.045419
     359    0.822638    0.047969
     360    0.721406    0.057368
     361    0.824167    0.047252
     362    0.902393    0.032789
     363    0.682301    0.060147
     364    0.915484    0.030350
     365    0.765671    0.051639
     366    0.471455    0.065474
     367    0.469991    0.065375
     368    0.836893    0.044394
     369    0.783434    0.050573
     370    0.916995    0.029954
     371    0.928401    0.029594
     372    0.474676    0.064254
     373    0.835907    0.043629
     374    0.784307    0.048409
     375    0.470635    0.065104
     376    0.876776    0.038468
     377    0.837747    0.044297
     378    0.584993    0.065459
     379    0.843790    0.043391
     380    0.915653    0.029616
     381    0.735194    0.058423
     382    0.915052    0.029902
     383    0.872502    0.038507
     384    0.572141    0.065061
     385    0.866487    0.039827
     386    0.889002    0.036674
     387    0.893752    0.035076
     388    0.891788    0.036506
     389    0.861698    0.041435
     390    0.824997    0.045736
     391    0.882848    0.037626
     392    0.834266    0.045384
     393    0.869996    0.040137
     394    0.776668    0.051670
     395    0.773868    0.049824
     396    0.383250    0.061549
     397    0.771329    0.051804
     398    0.854259    0.043347
     399    0.386936    0.061508
     400    0.628534    0.062867
     401    0.385870    0.062718
     402    0.874893    0.038583
     403    0.815532    0.046898
     404    0.382885    0.059375
     405    0.389554    0.063600
     406    0.817775    0.047524
     407    0.388272    0.063493
     408    0.233022    0.051045
     409    0.787110    0.049794
     410    0.237755    0.051869
     411    0.782269    0.049847
     412    0.780339    0.050821
     413    0.906474    0.031773
     414    0.831954    0.045488
     415    0.524332    0.064176
     416    0.716100    0.061143
     417    0.824773    0.044900
     418    0.895481    0.035367
     419    0.827147    0.045365
     420    0.754332    0.053878
     421    0.733219    0.055068
     422    0.823018    0.047163
     423    0.885436    0.036795
     424    0.853309    0.041457
     425    0.851997    0.042707
     426    0.934290    0.026958
     427    0.083403    0.030712
     428    0.929674    0.030021
     429    0.110029    0.034185
     430    0.111814    0.035569
     431    0.761128    0.052662
     432    0.867364    0.041985
     433    0.744735    0.056022
     434    0.813724    0.046445
     435    0.814435    0.047498
     436    0.787232    0.051431
     437    0.690926    0.058311
     438    0.907226    0.035278
     439    0.955408    0.025288
     440    0.847846    0.042367
     441    0.285080    0.056971
     442    0.771065    0.052633
     443    0.783892    0.053080
     444    0.771011    0.053203
     445    0.781082    0.052327
     446    0.420808    0.063252
     447    0.919140    0.030936
     448    0.229096    0.053559
     449    0.784840    0.051338
     450    0.791434    0.051344
     451    0.790550    0.051084
     452    0.203219    0.048021
     453    0.917861    0.031902
     454    0.631903    0.064287
     455    0.807492    0.049009
     456    0.614894    0.063513
     457    0.573188    0.061564
     458    0.595313    0.063678
     459    0.577577    0.062890
     460    0.738155    0.057584
     461    0.558196    0.065959
     462    0.851585    0.043915
     463    0.619838    0.066481
     464    0.417953    0.065208
     465    0.410308    0.064149
     466    0.604387    0.063458
     467    0.913318    0.033482
     468    0.176464    0.047341
     469    0.523374    0.066637
     470    0.086949    0.031133
     471    0.086034    0.030452
     472    0.912595    0.032836
     473    0.085883    0.029832
     474    0.912938    0.034583
     475    0.251093    0.053425
     476    0.925532    0.032107
