   locus    deme        mean         std  mean_all_1   std_all_1  mean_all_2   std_all_2
       1       1    0.693105    1.108972    0.732411    1.178343    0.655189    1.036257
       1       2    0.707796    1.321455    0.766080    1.474711    0.644656    1.128864
       1       3    0.636764    1.150379    0.704272    1.301519    0.555577    0.930388
       1       4    0.708508    1.244619    0.689375    1.234450    0.726672    1.253927
       2       1    0.801001    1.563016    1.100022    1.985278    0.448560    0.668904
       2       2    0.744539    1.328652    0.527900    0.798629    0.934352    1.635866
       2       3    0.747315    1.553160    0.683545    1.137053    0.812897    1.885478
       2       4    0.762012    1.414579    0.568935    0.790779    0.929826    1.770925
       3       1    0.801413    1.443597    0.991141    1.771742    0.549913    0.757883
       3       2    0.780258    1.368654    0.608224    1.001516    0.926217    1.601588
       3       3    0.723594    1.231588    0.748587    1.376165    0.699194    1.071226
       3       4    0.770988    1.277998    0.741253    1.064007    0.800251    1.457657
       4       1    0.740428    1.127475    0.782403    1.169639    0.694406    1.077477
       4       2    0.745274    1.178175    0.698981    1.145651    0.786492    1.204900
       4       3    0.857135    1.812030    0.916473    2.158025    0.788590    1.299200
       4       4    0.750795    1.100637    0.839251    1.182207    0.652239    0.992725
       5       1    0.698141    1.142671    0.626649    0.960664    0.762564    1.281373
       5       2    0.635869    1.140396    0.769842    1.388933    0.487198    0.748924
       5       3    0.714870    1.365867    0.855526    1.691509    0.575892    0.918146
       5       4    0.654642    1.176106    0.687036    1.333964    0.618695    0.970084
       6       1    0.664666    1.068849    0.712311    1.194226    0.608055    0.894093
       6       2    0.676016    1.233598    0.582930    1.067296    0.760916    1.362220
       6       3    0.667345    1.173208    0.695529    1.328451    0.639498    0.995553
       6       4    0.673275    1.199723    0.740964    1.287925    0.598760    1.089586
       7       1    0.672150    1.074566    0.754857    1.223746    0.573878    0.854123
       7       2    0.711485    1.364017    0.583720    1.140233    0.830371    1.533847
       7       3    0.649712    0.994037    0.714710    1.075259    0.581790    0.896351
       7       4    0.689172    1.172992    0.572474    0.966189    0.786993    1.313678
       8       1    0.707512    1.192266    0.860283    1.441434    0.522295    0.750523
       8       2    0.764472    1.485237    0.528450    0.913949    0.941798    1.778315
       8       3    0.711558    1.180851    0.720768    1.256183    0.702920    1.105465
       8       4    0.739090    1.176496    0.801590    1.268408    0.668610    1.058947
       9       1    0.683534    1.051373    0.784026    1.130092    0.568379    0.940092
       9       2    0.712473    1.157208    0.707198    1.157759    0.717684    1.156639
       9       3    0.691111    1.085913    0.623915    0.961800    0.752397    1.184537
       9       4    0.781706    1.400097    0.711516    1.193413    0.843700    1.557409
      10       1    0.706156    1.194572    0.647542    1.023022    0.767900    1.349189
      10       2    0.752585    1.360205    0.844594    1.638684    0.650892    0.952586
      10       3    0.890947    1.918973    1.106027    2.421153    0.613852    0.859144
      10       4    0.886764    1.753169    0.567807    0.994818    1.133334    2.131935
      11       1    0.751513    1.268343    0.615071    0.858427    0.876454    1.540892
      11       2    0.792670    1.510549    0.962795    1.850286    0.590530    0.921868
      11       3    0.771563    1.309742    0.883185    1.598388    0.657230    0.910922
      11       4    0.732936    1.164131    0.674093    0.987033    0.781864    1.291009
      12       1    0.708448    1.218383    0.545952    0.859412    0.854879    1.453049
      12       2    0.722597    1.140121    0.731396    1.148798    0.714042    1.131554
      12       3    0.636390    1.006029    0.627667    1.016389    0.645433    0.995095
      12       4    0.639524    1.137577    0.731390    1.301128    0.540003    0.918118
      13       1    0.681493    1.189246    0.629041    1.019418    0.726536    1.316062
      13       2    0.664094    1.093596    0.697768    1.172687    0.629465    1.004617
      13       3    0.638264    1.039986    0.637876    1.087838    0.638652    0.990028
      13       4    0.664247    1.119315    0.717283    1.203346    0.604919    1.013839
      14       1    0.695158    1.065658    0.716443    1.148710    0.675193    0.980969
      14       2    0.669277    1.166498    0.696076    1.234750    0.643529    1.096313
      14       3    0.715975    1.188735    0.524028    0.857709    0.865571    1.374757
      14       4    0.735699    1.384234    0.864383    1.677332    0.584027    0.903292
      15       1    0.777968    1.351253    0.933979    1.597292    0.598472    0.964881
      15       2    0.663627    1.139727    0.525419    0.727893    0.774442    1.374077
      15       3    0.711540    1.382412    0.871895    1.679540    0.527784    0.897375
      15       4    0.714914    1.243693    0.625461    0.992401    0.805810    1.449606
      16       1    0.787350    1.313995    0.927354    1.534383    0.636287    1.002633
      16       2    0.743896    1.142580    0.714335    1.148856    0.773575    1.135471
      16       3    0.774551    1.181640    0.743362    1.111624    0.806370    1.248229
      16       4    0.765611    1.157986    0.880439    1.327098    0.647522    0.938741
      17       1    0.810687    1.346462    0.838855    1.419574    0.779555    1.259999
      17       2    0.964928    1.801832    0.553319    0.810439    1.279261    2.235206
      17       3    0.821775    1.410861    0.808005    1.380571    0.837117    1.443706
      17       4    0.815896    1.407343    0.913286    1.680298    0.723811    1.079949
      18       1    0.709652    1.135993    0.703954    1.162464    0.715536    1.107967
      18       2    0.648932    1.119681    0.697861    1.286640    0.593977    0.892606
      18       3    0.720688    1.221162    0.645675    1.044818    0.791900    1.363878
      18       4    0.709803    1.187410    0.753067    1.254183    0.664046    1.110606
      19       1    0.744865    1.303128    0.816178    1.362034    0.675798    1.239515
      19       2    0.794567    1.584131    0.650494    1.225672    0.925968    1.841706
      19       3    0.719243    1.141040    0.740130    1.184776    0.696616    1.091234
      19       4    0.777165    1.460928    0.916788    1.803084    0.647246    1.029615
      20       1    0.759957    1.349414    0.888428    1.590488    0.624085    1.017564
      20       2    0.701467    1.238171    0.764612    1.305917    0.631394    1.154328
      20       3    0.733998    1.176096    0.699176    1.103702    0.765126    1.236401
      20       4    0.770107    1.240468    0.811074    1.320533    0.729302    1.153774
      21       1    0.740065    1.274110    0.666685    1.163089    0.813152    1.371916
      21       2    0.738381    1.256974    0.696531    1.281790    0.776858    1.232465
      21       3    0.755398    1.326691    0.863869    1.552238    0.634057    1.002922
      21       4    0.787555    1.611358    0.995414    2.031706    0.565064    0.928212
      22       1    2.779096    5.223966    0.459388    0.648649    3.768529    5.956191
      22       2    1.304281    2.272823    1.682023    2.739579    0.758447    1.131794
      22       3    1.425548    2.654913    1.908513    3.311851    0.803330    1.144950
      22       4    1.210178    1.995785    1.104085    1.906201    1.315847    2.075800
      23       1    0.656290    1.022319    0.548962    0.868576    0.758178    1.140087
      23       2    0.707000    1.106408    0.565532    0.912402    0.824632    1.232611
      23       3    0.700507    1.340199    0.722325    1.359348    0.677431    1.319252
      23       4    0.630626    1.099963    0.750297    1.274888    0.494041    0.837130
      24       1    0.598988    0.965444    0.581556    0.898327    0.616351    1.027651
      24       2    0.606062    1.041814    0.632198    1.058262    0.579715    1.024291
      24       3    0.625879    1.247100    0.499676    0.777822    0.743783    1.553782
