   locus    deme        mean         std
       1       1    0.937278    0.022945
       1       2    0.894489    0.028606
       1       3    0.937402    0.022558
       1       4    0.968783    0.016013
       2       1    0.605630    0.045433
       2       2    0.541947    0.047647
       2       3    0.856611    0.032575
       2       4    0.893757    0.029357
       3       1    0.918029    0.025897
       3       2    0.847287    0.033152
       3       3    0.976295    0.014686
       3       4    0.866119    0.029828
       4       1    0.937610    0.023153
       4       2    0.893424    0.028128
       4       3    0.937007    0.021755
       4       4    0.968548    0.016333
       5       1    0.915572    0.027518
       5       2    0.845258    0.035277
       5       3    0.975526    0.015397
       5       4    0.856382    0.032826
       6       1    0.084985    0.026393
       6       2    0.156756    0.035512
       6       3    0.025668    0.015316
       6       4    0.146680    0.032450
       7       1    0.896457    0.028475
       7       2    0.833508    0.036241
       7       3    0.786721    0.038474
       7       4    0.739188    0.041049
       8       1    0.643715    0.046640
       8       2    0.660977    0.043442
       8       3    0.706567    0.042499
       8       4    0.704787    0.042300
       9       1    0.644839    0.045444
       9       2    0.707762    0.043146
       9       3    0.706471    0.043015
       9       4    0.706405    0.042295
      10       1    0.911427    0.026470
      10       2    0.947644    0.020876
      10       3    0.989151    0.010751
      10       4    0.871196    0.030319
      11       1    0.727252    0.043398
      11       2    0.710885    0.041783
      11       3    0.571712    0.045928
      11       4    0.808659    0.036474
      12       1    0.169626    0.034384
      12       2    0.173665    0.036113
      12       3    0.267270    0.040992
      12       4    0.269059    0.041891
      13       1    0.915796    0.026046
      13       2    0.844109    0.034776
      13       3    0.929981    0.024735
      13       4    0.904256    0.027155
      14       1    0.982766    0.012816
      14       2    0.990308    0.010094
      14       3    0.818378    0.035434
      14       4    0.904745    0.027116
      15       1    0.231571    0.039850
      15       2    0.273725    0.041262
      15       3    0.318201    0.043192
      15       4    0.300285    0.042365
      16       1    0.597499    0.047089
      16       2    0.696219    0.042623
      16       3    0.853068    0.033904
      16       4    0.556646    0.046211
      17       1    0.156372    0.035708
      17       2    0.247185    0.040469
      17       3    0.151494    0.033438
      17       4    0.203211    0.036389
      18       1    0.907458    0.027561
      18       2    0.899297    0.026889
      18       3    0.915465    0.025580
      18       4    0.931020    0.022793
      19       1    0.876019    0.031454
      19       2    0.871529    0.031048
      19       3    0.991803    0.009014
      19       4    0.980370    0.013523
      20       1    0.673352    0.043066
      20       2    0.727524    0.042680
      20       3    0.544488    0.048534
      20       4    0.813208    0.035590
      21       1    0.835202    0.034692
      21       2    0.858093    0.032178
      21       3    0.606973    0.045196
      21       4    0.837207    0.034370
      22       1    0.982414    0.012824
      22       2    0.833180    0.033673
      22       3    0.919832    0.025919
      22       4    0.968858    0.016063
      23       1    0.630185    0.045859
      23       2    0.712015    0.042928
      23       3    0.901137    0.029526
      23       4    0.604676    0.043640
      24       1    0.631862    0.045330
      24       2    0.711294    0.043271
      24       3    0.901594    0.027667
      24       4    0.604489    0.044354
      25       1    0.714628    0.042565
      25       2    0.715694    0.041503
      25       3    0.904660    0.029330
      25       4    0.607427    0.047083
      26       1    0.887078    0.030093
      26       2    0.884682    0.030436
      26       3    0.858045    0.031709
      26       4    0.884295    0.029422
      27       1    0.179130    0.036979
      27       2    0.231333    0.040795
      27       3    0.195256    0.037769
      27       4    0.189319    0.035291
      28       1    0.935625    0.023598
      28       2    0.882649    0.030319
      28       3    0.943112    0.021399
      28       4    0.924272    0.024832
      29       1    0.943406    0.021827
      29       2    0.861998    0.032745
      29       3    0.913941    0.025518
      29       4    0.904044    0.028717
      30       1    0.620228    0.047222
      30       2    0.657604    0.045444
      30       3    0.841439    0.034809
      30       4    0.727917    0.042091
      31       1    0.906929    0.027263
      31       2    0.889561    0.029727
      31       3    0.888525    0.028609
      31       4    0.919720    0.024802
      32       1    0.540328    0.048596
      32       2    0.473450    0.046661
      32       3    0.636928    0.042913
      32       4    0.579641    0.047370
      33       1    0.975364    0.014625
      33       2    0.992131    0.008577
      33       3    0.868152    0.031879
      33       4    0.931926    0.023360
      34       1    0.993340    0.008072
      34       2    0.982526    0.012387
      34       3    0.854128    0.033566
      34       4    0.931170    0.022560
      35       1    0.991209    0.009106
      35       2    0.962160    0.019050
      35       3    0.919383    0.025493
      35       4    0.829858    0.034599
      36       1    0.993483    0.008083
      36       2    0.825467    0.036236
      36       3    0.949329    0.019726
      36       4    0.972220    0.015768
      37       1    0.914269    0.026799
      37       2    0.888669    0.030585
      37       3    0.888466    0.030076
      37       4    0.919638    0.025785
      38       1    0.543595    0.047460
      38       2    0.557629    0.047234
      38       3    0.755688    0.041428
      38       4    0.501449    0.047756
      39       1    0.543978    0.045320
      39       2    0.555888    0.044973
      39       3    0.752194    0.041013
      39       4    0.499887    0.046497
      40       1    0.991382    0.009287
      40       2    0.961616    0.019024
      40       3    0.920997    0.025246
      40       4    0.828669    0.033859
      41       1    0.546474    0.047031
      41       2    0.560759    0.046460
      41       3    0.755657    0.040251
      41       4    0.481764    0.045031
      42       1    0.991373    0.009108
      42       2    0.963150    0.018450
      42       3    0.920508    0.025492
      42       4    0.829747    0.033695
      43       1    0.113051    0.030371
      43       2    0.176299    0.036906
      43       3    0.109372    0.029591
      43       4    0.103668    0.028220
      44       1    0.898219    0.029655
      44       2    0.888472    0.029174
      44       3    0.842413    0.035173
      44       4    0.918371    0.025199
      45       1    0.887748    0.030802
      45       2    0.824920    0.034600
      45       3    0.894775    0.028113
      45       4    0.900307    0.029032
      46       1    0.886531    0.029961
      46       2    0.826683    0.034970
      46       3    0.893685    0.029843
      46       4    0.900998    0.028442
      47       1    0.887042    0.029844
      47       2    0.825907    0.036493
      47       3    0.896455    0.029413
      47       4    0.898865    0.029287
      48       1    0.114284    0.030103
      48       2    0.177066    0.036480
      48       3    0.108422    0.029808
      48       4    0.103876    0.028405
      49       1    0.744510    0.043168
      49       2    0.719841    0.043347
      49       3    0.659258    0.044892
      49       4    0.739903    0.040706
      50       1    0.887105    0.030211
      50       2    0.835005    0.035207
