   locus      deme_1      deme_2      deme_3
       1    0.544500    0.480500    0.469000
       2    0.509000    0.609250    0.520750
       3    0.539500    0.404250    0.559250
       4    0.494000    0.490000    0.583750
       5    0.568500    0.469250    0.452250
       6    0.562750    0.522000    0.164000
       7    0.532250    0.571500    0.435000
       8    0.530500    0.403500    0.581750
       9    0.526500    0.596750    0.394750
      10    0.460250    0.581250    0.560750
      11    0.521000    0.536500    0.583750
      12    0.603500    0.000000    0.752250
      13    0.547750    0.482250    0.514750
      14    0.474500    0.645500    0.406500
      15    0.553750    0.465000    0.526000
      16    0.464500    0.573500    0.577750
      17    0.668750    0.023750    0.445500
      18    0.488000    0.456250    0.610750
      19    0.567750    0.142000    0.557750
      20    0.542750    0.422500    0.593000
      21    0.484500    0.613750    0.369000
      22    0.543500    0.534500    0.482750
      23    0.540000    0.557000    0.445000
      24    0.330000    0.653750    0.637250
      25    0.540250    0.429750    0.551250
      26    0.489750    0.518250    0.344500
      27    0.524500    0.530500    0.410750
      28    0.537750    0.557250    0.455250
      29    0.248500    0.796750    0.631250
      30    0.621500    0.587500    0.024250
      31    0.409250    0.637000    0.520750
      32    0.496500    0.711750    0.316000
      33    0.458000    0.556250    0.563500
      34    0.464500    0.565500    0.581250
      35    0.451250    0.355750    0.453750
      36    0.513750    0.476250    0.564500
      37    0.642750    0.334000    0.264000
      38    0.549000    0.435250    0.565750
      39    0.372750    0.481750    0.695500
      40    0.504000    0.586750    0.468750
      41    0.637000    0.003000    0.491000
      42    0.584750    0.262750    0.582000
      43    0.513750    0.595250    0.423500
      44    0.506500    0.512000    0.573250
      45    0.444750    0.549250    0.582250
      46    0.447750    0.575750    0.579000
      47    0.569750    0.447250    0.461250
      48    0.501250    0.529750    0.588000
      49    0.525000    0.458250    0.464000
      50    0.535000    0.518750    0.523250
      51    0.469250    0.576000    0.476250
      52    0.678500    0.246750    0.265500
      53    0.496000    0.438250    0.618250
      54    0.531500    0.544500    0.540750
      55    0.561750    0.233250    0.600000
      56    0.535750    0.504750    0.544750
      57    0.513250    0.318500    0.672500
      58    0.517500    0.510500    0.546750
      59    0.542000    0.234250    0.673500
      60    0.530000    0.573500    0.440000
      61    0.464500    0.570500    0.578250
      62    0.474500    0.575000    0.576500
      63    0.508500    0.378250    0.608250
      64    0.601750    0.484250    0.321500
      65    0.348500    0.638250    0.587750
      66    0.634500    0.429750    0.241000
      67    0.424250    0.782500    0.281000
      68    0.444000    0.587500    0.604500
      69    0.480500    0.573250    0.364250
      70    0.482250    0.541750    0.595500
      71    0.475000    0.721500    0.385750
      72    0.530000    0.428500    0.556500
      73    0.484500    0.000750    0.782750
      74    0.385750    0.563250    0.684750
      75    0.365250    0.833500    0.261750
      76    0.483250    0.629500    0.466750
      77    0.575250    0.631750    0.004500
      78    0.460750    0.646250    0.488500
      79    0.596250    0.087000    0.503500
      80    0.533500    0.511500    0.524500
      81    0.422250    0.795750    0.335250
      82    0.464250    0.629750    0.452500
      83    0.634000    0.167750    0.445250
      84    0.518250    0.597000    0.464000
      85    0.363750    0.730750    0.581000
      86    0.633000    0.303500    0.349750
      87    0.526750    0.452000    0.564750
      88    0.575250    0.284000    0.421000
      89    0.425000    0.642250    0.548750
      90    0.535750    0.508000    0.498250
      91    0.532500    0.602500    0.425750
      92    0.513000    0.564000    0.508250
      93    0.547000    0.507500    0.475500
      94    0.616750    0.379250    0.101000
      95    0.521000    0.556500    0.436750
      96    0.477750    0.584750    0.534750
      97    0.560000    0.417750    0.482000
      98    0.551000    0.622750    0.097000
      99    0.465250    0.320250    0.705000
