   locus      deme_1      deme_2      deme_3      deme_4
       1    0.459000    0.524000    0.481000    0.483000
       2    0.613000    0.630000    0.446000    0.408000
       3    0.470000    0.523000    0.457000    0.505000
       4    0.447000    0.508000    0.503000    0.481000
       5    0.480000    0.550000    0.426000    0.528000
       6    0.521000    0.488000    0.531000    0.499000
       7    0.436000    0.491000    0.526000    0.505000
       8    0.545000    0.536000    0.502000    0.469000
       9    0.525000    0.490000    0.526000    0.470000
      10    0.526000    0.495000    0.495000    0.548000
      11    0.507000    0.491000    0.590000    0.470000
      12    0.559000    0.554000    0.509000    0.487000
      13    0.482000    0.518000    0.488000    0.475000
      14    0.449000    0.469000    0.557000    0.494000
      15    0.572000    0.522000    0.452000    0.493000
      16    0.542000    0.497000    0.414000    0.599000
      17    0.553000    0.513000    0.546000    0.514000
      18    0.467000    0.466000    0.479000    0.457000
      19    0.546000    0.558000    0.465000    0.478000
      20    0.523000    0.458000    0.597000    0.440000
      21    0.481000    0.458000    0.594000    0.451000
      22    0.467000    0.546000    0.520000    0.465000
      23    0.529000    0.484000    0.382000    0.572000
      24    0.541000    0.522000    0.421000    0.593000
      25    0.506000    0.505000    0.407000    0.571000
      26    0.469000    0.467000    0.508000    0.506000
      27    0.532000    0.514000    0.521000    0.548000
      28    0.496000    0.523000    0.474000    0.470000
      29    0.463000    0.508000    0.484000    0.483000
      30    0.537000    0.543000    0.460000    0.494000
      31    0.465000    0.481000    0.497000    0.451000
      32    0.517000    0.555000    0.458000    0.487000
      33    0.482000    0.481000    0.539000    0.510000
      34    0.450000    0.460000    0.543000    0.499000
      35    0.438000    0.477000    0.500000    0.532000
      36    0.470000    0.564000    0.490000    0.491000
      37    0.520000    0.482000    0.474000    0.499000
      38    0.524000    0.496000    0.406000    0.566000
      39    0.496000    0.499000    0.415000    0.558000
      40    0.431000    0.482000    0.515000    0.566000
      41    0.527000    0.510000    0.419000    0.564000
      42    0.448000    0.467000    0.494000    0.512000
      43    0.538000    0.492000    0.553000    0.529000
      44    0.485000    0.499000    0.515000    0.482000
      45    0.481000    0.551000    0.485000    0.473000
      46    0.485000    0.539000    0.478000    0.472000
      47    0.509000    0.516000    0.445000    0.473000
      48    0.522000    0.491000    0.523000    0.505000
      49    0.478000    0.485000    0.537000    0.463000
      50    0.503000    0.507000    0.489000    0.485000
      51    0.581000    0.562000    0.449000    0.507000
      52    0.488000    0.467000    0.586000    0.487000
      53    0.486000    0.505000    0.492000    0.478000
      54    0.583000    0.541000    0.458000    0.495000
      55    0.564000    0.536000    0.554000    0.468000
      56    0.443000    0.475000    0.462000    0.535000
      57    0.478000    0.499000    0.487000    0.533000
      58    0.468000    0.467000    0.555000    0.503000
      59    0.438000    0.474000    0.486000    0.521000
      60    0.501000    0.498000    0.511000    0.482000
      61    0.499000    0.476000    0.567000    0.519000
      62    0.413000    0.505000    0.574000    0.541000
      63    0.562000    0.500000    0.432000    0.526000
      64    0.556000    0.512000    0.483000    0.520000
      65    0.461000    0.478000    0.565000    0.494000
      66    0.544000    0.531000    0.402000    0.517000
      67    0.542000    0.525000    0.425000    0.536000
      68    0.554000    0.549000    0.460000    0.504000
      69    0.472000    0.461000    0.605000    0.490000
      70    0.470000    0.509000    0.515000    0.497000
      71    0.556000    0.539000    0.433000    0.523000
      72    0.431000    0.481000    0.534000    0.492000
      73    0.552000    0.578000    0.467000    0.475000
      74    0.433000    0.445000    0.540000    0.514000
      75    0.444000    0.452000    0.535000    0.498000
      76    0.465000    0.474000    0.560000    0.495000
      77    0.465000    0.499000    0.528000    0.475000
      78    0.567000    0.522000    0.457000    0.487000
      79    0.447000    0.455000    0.560000    0.478000
      80    0.453000    0.464000    0.536000    0.517000
      81    0.454000    0.444000    0.556000    0.501000
      82    0.477000    0.476000    0.516000    0.471000
      83    0.444000    0.440000    0.575000    0.518000
      84    0.546000    0.552000    0.419000    0.509000
      85    0.491000    0.505000    0.535000    0.459000
      86    0.448000    0.521000    0.514000    0.492000
      87    0.484000    0.472000    0.479000    0.486000
      88    0.567000    0.525000    0.491000    0.517000
      89    0.574000    0.567000    0.438000    0.540000
      90    0.491000    0.499000    0.478000    0.533000
      91    0.535000    0.459000    0.517000    0.510000
      92    0.543000    0.421000    0.491000    0.504000
      93    0.457000    0.559000    0.487000    0.476000
      94    0.545000    0.412000    0.488000    0.562000
      95    0.461000    0.506000    0.538000    0.463000
      96    0.508000    0.464000    0.497000    0.543000
      97    0.468000    0.468000    0.522000    0.493000
      98    0.531000    0.443000    0.519000    0.495000
      99    0.472000    0.608000    0.526000    0.479000
     100    0.499000    0.635000    0.423000    0.450000
     101    0.484000    0.422000    0.518000    0.497000
     102    0.516000    0.470000    0.468000    0.551000
     103    0.500000    0.573000    0.521000    0.456000
     104    0.493000    0.470000    0.500000    0.462000
     105    0.512000    0.451000    0.431000    0.581000
     106    0.509000    0.446000    0.493000    0.513000
     107    0.504000    0.467000    0.480000    0.505000
     108    0.519000    0.483000    0.469000    0.523000
     109    0.527000    0.552000    0.482000    0.472000
     110    0.516000    0.618000    0.440000    0.469000
     111    0.507000    0.453000    0.526000    0.529000
     112    0.530000    0.552000    0.462000    0.481000
     113    0.458000    0.443000    0.514000    0.528000
     114    0.510000    0.427000    0.535000    0.539000
     115    0.514000    0.417000    0.533000    0.526000
     116    0.531000    0.574000    0.493000    0.505000
     117    0.510000    0.378000    0.551000    0.583000
     118    0.461000    0.498000    0.525000    0.480000
     119    0.480000    0.650000    0.471000    0.459000
     120    0.461000    0.425000    0.501000    0.547000
     121    0.479000    0.670000    0.482000    0.411000
     122    0.496000    0.489000    0.544000    0.502000
     123    0.487000    0.609000    0.496000    0.455000
     124    0.473000    0.476000    0.520000    0.486000
     125    0.554000    0.531000    0.463000    0.499000
     126    0.460000    0.471000    0.520000    0.530000
     127    0.511000    0.580000    0.483000    0.450000
     128    0.462000    0.505000    0.534000    0.491000
     129    0.507000    0.534000    0.473000    0.444000
     130    0.507000    0.462000    0.490000    0.504000
     131    0.536000    0.439000    0.445000    0.609000
     132    0.548000    0.456000    0.435000    0.628000
     133    0.458000    0.523000    0.547000    0.491000
     134    0.532000    0.526000    0.453000    0.476000
     135    0.553000    0.450000    0.449000    0.640000
     136    0.502000    0.491000    0.490000    0.503000
     137    0.554000    0.509000    0.508000    0.433000
     138    0.432000    0.573000    0.583000    0.470000
     139    0.464000    0.556000    0.597000    0.449000
     140    0.467000    0.458000    0.449000    0.561000
     141    0.536000    0.570000    0.568000    0.425000
     142    0.529000    0.460000    0.465000    0.479000
     143    0.538000    0.477000    0.457000    0.488000
