   locus        mean         std
       1    0.912364    0.031778
       2    0.248413    0.054451
       3    0.664382    0.061044
       4    0.940211    0.025240
       5    0.875919    0.038613
       6    0.880533    0.038781
       7    0.367508    0.063553
       8    0.669363    0.061947
       9    0.486036    0.068956
      10    0.736530    0.058703
      11    0.563454    0.067169
      12    0.659135    0.066125
      13    0.748756    0.057934
      14    0.777523    0.052863
      15    0.694093    0.058569
      16    0.853765    0.042210
      17    0.966982    0.017580
      18    0.849852    0.042220
      19    0.939651    0.026182
      20    0.922760    0.029831
      21    0.832954    0.046215
      22    0.694020    0.061427
      23    0.622176    0.065204
      24    0.356948    0.060854
      25    0.343211    0.066054
      26    0.884518    0.036701
      27    0.730915    0.058640
      28    0.734709    0.060195
      29    0.304458    0.060800
      30    0.765780    0.054366
      31    0.882628    0.039095
      32    0.597496    0.065856
      33    0.897371    0.036052
      34    0.476006    0.064396
      35    0.604290    0.067622
      36    0.509221    0.066881
      37    0.832686    0.046402
      38    0.483946    0.066828
      39    0.823783    0.047836
      40    0.815242    0.048202
      41    0.617194    0.067351
      42    0.467402    0.066394
      43    0.575365    0.069188
      44    0.944701    0.026413
      45    0.809608    0.049831
      46    0.847969    0.046089
      47    0.564727    0.066000
      48    0.514292    0.069492
      49    0.499803    0.068252
      50    0.752224    0.057021
      51    0.861340    0.041750
      52    0.630437    0.067737
      53    0.669892    0.060361
      54    0.254599    0.055582
      55    0.613967    0.068115
      56    0.472833    0.066440
      57    0.751185    0.058048
      58    0.929744    0.027849
      59    0.598152    0.068274
      60    0.488394    0.064990
      61    0.809567    0.047793
      62    0.761303    0.055739
      63    0.498758    0.068361
      64    0.556783    0.068727
      65    0.521033    0.066505
      66    0.855664    0.043673
      67    0.870389    0.043042
      68    0.750563    0.057102
      69    0.792553    0.049764
      70    0.798494    0.049553
      71    0.646261    0.063173
      72    0.580051    0.067231
      73    0.795757    0.051634
      74    0.914325    0.030489
      75    0.894039    0.034993
      76    0.930660    0.026382
      77    0.356270    0.062258
      78    0.459561    0.066615
      79    0.755878    0.054826
      80    0.593053    0.066261
      81    0.810643    0.047982
      82    0.695609    0.058918
      83    0.708045    0.059593
      84    0.916674    0.031710
      85    0.668032    0.061111
      86    0.947678    0.024251
      87    0.950232    0.022180
      88    0.784469    0.055112
      89    0.839369    0.046055
      90    0.405643    0.067866
      91    0.920601    0.030939
      92    0.561167    0.064571
      93    0.545718    0.065081
      94    0.761104    0.054941
      95    0.262335    0.057996
