 COVARIABLE MRK M_Beta SD_Beta M_Delta BF(dB) 
  1       1  -0.00311670   0.01589276   0.04300000   6.48191712
  1       2   0.00000876   0.00065297   0.00300000  -5.25938709
  1       3   0.00005558   0.00175679   0.00100000 -13.05177600
  1       4  -0.00002156   0.00068129   0.00100000 -13.05177600
  1       5  -0.00066405   0.00582253   0.01400000   1.47886315
  1       6  -0.00085716   0.00888116   0.01300000   1.15261394
  1       7   0.00049735   0.00517032   0.01100000   0.41831588
  1       8   0.00032788   0.00422473   0.00800000  -0.97786491
  1       9   0.00060635   0.00873304   0.00500000  -3.03217882
  1      10  -0.00010417   0.00427675   0.00200000  -7.02465351
  1      11   0.00000279   0.00068259   0.00200000  -7.02465351
  1      12  -0.00004933   0.00175700   0.00400000  -4.00564152
  1      13  -0.00002966   0.00093744   0.00100000 -13.05177600
  1      14  -0.00002104   0.00174804   0.00400000  -4.00564152
  1      15  -0.00011749   0.00251393   0.00400000  -4.00564152
  1      16   0.00000509   0.00174133   0.00200000  -7.02465351
  1      17   0.00000000   0.00000000   0.00000000 -13.05177600
  1      18  -0.00001420   0.00044896   0.00100000 -13.05177600
  1      19  -0.00015918   0.00308760   0.00300000  -5.25938709
  1      20   0.00004293   0.00135685   0.00100000 -13.05177600
  1      21   0.00002016   0.00063728   0.00100000 -13.05177600
  1      22   0.00011332   0.00253154   0.00200000  -7.02465351
  1      23   0.00001622   0.00051277   0.00100000 -13.05177600
  1      24   0.00410572   0.01765292   0.05700000   7.76998358
  1      25   0.00145401   0.00985981   0.02400000   3.86396619
  1      26   0.00003149   0.00221692   0.00200000  -7.02465351
  1      27  -0.00015157   0.00213397   0.00600000  -2.23599939
  1      28   0.00046707   0.00562034   0.00800000  -0.97786491
  1      29   0.00001496   0.00047270   0.00100000 -13.05177600
  1      30  -0.00006131   0.00148170   0.00300000  -5.25938709
  1      31  -0.00006784   0.00174979   0.00200000  -7.02465351
  1      32   0.00033959   0.00707981   0.00300000  -5.25938709
  1      33  -0.00055858   0.00591811   0.01000000   0.00000000
  1      34   0.00004413   0.00098687   0.00200000  -7.02465351
  1      35  -0.00000607   0.00019184   0.00100000 -13.05177600
  1      36  -0.00004206   0.00150219   0.00300000  -5.25938709
  1      37  -0.00000027   0.00000850   0.00100000 -13.05177600
  1      38   0.00003524   0.00111374   0.00100000 -13.05177600
  1      39   0.00000513   0.00016217   0.00100000 -13.05177600
  1      40  -0.00008887   0.00218565   0.00200000  -7.02465351
  1      41   0.00001662   0.00052527   0.00100000 -13.05177600
  1      42   0.00014800   0.00285307   0.00300000  -5.25938709
  1      43   0.00004453   0.00188204   0.00200000  -7.02465351
  1      44   0.00002072   0.00139113   0.00300000  -5.25938709
  1      45   0.00016032   0.00360542   0.00300000  -5.25938709
  1      46  -0.00249943   0.01855730   0.02700000   4.38886118
  1      47   0.00046077   0.00642686   0.00700000  -1.56216014
  1      48   0.00006250   0.00227726   0.00200000  -7.02465351
  1      49  -0.00279400   0.01596527   0.03300000   5.28722660
  1      50  -0.00038673   0.00475017   0.00800000  -0.97786491
  1      51   0.00054740   0.00757954   0.00600000  -2.23599939
  1      52   0.00010993   0.00406030   0.00500000  -3.03217882
  1      53   0.00008396   0.00242061   0.00300000  -5.25938709
  1      54  -0.00182069   0.01099597   0.02900000   4.70813963
  1      55   0.00038733   0.00605208   0.00500000  -3.03217882
  1      56  -0.00002180   0.00153650   0.00200000  -7.02465351
  1      57   0.00057659   0.00855277   0.00700000  -1.56216014
  1      58   0.00007739   0.00200287   0.00200000  -7.02465351
  1      59   0.00024149   0.00469040   0.00400000  -4.00564152
  1      60   0.00029600   0.00764668   0.00300000  -5.25938709
  1      61  -0.00041188   0.00474034   0.01100000   0.41831588
  1      62   0.00000000   0.00000000   0.00000000 -13.05177600
  1      63   0.00014227   0.00314681   0.00500000  -3.03217882
  1      64   0.00038701   0.00678832   0.00700000  -1.56216014
  1      65  -0.00005148   0.00218225   0.00500000  -3.03217882
  1      66  -0.00001969   0.00149890   0.00200000  -7.02465351
  1      67   0.00044322   0.00645796   0.00600000  -2.23599939
  1      68  -0.00004050   0.00128004   0.00100000 -13.05177600
  1      69   0.00002830   0.00089463   0.00100000 -13.05177600
  1      70   0.00007537   0.00193216   0.00200000  -7.02465351
  1      71   0.00800444   0.03239508   0.06800000   8.58728195
  1      72  -0.00007763   0.00246838   0.00300000  -5.25938709
  1      73   0.00479869   0.02366872   0.04800000   6.98239484
  1      74   0.00514626   0.02311594   0.05700000   7.76998358
  1      75   0.00032776   0.00808049   0.00500000  -3.03217882
  1      76  -0.00233984   0.01480410   0.02900000   4.70813963
  1      77   0.00027961   0.00448280   0.00400000  -4.00564152
  1      78   0.00080709   0.00928354   0.00800000  -0.97786491
  1      79  -0.00013061   0.00311560   0.00200000  -7.02465351
  1      80   0.00015538   0.00295524   0.00300000  -5.25938709
  1      81   0.00041039   0.00575727   0.00700000  -1.56216014
  1      82  -0.00005776   0.00140666   0.00300000  -5.25938709
  1      83   0.00004276   0.00199076   0.00300000  -5.25938709
  1      84   0.00030499   0.00676724   0.00400000  -4.00564152
  1      85   0.00038987   0.00511706   0.00800000  -0.97786491
  1      86   0.00000323   0.00072641   0.00200000  -7.02465351
  1      87  -0.00031465   0.00570584   0.00400000  -4.00564152
  1      88  -0.00103042   0.00908835   0.01500000   1.78290223
  1      89  -0.00010144   0.00238544   0.00200000  -7.02465351
  1      90   0.00003584   0.00145758   0.00200000  -7.02465351
  1      91  -0.00001630   0.00341215   0.00400000  -4.00564152
  1      92  -0.00077433   0.00764436   0.01300000   1.15261394
  1      93   0.00002813   0.00341413   0.00400000  -4.00564152
  1      94  -0.00004795   0.00107569   0.00200000  -7.02465351
  1      95  -0.00005485   0.00173362   0.00100000 -13.05177600
  1      96  -0.00014140   0.00451127   0.00400000  -4.00564152
  1      97  -0.00039588   0.00881399   0.00700000  -1.56216014
  1      98  -0.00024662   0.00677855   0.00600000  -2.23599939
  1      99   0.00001070   0.00096070   0.00300000  -5.25938709
  1     100  -0.00004170   0.00131808   0.00100000 -13.05177600
  1     101   0.00003113   0.00098404   0.00100000 -13.05177600
  1     102   0.00004749   0.00134957   0.00400000  -4.00564152
  1     103  -0.00033208   0.00427613   0.00700000  -1.56216014
  1     104  -0.00052372   0.01008611   0.00500000  -3.03217882
  1     105   0.00009659   0.00183651   0.00600000  -2.23599939
  1     106  -0.00030492   0.00554023   0.00500000  -3.03217882
  1     107  -0.00005501   0.00102849   0.00500000  -3.03217882
  1     108   0.00000000   0.00000000   0.00000000 -13.05177600
  1     109   0.00007801   0.00141399   0.00500000  -3.03217882
  1     110   0.00029309   0.00575639   0.00400000  -4.00564152
  1     111   0.00000328   0.00010355   0.00100000 -13.05177600
  1     112   0.00000000   0.00000000   0.00000000 -13.05177600
  1     113   0.00025831   0.00459509   0.00500000  -3.03217882
  1     114  -0.00001100   0.00034775   0.00100000 -13.05177600
  1     115   0.00001953   0.00061743   0.00100000 -13.05177600
  1     116   0.00009058   0.00315615   0.00300000  -5.25938709
  1     117   0.00001838   0.00058100   0.00100000 -13.05177600
  1     118  -0.00014981   0.00253340   0.00500000  -3.03217882
  1     119  -0.00001317   0.00029714   0.00200000  -7.02465351
  1     120  -0.00011304   0.00273297   0.00200000  -7.02465351
  1     121  -0.00000778   0.00024595   0.00100000 -13.05177600
  1     122   0.00013144   0.00237832   0.00400000  -4.00564152
  1     123   0.00006258   0.00209469   0.00300000  -5.25938709
  1     124   0.00005103   0.00114003   0.00200000  -7.02465351
  1     125   0.00000000   0.00000000   0.00000000 -13.05177600
  1     126   0.00026338   0.00488237   0.00800000  -0.97786491
  1     127   0.00001736   0.00054872   0.00100000 -13.05177600
  1     128   0.00017779   0.00283090   0.00500000  -3.03217882
  1     129  -0.00000020   0.00000619   0.00100000 -13.05177600
  1     130  -0.03557772   0.06703154   0.23900000  14.92648439
  1     131  -0.00001319   0.00303481   0.00500000  -3.03217882
  1     132   0.00022157   0.00418294   0.00300000  -5.25938709
  1     133   0.00004839   0.00138037   0.00300000  -5.25938709
  1     134   0.00000000   0.00000000   0.00000000 -13.05177600
  1     135   0.00108808   0.00891288   0.01700000   2.33530598
  1     136   0.00000000   0.00000000   0.00000000 -13.05177600
  1     137   0.00013602   0.00269029   0.00300000  -5.25938709
  1     138   0.00003228   0.00102041   0.00100000 -13.05177600
  1     139   0.00004883   0.00154324   0.00100000 -13.05177600
  1     140  -0.00001546   0.00048857   0.00100000 -13.05177600
  1     141   0.00004273   0.00329083   0.00500000  -3.03217882
  1     142   0.00000000   0.00000000   0.00000000 -13.05177600
  1     143  -0.00002831   0.00089468   0.00100000 -13.05177600
  1     144  -0.00054480   0.00552687   0.01000000   0.00000000
  1     145   0.00490415   0.01924613   0.07100000   8.78877829
  1     146   0.00030923   0.00415851   0.00600000  -2.23599939
  1     147   0.00020147   0.00495032   0.00900000  -0.46195950
  1     148  -0.00003200   0.00173020   0.00300000  -5.25938709
  1     149  -0.00010822   0.00270002   0.00300000  -5.25938709
  1     150  -0.00003554   0.00195306   0.00200000  -7.02465351
  1     151  -0.00000278   0.00284478   0.00500000  -3.03217882
  1     152  -0.00012794   0.00279728   0.00400000  -4.00564152
  1     153   0.00003407   0.00218281   0.00200000  -7.02465351
  1     154  -0.00003213   0.00101548   0.00100000 -13.05177600
  1     155   0.00050507   0.00632811   0.00700000  -1.56216014
  1     156   0.00004278   0.00135223   0.00100000 -13.05177600
  1     157   0.00000514   0.00016253   0.00100000 -13.05177600
  1     158  -0.00004330   0.00591676   0.00700000  -1.56216014
  1     159   0.00008140   0.00230808   0.00200000  -7.02465351
  1     160  -0.00264270   0.01691034   0.02900000   4.70813963
  1     161  -0.00081856   0.00845502   0.01100000   0.41831588
  1     162  -0.00003258   0.00177613   0.00200000  -7.02465351
  1     163   0.00004503   0.00358162   0.00500000  -3.03217882
  1     164   0.00000000   0.00000000   0.00000000 -13.05177600
  1     165   0.00003142   0.00099310   0.00100000 -13.05177600
  1     166   0.00039900   0.00578355   0.00600000  -2.23599939
  1     167   0.00016409   0.00317705   0.00300000  -5.25938709
  1     168   0.00000000   0.00000000   0.00000000 -13.05177600
  1     169  -0.00014750   0.00333123   0.00300000  -5.25938709
  1     170   0.00003576   0.00154612   0.00200000  -7.02465351
  1     171   0.00000256   0.00008089   0.00100000 -13.05177600
  1     172  -0.00004637   0.00201055   0.00500000  -3.03217882
  1     173  -0.00004538   0.00134458   0.00300000  -5.25938709
  1     174   0.00000357   0.00097393   0.00200000  -7.02465351
  1     175  -0.00030298   0.00390991   0.00800000  -0.97786491
  1     176  -0.00028925   0.00668452   0.00400000  -4.00564152
  1     177   0.00154401   0.00881094   0.03400000   5.42136985
  1     178   0.00000000   0.00000000   0.00000000 -13.05177600
  1     179  -0.00001435   0.00045341   0.00100000 -13.05177600
  1     180   0.00005485   0.00127990   0.00200000  -7.02465351
  1     181   0.00006447   0.00154656   0.00200000  -7.02465351
  1     182  -0.00015322   0.00232362   0.00500000  -3.03217882
  1     183  -0.00007493   0.00313581   0.00300000  -5.25938709
  1     184  -0.00010237   0.00229447   0.00200000  -7.02465351
  1     185  -0.00002591   0.00057980   0.00200000  -7.02465351
  1     186   0.00019579   0.00382347   0.00800000  -0.97786491
  1     187  -0.00008914   0.00146206   0.00500000  -3.03217882
  1     188   0.00000829   0.00026209   0.00100000 -13.05177600
  1     189  -0.00005837   0.00135657   0.00300000  -5.25938709
  1     190   0.00022561   0.00384025   0.00600000  -2.23599939
  1     191  -0.00006241   0.00246402   0.00300000  -5.25938709
  1     192   0.00053200   0.00673840   0.00700000  -1.56216014
  1     193  -0.00006790   0.00201945   0.00300000  -5.25938709
  1     194  -0.00031999   0.00375396   0.00900000  -0.46195950
  1     195  -0.00015687   0.00346489   0.00300000  -5.25938709
  1     196   0.00007459   0.00181083   0.00400000  -4.00564152
  1     197  -0.00018196   0.00285357   0.00500000  -3.03217882
  1     198   0.00000000   0.00000000   0.00000000 -13.05177600
  1     199   0.00000000   0.00000000   0.00000000 -13.05177600
  1     200   0.00014346   0.00396797   0.00400000  -4.00564152
  1     201   0.00000000   0.00000000   0.00000000 -13.05177600
  1     202  -0.00001384   0.00043742   0.00100000 -13.05177600
  1     203  -0.00017134   0.00277326   0.00600000  -2.23599939
  1     204  -0.00005705   0.00180323   0.00100000 -13.05177600
  1     205  -0.00002908   0.00091920   0.00100000 -13.05177600
  1     206  -0.00003511   0.00110986   0.00100000 -13.05177600
  1     207  -0.00027132   0.00457657   0.00600000  -2.23599939
  1     208   0.00000000   0.00000000   0.00000000 -13.05177600
  1     209   0.00063496   0.00977979   0.00600000  -2.23599939
  1     210  -0.00000269   0.00008487   0.00100000 -13.05177600
  1     211   0.00004848   0.00137271   0.00500000  -3.03217882
  1     212   0.00001010   0.00031920   0.00100000 -13.05177600
  1     213   0.00001043   0.00032965   0.00100000 -13.05177600
  1     214   0.00000000   0.00000000   0.00000000 -13.05177600
  1     215   0.00000635   0.00051067   0.00200000  -7.02465351
  1     216  -0.00001978   0.00148769   0.00400000  -4.00564152
  1     217   0.00366298   0.02027236   0.04100000   6.26600444
  1     218  -0.00003826   0.00091466   0.00200000  -7.02465351
  1     219  -0.00008555   0.00192277   0.00200000  -7.02465351
  1     220   0.00034554   0.00503253   0.00600000  -2.23599939
  1     221   0.00004545   0.00143641   0.00100000 -13.05177600
  1     222  -0.00001808   0.00057142   0.00100000 -13.05177600
  1     223  -0.00002722   0.00097394   0.00300000  -5.25938709
  1     224  -0.00008834   0.00381490   0.00300000  -5.25938709
  1     225  -0.00002395   0.00075711   0.00100000 -13.05177600
  1     226  -0.00246322   0.01799089   0.02100000   3.27071798
  1     227  -0.00004286   0.00102556   0.00200000  -7.02465351
  1     228   0.00001643   0.00060880   0.00300000  -5.25938709
  1     229  -0.00373770   0.02063736   0.03800000   5.92243719
  1     230   0.00006007   0.00233014   0.00300000  -5.25938709
  1     231   0.00000000   0.00000000   0.00000000 -13.05177600
  1     232  -0.00016408   0.00302424   0.00300000  -5.25938709
  1     233  -0.00013334   0.00215989   0.00500000  -3.03217882
  1     234   0.00293477   0.01948941   0.02600000   4.22049586
  1     235   0.00130061   0.01150348   0.01700000   2.33530598
  1     236  -0.00003369   0.00529422   0.00500000  -3.03217882
